Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
9,"Darksteel Monolith","","Commander Masters",CMM,778,,Normal,Rare,507093,,,,false,"extendedart",false,"boosterfun",masters,,{8},Artifact,"Indestructible; Once each turn, you may pay {0} rather than pay the mana cost for a colorless spell you cast from your hand.",,FDD3482D-7BCE-411B-80C4-956A12FC143D,normal,0,113851,"624904",723696,1E07F838-A813-43AA-9BCF-9F62797D7313,,,,,8,,2135,"Indestructible",0,,false,false,cmm,https://scryfall.com/card/cmm/778/darksteel-monolith?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-19T14:27:08.711-08:00,,
9,"Guildless Commons","","Commander Legends",CMR,351,,Normal,Uncommon,227074,,,,true,"",false,"",draft_innovation,,,Land,"This land enters tapped.; When this land enters, return a land you control to its owner's hand.; {T}: Add {C}{C}.",,EE723C7C-EC9F-4FFB-8F36-CD7637EB1FAE,normal,0,85484,"497871",513755,C6C8D290-B5D2-412C-8DB9-5A6246F430E8,,,,,0,,1103,"",0,C,false,false,cmr,https://scryfall.com/card/cmr/351/guildless-commons?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-19T14:27:08.712-08:00,,
9,"Karn's Bastion","","Commander Masters",CMM,1007,,Normal,Rare,505812,,,,false,"",false,"",masters,,,Land,"{T}: Add {C}.; {4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",,9FB8CD81-403A-4988-8F1C-B8ECCF8ABD9C,normal,0,114355,"625412",722954,875CA80A-3EB8-434C-8114-536CAAB23211,,,,,0,,202,"Proliferate",2916,C,true,false,cmm,https://scryfall.com/card/cmm/1007/karns-bastion?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-19T14:27:08.708-08:00,,
9,"Sire of Seven Deaths","","Foundations",FDN,292,,Normal,Mythic,591197,,,,false,"inverted",false,"boosterfun",core,,{7},Creature — Eldrazi,"First strike, vigilance; Menace, trample; Reach, lifelink; Ward—Pay 7 life.",,A15547D0-BBCB-41EE-A9AE-8325A9E7FE1F,normal,0,133118,"678389",0,1B486B75-4680-4A94-AF8C-C1C335C9782B,,,7,7,7,,4290,"Lifelink, Reach, Vigilance, First strike, Trample, Menace, Ward",0,,false,false,fdn,https://scryfall.com/card/fdn/292/sire-of-seven-deaths?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-19T14:27:08.709-08:00,,
9,"Snow-Covered Wastes","","Modern Horizons 3",MH3,439,,Foil,Uncommon,548384,,,,false,"",false,"boosterfun",draft_innovation,,,Basic Snow Land,"{T}: Add {C}.",,46A07B53-FF58-4BD6-80DD-DED2EB0E29A3,normal,92035,125667,"664432",0,D8C0DE06-7782-4D2B-93BA-EF42CD5F79B4,,,,,0,,0,"",0,C,false,false,mh3,https://scryfall.com/card/mh3/439/snow-covered-wastes?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-19T14:27:08.705-08:00,,
9,"Ugin, Eye of the Storms // Ugin, Eye of the Storms","","Tarkir: Dragonstorm",TDM,382,,Foil,Mythic,624036,,,,false,"",false,"boosterfun",expansion,,{7} // {7},Legendary Planeswalker — Ugin // Legendary Planeswalker — Ugin,"When you cast this spell, exile up to one target permanent that's one or more colors.; Whenever you cast a colorless spell, exile up to one target permanent that's one or more colors.; +2: You gain 3 life and draw a card.; 0: Add {C}{C}{C}.; −11: Search your library for any number of colorless nonland cards, exile them, then shuffle. Until end of turn, you may cast those cards without paying their mana costs. // When you cast this spell, exile up to one target permanent that's one or more colors.; Whenever you cast a colorless spell, exile up to one target permanent that's one or more colors.; +2: You gain 3 life and draw a card.; 0: Add {C}{C}{C}.; −11: Search your library for any number of colorless nonland cards, exile them, then shuffle. Until end of turn, you may cast those cards without paying their mana costs.",,5C58353A-FD60-4528-BF0D-669626CDA0B2 // 5C58353A-FD60-4528-BF0D-669626CDA0B2,reversible_card,0,139635,"695177",0,53B11C30-1C4E-4238-9D42-2E1480DF60C1,,7 // 7,,,7 // 7,,10185,"",0,C,false,,tdm,https://scryfall.com/card/tdm/382/ugin-eye-of-the-storms-ugin-eye-of-the-storms?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-19T14:27:08.713-08:00,,
9,"Untaidake, the Cloud Keeper","","Champions of Kamigawa",CHK,285,,Normal,Rare,12211,,,,true,"",false,"",expansion,,,Legendary Land,"Untaidake enters tapped.; {T}, Pay 2 life: Add {C}{C}. Spend this mana only to cast legendary spells.",,362F25A6-01FF-4C53-BE52-C6346A9B0065,normal,0,21411,"79218",12230,3C571F66-7A00-4CB0-9DA9-8271083F49D3,,,,,0,,8604,"",5395,C,false,false,chk,https://scryfall.com/card/chk/285/untaidake-the-cloud-keeper?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2025-04-19T14:27:08.707-08:00,,
18,"Wastes","","Commander Masters",CMM,1055,,Normal,Common,506726,,,,false,"",false,"",masters,,,Basic Land,"{T}: Add {C}.",,05D24B0C-904A-46B6-B42A-96A4D91A0DD4,normal,0,114451,"625460",723712,8D479A83-16F7-425C-9873-B900F39ED620,,,,,0,,0,"",0,C,true,false,cmm,https://scryfall.com/card/cmm/1055/wastes?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-19T14:27:08.715-08:00,,
9,"Wastes","","Oath of the Gatewatch",OGW,183,,Normal,Common,110546,,,,true,"",true,"",expansion,,,Basic Land,"{T}: Add {C}.",,05D24B0C-904A-46B6-B42A-96A4D91A0DD4,normal,0,59605,"407694",287050,7019912C-BD9B-4B96-9388-400794909AA1,,,,,0,,0,"",0,C,false,false,ogw,https://scryfall.com/card/ogw/183/wastes?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-19T14:27:08.718-08:00,,
9,"Wastes","","Oath of the Gatewatch",OGW,184,,Normal,Common,110547,,,,true,"",true,"",expansion,,,Basic Land,"{T}: Add {C}.",,05D24B0C-904A-46B6-B42A-96A4D91A0DD4,normal,0,59323,"407696",287051,69B215FE-0D97-4CA1-9490-174220FD454B,,,,,0,,0,"",0,C,false,false,ogw,https://scryfall.com/card/ogw/184/wastes?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-19T14:27:08.719-08:00,,
