#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date
1,"Ashiok, Wicked Manipulator","Ashiok, Wicked Manipulator","Wilds of Eldraine",WOE,78,English,Normal,Mythic,509489,7332082,0.6,2024-02-06T00:30:01.000-09:00,true,"",false,"",expansion,,{3}{B}{B},Legendary Planeswalker — Ashiok,"If you would pay life while your library has at least that many cards in it, exile that many cards from the top of your library instead.; +1: Look at the top two cards of your library. Exile one of them and put the other into your hand.; −2: Create two 1/1 black Nightmare creature tokens with ""At the beginning of combat on your turn, if a card was put into exile this turn, put a +1/+1 counter on this creature.""; −7: Target player exiles the top X cards of their library, where X is the total mana value of cards you own in exile.",B,67D66678-A8E6-4F80-BADE-1F1DAF4B0610,normal,86771,116466,"629579",725331,6C4D0DB1-74A5-42C0-AC95-E696585D8022,,5,,,5,B,12847,"",,,false,false,woe,https://scryfall.com/card/woe/78/ashiok-wicked-manipulator?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-02-06T13:01:19.436-09:00
1,"Befoul","Befoul","Urza's Saga",USG,116,English,Normal,Common,6795,20276,0.17,2024-02-06T00:30:01.000-09:00,true,"",false,"",expansion,,{2}{B}{B},Sorcery,"Destroy target land or nonblack creature. It can't be regenerated.",B,C573C59A-5A79-4FE1-A6D8-5E0153B5C059,normal,,12117,"5605",10323,F92CB48D-315B-4877-B615-FFDF275C4D61,,,,,4,B,18811,"",6452,,false,false,usg,https://scryfall.com/card/usg/116/befoul?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-02-06T13:01:19.466-09:00
1,"Black Sun's Twilight (Extended Art)","Black Sun's Twilight","Phyrexia: All Will Be One",ONE,383,English,Foil,Rare,478312,6930943,0.54,2024-02-06T00:30:01.000-09:00,false,"extendedart",false,"boosterfun",expansion,,{X}{B},Instant,"Up to one target creature gets -X/-X until end of turn. If X is 5 or more, return a creature card with mana value X or less from your graveyard to the battlefield tapped.",B,AF105CDA-1F7C-4868-9407-A97C46BD762D,normal,,106001,"604755",692698,646144B6-F644-4A3F-AF46-63FEB16BD0F9,,,,,1,B,3442,"",5696,,false,false,one,https://scryfall.com/card/one/383/black-suns-twilight?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-02-06T13:01:19.478-09:00
1,"Blast Zone (Extended Art)","Blast Zone","The Brothers' War",BRO,369,English,Normal,Rare,452273,6690023,1.39,2024-02-06T00:30:01.000-09:00,false,"extendedart",false,"boosterfun",expansion,,,Land,"Blast Zone enters the battlefield with a charge counter on it.; {T}: Add {C}.; {X}{X}, {T}: Put X charge counters on Blast Zone.; {3}, {T}, Sacrifice Blast Zone: Destroy each nonland permanent with mana value equal to the number of charge counters on Blast Zone.",,393A254F-BE31-431A-9341-A51286F8CBCE,normal,,,"585772",,08F9B863-10B7-46D6-BADD-97381E6C7C5E,,,,,0,,1098,"",,C,true,false,bro,https://scryfall.com/card/bro/369/blast-zone?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-02-06T13:01:19.423-09:00
1,"Blight","Blight","Fifth Edition",5ED,144,English,Normal,Uncommon,2048,16169,0.25,2024-02-06T00:30:01.000-09:00,true,"",false,"",core,,{B}{B},Enchantment — Aura,"Enchant land; When enchanted land becomes tapped, destroy it.",B,19066C43-ECCD-461B-9695-C3FAD95DC1DA,normal,,,"3827",9377,AFFD5566-9EC6-4713-A804-CEC9B13B1DA1,,,,,2,B,20290,"Enchant",4294,,true,false,5ed,https://scryfall.com/card/5ed/144/blight?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-02-06T13:01:19.470-09:00
1,"Blightbelly Rat (Showcase) (Step-and-Compleat Foil)","Blightbelly Rat","Phyrexia: All Will Be One",ONE,435,English,Foil,Uncommon,479004,6949689,0.21,2024-02-06T00:30:01.000-09:00,false,"showcase, inverted",false,"stepandcompleat, boosterfun",expansion,,{1}{B},Creature — Phyrexian Rat,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.); When Blightbelly Rat dies, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",B,B0102259-7A2C-470E-B04B-4A1F615D057C,normal,,105968,"",693868,E4BF86E8-DF70-4EC0-8FE6-F15191774E50,,,2,2,2,B,2418,"Toxic, Proliferate",4934,,false,false,one,https://scryfall.com/card/one/435/blightbelly-rat?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-02-06T13:01:19.501-09:00
1,"Blood Vassal","Blood Vassal","Urza's Saga",USG,118,English,Normal,Common,6800,20281,0.15,2024-02-06T00:30:01.000-09:00,true,"",false,"",expansion,,{2}{B},Creature — Thrull,"Sacrifice Blood Vassal: Add {B}{B}.",B,F792F40D-1D37-4854-98DA-E4020C6A44D4,normal,,12321,"5737",10325,7E692DEA-750B-40B2-9440-8B570E67C23E,,,2,2,3,B,15037,"",3544,B,false,false,usg,https://scryfall.com/card/usg/118/blood-vassal?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-02-06T13:01:19.450-09:00
1,"Bloodletter of Aclazotz","Bloodletter of Aclazotz","The Lost Caverns of Ixalan",LCI,92,English,Normal,Mythic,524414,7509574,11.07,2024-02-06T00:30:01.000-09:00,true,"",false,"",expansion,,{1}{B}{B}{B},Creature — Vampire Demon,"Flying; If an opponent would lose life during your turn, they lose twice that much life instead. (Damage causes loss of life.)",B,469956A2-7CD4-4695-B8F4-C841526F160D,normal,87489,117988,"636796",741109,D4F6027A-003A-4F9D-929A-0B6DA1FA42C9,,,2,4,4,B,3551,"Flying",,,false,false,lci,https://scryfall.com/card/lci/92/bloodletter-of-aclazotz?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-02-06T13:01:19.426-09:00
1,"Bonepicker Skirge (Showcase) (Step-and-Compleat Foil)","Bonepicker Skirge","Phyrexia: All Will Be One",ONE,436,English,Foil,Common,479007,6949724,0.05,2024-02-06T00:30:01.000-09:00,false,"showcase, inverted",false,"stepandcompleat, boosterfun",expansion,,{2}{B},Creature — Phyrexian Imp,"Flying; Corrupted — As long as an opponent has three or more poison counters, Bonepicker Skirge has deathtouch and lifelink.",B,C42833E6-3E42-4BD6-ACBC-D8E284E9833E,normal,,,"",693873,14C1B7BB-79CA-44C2-9152-D302CA00EB3E,,,2,2,3,B,13994,"Flying, Corrupted",,,false,false,one,https://scryfall.com/card/one/436/bonepicker-skirge?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-02-06T13:01:19.486-09:00
1,"Boneyard Mycodrax","Boneyard Mycodrax","Commander 2020",C20,40,English,Normal,Rare,212146,4369973,0.28,2024-02-06T00:30:01.000-09:00,false,"",false,"",commander,,{2}{B},Creature — Fungus,"Boneyard Mycodrax's power and toughness are each equal to the number of other creature cards in your graveyard.; Scavenge {4}{B} ({4}{B}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)",B,F852ADF6-3E54-4A1D-92E1-7DBC6D2228CE,normal,,80661,"484887",452063,F6AC1131-8E96-46BE-85E0-55844D0D2935,,,*,*,3,B,10099,"Scavenge",,,false,false,c20,https://scryfall.com/card/c20/40/boneyard-mycodrax?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-02-06T13:01:19.471-09:00
