Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Ace's Baseball Bat","Ace's Baseball Bat","",WHO,170,,Normal,Rare,,,,,false,"legendary",false,"",commander,,{2},Legendary Artifact — Equipment,"Equipped creature gets +3/+0.; As long as equipped creature is attacking, it has first strike and must be blocked by a Dalek if able.; Equip legendary creature {1}; Equip {3}",,3F47EC32-4EE9-4BC0-96F2-310A939CB973,normal,0,0,"634865",738808,5F1132B6-9DB6-440C-9E0A-FAE6C157E8A3,,,,,2,,12726,"Equip",0,,false,false,who,https://scryfall.com/card/who/170/aces-baseball-bat?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.238-08:00,,
1,"Ace, Fearless Rebel","Ace, Fearless Rebel","",WHO,98,,Normal,Rare,,,,,false,"legendary",false,"",commander,,{3}{G},Legendary Creature — Human Rebel,"Nitro-9 — Whenever Ace, Fearless Rebel attacks, you may sacrifice an artifact. When you do, put a +1/+1 counter on Ace, Fearless Rebel, then it fights up to one target creature defending player controls.; Doctor's companion (You can have two commanders if the other is the Doctor.)",G,50D0D870-FE3D-44A2-AD6E-93307A1FB468,normal,0,0,"634793",738665,75F001A0-8393-4977-84BB-CDE39740606C,,,2,2,4,G,17208,"Nitro-9, Fight, Doctor's companion",0,,false,false,who,https://scryfall.com/card/who/98/ace-fearless-rebel?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.237-08:00,,
1,"Adric, Mathematical Genius","Adric, Mathematical Genius","",WHO,33,,Normal,Rare,,,,,false,"legendary",false,"",commander,,{1}{U},Legendary Creature — Human Artificer,"{2}{U}, {T}: Copy target activated or triggered ability you control. You may choose new targets for the copy.; Ultimate Sacrifice — {1}{U}, Sacrifice Adric: Counter target activated or triggered ability.; Doctor's companion (You can have two commanders if the other is the Doctor.)",U,AF566158-23B2-4F91-8D59-A58342A9F576,normal,0,0,"634728",738533,1F290A17-699E-420D-8322-3E28300A0D2E,,,1,1,2,U,8430,"Ultimate Sacrifice, Doctor's companion",0,,false,false,who,https://scryfall.com/card/who/33/adric-mathematical-genius?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.243-08:00,,
1,"Alistair, the Brigadier","Alistair, the Brigadier","",WHO,112,,Normal,Rare,,,,,false,"legendary",false,"",commander,,{1}{G}{W}{U},Legendary Creature — Human Soldier,"Whenever you cast a historic spell, create a 1/1 white Soldier creature token. (Artifacts, legendaries, and Sagas are historic.); Whenever Alistair attacks, you may pay {8}. If you do, creatures you control get +X/+X until end of turn, where X is the number of historic permanents you control.",GUW,2FE8D739-DEE5-4220-8102-6FBAE7D4FC19,normal,0,0,"634807",738693,BF952D23-291D-42FA-8F2A-E4002A04B95F,,,3,3,4,GUW,10554,"",0,,false,false,who,https://scryfall.com/card/who/112/alistair-the-brigadier?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.244-08:00,,
1,"An Unearthly Child","An Unearthly Child","",WHO,35,,Normal,Rare,,,,,false,"",false,"",commander,,{1}{U}{U},Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.); I, II, III — Reveal cards from the top of your library until you reveal a Doctor card, a card with doctor's companion, or a Vehicle card. Put that card into your hand and the rest on the bottom of your library in a random order.",U,9527D2DC-D2E2-4259-AEFE-2342EA07BC63,saga,0,0,"634730",738537,72B20B07-2983-4B5E-9351-B8D7A5BCD72A,,,,,3,U,11340,"",0,,false,false,who,https://scryfall.com/card/who/35/an-unearthly-child?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.246-08:00,,
1,"Antarctic Research Base","Antarctic Research Base","",WHO,567,,Normal,Common,,,,,false,"",false,"",commander,,,Plane — Earth,"When you planeswalk to Antarctic Research Base and at the beginning of your upkeep, investigate.; Whenever chaos ensues, put X +1/+1 counters on target creature you control, where X is the number of artifacts you control. It becomes a Plant in addition to its other types.",,D65FF607-1FF5-42BD-8DB2-F082CC2F0B5E,planar,0,0,"634245",0,3CC61F60-2F9D-4F67-8390-62873B4B8DDB,,,,,0,,0,"Investigate",0,,false,false,who,https://scryfall.com/card/who/567/antarctic-research-base?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.375-08:00,,
1,"Arcane Signet","Arcane Signet","",WHO,239,,Normal,Common,,,,,false,"",false,"",commander,,{2},Artifact,"{T}: Add one mana of any color in your commander's color identity.",,0BC7F093-BEF0-4F1A-852C-4B75EBF54838,normal,0,0,"635565",739101,D87D58EB-B95A-48D9-A174-E2D72A29C167,,,,,2,,3,"",0,BGRUW,true,false,who,https://scryfall.com/card/who/239/arcane-signet?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.247-08:00,,
1,"Ash Barrens","Ash Barrens","",WHO,257,,Normal,Uncommon,,,,,false,"",false,"",commander,,,Land,"{T}: Add {C}.; Basic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",,58257464-278E-45FA-8E0B-BCD9A7500BC1,normal,0,0,"635583",739121,82FEC728-2BF5-40A5-B3D7-02F366271C0C,,,,,0,,215,"Landcycling, Basic landcycling, Typecycling, Cycling",0,C,true,false,who,https://scryfall.com/card/who/257/ash-barrens?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.250-08:00,,
1,"Bessie, the Doctor's Roadster","Bessie, the Doctor's Roadster","",WHO,171,,Normal,Rare,,,,,false,"legendary",false,"",commander,,{2},Legendary Artifact — Vehicle,"Haste; Whenever Bessie attacks, another target legendary creature can't be blocked this turn.; Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",,776AA036-08AA-4FA0-82BD-C09E6E3E2C5E,normal,0,0,"634866",738811,E5BB585D-2B49-44A0-93D0-98DC8E0727C2,,,3,4,2,,11845,"Haste, Crew",0,,false,false,who,https://scryfall.com/card/who/171/bessie-the-doctors-roadster?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.257-08:00,,
1,"Canopy Vista","Canopy Vista","",WHO,258,,Normal,Rare,,,,,false,"",false,"",commander,,,Land — Forest Plains,"({T}: Add {G} or {W}.); Canopy Vista enters tapped unless you control two or more basic lands.",,DCB7E046-F01B-497C-88E5-57794EB30CE5,normal,0,0,"635584",739122,11B93DE5-52E6-4A30-88E9-E636F18DCCC8,,,,,0,GW,99,"",371,GW,true,false,who,https://scryfall.com/card/who/258/canopy-vista?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.258-08:00,,
1,"Caught in a Parallel Universe","Caught in a Parallel Universe","",WHO,572,,Normal,Common,,,,,false,"",false,"",commander,,,Phenomenon,"When you encounter Caught in a Parallel Universe, each player chooses a creature controlled by the player to their left. Each player creates a token that's a copy of the creature they chose, except it has menace. (Then planeswalk away from this phenomenon.)",,C265447B-A8CE-4D77-B620-865F7D4E0722,planar,0,0,"634250",0,D8DDC6D0-50CC-4914-A6F2-00FB93D4402A,,,,,0,,0,"",0,,false,false,who,https://scryfall.com/card/who/572/caught-in-a-parallel-universe?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.376-08:00,,
1,"Celestial Colonnade","Celestial Colonnade","",WHO,260,,Normal,Rare,,,,,false,"",false,"",commander,,,Land,"Celestial Colonnade enters tapped.; {T}: Add {W} or {U}.; {3}{W}{U}: Until end of turn, Celestial Colonnade becomes a 4/4 white and blue Elemental creature with flying and vigilance. It's still a land.",,876AC6F6-74DE-4666-84C6-83D81F054723,normal,0,0,"635586",739127,F5D71183-509F-40B8-85AF-8F118CAD5C13,,,,,0,UW,4804,"",103,UW,true,false,who,https://scryfall.com/card/who/260/celestial-colonnade?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2024-09-27T12:53:36.259-08:00,,
1,"City of Death","City of Death","",WHO,99,,Normal,Rare,,,,,false,"",false,"",commander,,{2}{G},Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after VI.); I — Create a Treasure token.; II, III, IV, V, VI — Create a token that's a copy of target non-Saga token you control.",G,313C6B29-C488-4B4B-AF16-F82717F59A5D,saga,0,0,"634794",738668,BD4D9B25-02EA-4CE3-A35F-7F427A74F591,,,,,3,G,4037,"Treasure",0,,false,false,who,https://scryfall.com/card/who/99/city-of-death?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:53:36.262-08:00,,
