#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Adarkar Wastes","Adarkar Wastes","",M3C,316,,Normal,Rare,,,,,false,"",false,"ripplefoil",commander,,,Land,"{T}: Add {C}.; {T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",,D5AD26CC-2BDB-46B7-B8BF-DD099D5FA09B,normal,,127177,"665730",772293,6BE6EBF1-4E4C-4C6F-ACE1-3FED55FE5C69,,,,,0,UW,293,"",121,CUW,true,false,m3c,https://scryfall.com/card/m3c/316/adarkar-wastes?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-12-06T00:14:47.767-09:00,,
1,"Aether Hub","Aether Hub","",M3C,317,,Normal,Uncommon,,,,,false,"",false,"ripplefoil",commander,,,Land,"When Aether Hub enters, you get {E} (an energy counter).; {T}: Add {C}.; {T}, Pay {E}: Add one mana of any color.",,61C89B11-65C9-4FDA-BBCD-D84DE25DF801,normal,,127179,"665731",772294,BB4436D5-AB12-4E0F-9490-C7A4A62AAA65,,,,,0,,4357,"",14,BCGRUW,true,false,m3c,https://scryfall.com/card/m3c/317/aether-hub?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:47.770-09:00,,
1,"Aether Refinery","Aether Refinery","",M3C,106,,Normal,Rare,,,,,false,"",false,"",commander,,{4}{R}{R},Artifact,"If you would get one or more {E} (energy counters), you get twice that many {E} instead.; {T}: You get {E}, then you may pay one or more {E}. If you do, create an X/X black Aetherborn creature token, where X is the amount of {E} paid this way.",R,9E9CDE32-0568-44BC-A00A-9709F15C1350,normal,,127411,"665380",772247,AA729C01-BB58-491E-8C68-A7EB6BA883EE,,,,,6,R,8682,"",,,false,false,m3c,https://scryfall.com/card/m3c/106/aether-refinery?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:47.772-09:00,,
1,"Aethergeode Miner","Aethergeode Miner","",M3C,163,,Normal,Rare,,,,,false,"",false,"ripplefoil",commander,,{1}{W},Creature — Dwarf Scout,"Whenever Aethergeode Miner attacks, you get {E}{E} (two energy counters).; Pay {E}{E}: Exile Aethergeode Miner, then return it to the battlefield under its owner's control.",W,92045F6C-9EC2-4BF0-826C-E21EF253011C,normal,,126867,"665577",772254,D95DB4BA-449F-416D-96CF-A07EC7DBC647,,,3,1,2,W,10471,"",6631,,true,false,m3c,https://scryfall.com/card/m3c/163/aethergeode-miner?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:47.773-09:00,,
1,"Aethersphere Harvester","Aethersphere Harvester","",M3C,280,,Normal,Rare,,,,,false,"",false,"ripplefoil",commander,,{3},Artifact — Vehicle,"Flying; When Aethersphere Harvester enters, you get {E}{E} (two energy counters).; Pay {E}: Aethersphere Harvester gains lifelink until end of turn.; Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",,7B3E74AD-0179-480B-871C-9E3BC30A43FF,normal,,127105,"665694",772278,40A3E817-0533-43B9-9350-2872E029EC50,,,3,5,3,,12082,"Flying, Crew",2777,,true,false,m3c,https://scryfall.com/card/m3c/280/aethersphere-harvester?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:47.775-09:00,,
1,"Aethersquall Ancient","Aethersquall Ancient","",M3C,174,,Normal,Rare,,,,,false,"",false,"ripplefoil",commander,,{5}{U}{U},Creature — Leviathan,"Flying; At the beginning of your upkeep, you get {E}{E}{E} (three energy counters).; Pay eight {E}: Return all other creatures to their owners' hands. Activate only as a sorcery.",U,47C685B1-6E1E-4E08-8A52-9DA6902DF113,normal,,126889,"665588",772263,8E1B959F-BC00-422F-B59A-3E9D31AB7C00,,,6,6,7,U,7169,"Flying",10341,,true,false,m3c,https://scryfall.com/card/m3c/174/aethersquall-ancient?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:47.777-09:00,,
1,"Aetherstorm Roc","Aetherstorm Roc","",M3C,164,,Normal,Rare,,,,,false,"",false,"ripplefoil",commander,,{2}{W}{W},Creature — Bird,"Flying; Whenever Aetherstorm Roc or another creature you control enters, you get {E} (an energy counter).; Whenever Aetherstorm Roc attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls.",W,06F09E5A-5CFB-437F-9DD1-1682D71F4E7F,normal,,126869,"665578",772255,CB39B0ED-75D8-403A-AB0E-3E876EE7A38C,,,3,3,4,W,7941,"Flying",10099,,true,false,m3c,https://scryfall.com/card/m3c/164/aetherstorm-roc?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:47.778-09:00,,
1,"Aethertide Whale","Aethertide Whale","",M3C,175,,Normal,Rare,,,,,false,"",false,"ripplefoil",commander,,{4}{U}{U},Creature — Whale,"Flying; When Aethertide Whale enters, you get six {E} (energy counters).; Pay {E}{E}{E}{E}: Return Aethertide Whale to its owner's hand.",U,53B2C8F2-DB9A-4AB0-A4E8-17385B2FA3BD,normal,,126891,"665589",772264,B995E52D-C10B-45FB-81B8-BF0CF4890054,,,6,4,6,U,9917,"Flying",12521,,true,false,m3c,https://scryfall.com/card/m3c/175/aethertide-whale?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:47.780-09:00,,
1,"Aetherworks Marvel","Aetherworks Marvel","",M3C,281,,Normal,Mythic,,,,,false,"legendary",false,"ripplefoil",commander,,{4},Legendary Artifact,"Whenever a permanent you control is put into a graveyard, you get {E} (an energy counter).; {T}, Pay six {E}: Look at the top six cards of your library. You may cast a spell from among them without paying its mana cost. Put the rest on the bottom of your library in a random order.",,470EC98E-120C-446D-ADE6-7D80AA836B55,normal,,127107,"665695",772279,6CFDBD5F-24FE-44C3-AA9E-F14445C16D7A,,,,,4,,4396,"",4310,,true,false,m3c,https://scryfall.com/card/m3c/281/aetherworks-marvel?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:47.782-09:00,,
1,"Akroma's Will","Akroma's Will","",M3C,165,,Normal,Rare,,,,,false,"",false,"ripplefoil",commander,,{3}{W},Instant,"Choose one. If you control a commander as you cast this spell, you may choose both instead.; • Creatures you control gain flying, vigilance, and double strike until end of turn.; • Creatures you control gain lifelink, indestructible, and protection from each color until end of turn.",W,FD949F82-FC10-4E37-8AA9-6C7569FE3C55,normal,,126871,"665579",772256,0663DCC8-2F72-4439-BFA9-06C4EF06C54D,,,,,4,W,247,"",,,true,false,m3c,https://scryfall.com/card/m3c/165/akromas-will?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:47.784-09:00,,
