#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Historic Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date
1,"Urborg Uprising","Urborg Uprising","Dominaria Remastered",DMR,107,English,normal,Common,457114,6789475,0.03,2024-01-15T15:25:10-09:00,true,"",false,"",masters,,{4}{B},Sorcery,"Return up to two target creature cards from your graveyard to your hand.; Draw a card.",B,882D3BE7-1C0F-4D2B-8F2E-32369488EF82,normal,,107703,"598981",688553,497DEDBA-909A-4F1D-8B05-39C512007FBD,,,,,5,B,16580,"",10363,,true,false,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-01-15T23:35:28-09:00
1,"Goblin Matron","Goblin Matron","Dominaria Remastered",DMR,123,English,normal,Common,461961,6836691,0.13,2024-01-15T15:25:10-09:00,true,"",false,"",masters,,{2}{R},Creature — Goblin,"When Goblin Matron enters the battlefield, you may search your library for a Goblin card, reveal that card, put it into your hand, then shuffle.",R,145737A7-C597-4DEC-B752-207C2D0501E3,normal,,107735,"598997",688723,A521A254-C484-4D59-BB7E-8745E96D4BBF,,,1,1,3,R,1404,"",835,,true,false,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,legal,legal,2024-01-15T23:35:28-09:00
1,"Pain // Suffering","Pain","Dominaria Remastered",DMR,209,English,normal,Uncommon,457559,6807471,0.01,2024-01-15T15:25:10-09:00,true,"",false,"",masters,,{B} // {3}{R},Sorcery // Sorcery,"Target player discards a card. // Destroy target land.",,433FCBA3-06B8-4F1A-A709-300838251439,split,,107915,"599083",688767,3D11164C-F27B-4CAD-8620-D97ED384F0E6,,,,,5,,21841,"",4467,,true,,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-01-15T23:35:28-09:00
1,"Pashalik Mons","Pashalik Mons","Dominaria Remastered",DMR,133,English,normal,Rare,457130,6790576,0.91,2024-01-15T15:25:10-09:00,true,"legendary",false,"",masters,,{2}{R},Legendary Creature — Goblin Warrior,"Whenever Pashalik Mons or another Goblin you control dies, Pashalik Mons deals 1 damage to any target.; {3}{R}, Sacrifice a Goblin: Create two 1/1 red Goblin creature tokens.",R,BDB94CCD-1BB5-4BB7-9539-E1B1C97C19C5,normal,,107755,"599007",688491,CA20A650-65B0-4714-B7CE-0481AF3DB377,,,2,2,3,R,2322,"",623,,true,false,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-01-15T23:35:28-09:00
1,"Gempalm Incinerator","Gempalm Incinerator","Dominaria Remastered",DMR,122,English,normal,Uncommon,457128,6790416,0.11,2024-01-15T15:25:10-09:00,true,"",false,"",masters,,{2}{R},Creature — Goblin,"Cycling {1}{R} ({1}{R}, Discard this card: Draw a card.); When you cycle Gempalm Incinerator, you may have it deal X damage to target creature, where X is the number of Goblins on the battlefield.",R,467EA3E3-7767-405A-9D1A-8FA5DE696376,normal,,107733,"598996",688414,17C231E3-10EC-458B-BBA1-891812E000F6,,,2,1,3,R,5371,"Cycling",,,true,false,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,legal,not_legal,restricted,legal,not_legal,legal,legal,2024-01-15T23:35:28-09:00
1,"Chain Lightning","Chain Lightning","Dominaria Remastered",DMR,113,English,normal,Common,460351,6827451,0.19,2024-01-15T15:25:10-09:00,true,"",false,"",masters,,{R},Sorcery,"Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy.",R,8785F42F-87B9-4A0A-89CE-EA423649BA9C,normal,,107715,"598987",688716,2105A0D9-EA2E-4FFC-BE08-424B5617205D,,,,,1,R,5370,"",20,,true,false,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,legal,2024-01-15T23:35:28-09:00
1,"Subterranean Scout","Subterranean Scout","Dominaria Remastered",DMR,143,English,normal,Common,463671,6847346,0.02,2024-01-15T15:25:10-09:00,true,"",false,"",masters,,{1}{R},Creature — Goblin Scout,"When Subterranean Scout enters the battlefield, target creature with power 2 or less can't be blocked this turn.",R,19F66BFA-BDFC-430A-AE39-4535F0B28324,normal,,107775,"599017",688730,B9E6C26C-84F8-46DD-BB32-B3FC57E172C0,,,2,1,2,R,17818,"",7929,,true,false,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-01-15T23:35:28-09:00
1,"High Tide","High Tide","Dominaria Remastered",DMR,54,English,normal,Uncommon,457180,6794386,0.53,2024-01-15T15:25:10-09:00,true,"",false,"",masters,,{U},Instant,"Until end of turn, whenever a player taps an Island for mana, that player adds an additional {U}.",U,DC671205-F2FA-454F-9957-921A6069AD53,normal,,107597,"598928",688427,BABD2248-5517-4B7B-A159-9A1F7B5583C8,,,,,1,U,820,"",132,U,true,false,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,banned,legal,not_legal,legal,banned,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,legal,2024-01-15T23:35:28-09:00
1,"Howl from Beyond","Howl from Beyond","Dominaria Remastered",DMR,88,English,normal,Common,457403,6802941,0.01,2024-01-15T15:25:10-09:00,true,"",false,"",masters,,{X}{B},Instant,"Target creature gets +X/+0 until end of turn.",B,403CF6AE-48A9-4EA9-894E-7135CFCA4E1B,normal,,107665,"598962",688702,90EF6B1C-2A86-415F-A5E3-C4B4F73A4DE0,,,,,1,B,11011,"",11952,,true,false,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-01-15T23:35:28-09:00
1,"Stroke of Genius","Stroke of Genius","Dominaria Remastered",DMR,67,English,normal,Rare,457134,6790896,0.19,2024-01-15T15:25:10-09:00,true,"",false,"",masters,,{X}{2}{U},Instant,"Target player draws X cards.",U,0CC6D683-366F-4AE4-BE60-20AD9621FDAF,normal,,107623,"598941",688525,2A5B8542-F8B9-4B98-89EE-CE577B862BCE,,,,,3,U,2696,"",624,,true,false,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-01-15T23:35:28-09:00
