Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"All Is Dust","All Is Dust","",M3C,152,,Normal,Mythic,,,,,false,"",false,"ripplefoil",commander,,{7},Kindred Sorcery — Eldrazi,"Each player sacrifices all permanents they control that are one or more colors.",,14693689-D087-43B6-9C3F-63AB0648FC20,normal,0,126845,"665566",772952,600518F5-4598-436D-9513-3D32ADFC93F9,,,,,7,,861,"",0,,true,false,m3c,https://scryfall.com/card/m3c/152/all-is-dust?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2024-09-24T14:59:48.723-08:00,,
1,"Artisan of Kozilek","Artisan of Kozilek","",M3C,153,,Normal,Uncommon,,,,,false,"",false,"ripplefoil",commander,,{9},Creature — Eldrazi,"When you cast this spell, you may return target creature card from your graveyard to the battlefield.; Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)",,19409704-09C4-4A4B-A5A7-F95120B425DB,normal,0,126847,"665567",772953,C632F5A4-7F5F-4D77-9364-58EA03DFDCAD,,,10,9,9,,767,"Annihilator",648,,true,false,m3c,https://scryfall.com/card/m3c/153/artisan-of-kozilek?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,restricted,legal,not_legal,not_legal,legal,2024-09-24T14:59:48.728-08:00,,
1,"Ash Barrens","Ash Barrens","",M3C,318,,Normal,Common,,,,,false,"",false,"ripplefoil",commander,,,Land,"{T}: Add {C}.; Basic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",,58257464-278E-45FA-8E0B-BCD9A7500BC1,normal,0,127181,"665732",773054,8720542C-965E-4A98-9DE8-7E97AC20966F,,,,,0,,215,"Landcycling, Basic landcycling, Typecycling, Cycling",0,C,true,false,m3c,https://scryfall.com/card/m3c/318/ash-barrens?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-09-24T14:59:48.729-08:00,,
1,"Astral Cornucopia","Astral Cornucopia","",BRR,5,,Normal,Rare,,,,,false,"",false,"",masterpiece,,{X}{X}{X},Artifact,"Astral Cornucopia enters with X charge counters on it.; {T}: Choose a color. Add one mana of that color for each charge counter on Astral Cornucopia.",,1BC42024-52DA-4D93-8B47-544F0A4A72A1,normal,82804,104428,"586555",682885,4EA24F0F-7BDA-459C-A962-BDE22065D7CF,,,,,0,,1348,"",2906,BGRUW,true,false,brr,https://scryfall.com/card/brr/5/astral-cornucopia?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-24T14:59:58.121-08:00,,
1,"Bonders' Enclave","Bonders' Enclave","",M3C,323,,Normal,Rare,,,,,false,"",false,"ripplefoil",commander,,,Land,"{T}: Add {C}.; {3}, {T}: Draw a card. Activate only if you control a creature with power 4 or greater.",,F33CE38A-34EC-4B65-A0FC-160484A02007,normal,0,127191,"665737",773057,290A78A2-FEB0-4EA7-B681-49A4FEB12B3B,,,,,0,,584,"",4529,C,true,false,m3c,https://scryfall.com/card/m3c/323/bonders-enclave?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-24T14:59:48.737-08:00,,
1,"Bountiful Landscape","Bountiful Landscape","",MH3,217,,Foil,Common,,,,,true,"",false,"",draft_innovation,,,Land,"{T}: Add {C}.; {T}, Sacrifice Bountiful Landscape: Search your library for a basic Forest, Island, or Mountain card, put it onto the battlefield tapped, then shuffle.; Cycling {G}{U}{R} ({G}{U}{R}, Discard this card: Draw a card.)",,2EB69A8F-9456-4852-B868-85AE609D3441,normal,91068,126453,"662369",772343,B277752B-430A-4F09-8A98-B72F813DD52E,,,,,0,GRU,5506,"Cycling",0,C,false,false,mh3,https://scryfall.com/card/mh3/217/bountiful-landscape?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-09-24T14:59:58.093-08:00,,
1,"Breaker of Creation","Breaker of Creation","",MH3,1,,Foil,Uncommon,,,,,true,"",false,"",draft_innovation,,{6}{C}{C},Creature — Eldrazi,"When you cast this spell, you gain 1 life for each colorless permanent you control.; Hexproof from each color; Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)",,785026C5-3F26-489C-8E26-96DD3CA6BC98,normal,90850,126019,"662153",771076,72449552-AA2C-4AE3-846F-DF523C5E6078,,,8,4,8,,7749,"Annihilator, Hexproof from, Hexproof",0,,false,false,mh3,https://scryfall.com/card/mh3/1/breaker-of-creation?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,restricted,legal,not_legal,not_legal,not_legal,2024-09-24T14:59:58.087-08:00,,
1,"Burnished Hart","Burnished Hart","",BRR,71,,Foil,Uncommon,,,,,false,"",false,"",masterpiece,,{3},Artifact Creature — Elk,"{3}, Sacrifice Burnished Hart: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.",,893FED41-C144-433F-AF88-BC7D419B7FB3,normal,82870,104308,"587251",682935,E72BFCAE-B791-4A89-A41F-D5335A13F325,,,2,2,3,,235,"",8729,,true,false,brr,https://scryfall.com/card/brr/71/burnished-hart?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,restricted,legal,not_legal,not_legal,not_legal,2024-09-24T14:59:58.085-08:00,,
1,"Cascading Cataracts","Cascading Cataracts","",M3C,326,,Normal,Rare,,,,,false,"",false,"ripplefoil",commander,,,Land,"Indestructible; {T}: Add {C}.; {5}, {T}: Add five mana in any combination of colors.",,D98B4250-3492-4864-9C4C-42DB09B3CCD4,normal,0,127197,"665740",773061,33E6761C-CB01-4EB6-95FA-AC452684F3E7,,,,,0,,1182,"Indestructible",1412,BCGRUW,true,false,m3c,https://scryfall.com/card/m3c/326/cascading-cataracts?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-24T14:59:48.740-08:00,,
1,"Cathodion","Cathodion","",USG,287,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{3},Artifact Creature — Construct,"When Cathodion dies, add {C}{C}{C}.",,FCD4F816-2DE1-4B30-82FB-CB87F45747EA,normal,0,12093,"10659",10494,28DEF495-1806-40EC-B170-CA727C914F30,,,3,3,3,,7592,"",6945,C,false,false,usg,https://scryfall.com/card/usg/287/cathodion?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-09-24T14:59:58.128-08:00,,
