#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Adaptive Automaton","Adaptive Automaton","",BRR,1,,Foil,Rare,,,,,false,"",false,"",masterpiece,,{3},Artifact Creature — Construct,"As this creature enters, choose a creature type.; This creature is the chosen type in addition to its other types.; Other creatures you control of the chosen type get +1/+1.",,53C730C6-2F8C-4AF8-B400-B9D573A71E60,normal,82800,104420,"586551",682883,B0724F3E-A29B-49F1-BADC-DA7DEC5C697C,,,2,2,3,,1551,"",4129,,true,false,brr,https://scryfall.com/card/brr/1/adaptive-automaton?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:45:36.735-08:00,,
1,"Angel of the Ruins","Angel of the Ruins","",C21,11,,Normal,Rare,,,,,false,"",false,"",commander,,{5}{W}{W},Artifact Creature — Angel,"Flying; When this creature enters, exile up to two target artifacts and/or enchantments.; Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",W,14878A5F-7983-4133-A1A7-9D539531E092,normal,,89765,"518407",558494,EA96229A-5C33-4F79-97D4-059947DD7617,,,5,7,7,W,1152,"Flying, Plainscycling, Landcycling, Typecycling, Cycling",,,false,false,c21,https://scryfall.com/card/c21/11/angel-of-the-ruins?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:45:36.733-08:00,,
1,"Angelic Aberration","Angelic Aberration","",M3C,39,,Normal,Rare,,,,,false,"devoid",false,"ripplefoil",commander,,{5}{W},Creature — Eldrazi Angel,"Devoid (This card has no color.); Flying, vigilance; When this creature enters, sacrifice any number of creatures each with base power or toughness 1 or less. Create that many 4/4 colorless Eldrazi Angel creature tokens with flying and vigilance.",,60D0C941-39F6-4144-ABEF-02B0A84D602E,normal,,127381,"665049",772926,C79A5BBE-7B70-4B05-A336-9B2BCB2F2B8F,,,4,4,6,W,7950,"Flying, Devoid, Vigilance",,,false,false,m3c,https://scryfall.com/card/m3c/39/angelic-aberration?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:45:36.827-08:00,,
1,"Archangel Elspeth","Archangel Elspeth","",PMOM,6p,,Foil,Mythic,,,,,false,"",false,"promopack, stamped",promo,,{2}{W}{W},Legendary Planeswalker — Elspeth,"+1: Create a 1/1 white Soldier creature token with lifelink.; −2: Put two +1/+1 counters on target creature. It becomes an Angel in addition to its other types and gains flying.; −6: Return all nonland permanent cards with mana value 3 or less from your graveyard to the battlefield.",W,0B2481D6-97A0-4F92-B7E5-3451863FD7FB,normal,,,"",,F47EBE00-FFE0-4444-8F2A-B72B494404F7,,4,,,4,W,3836,"",,,false,false,pmom,https://scryfall.com/card/pmom/6p/archangel-elspeth?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:45:36.811-08:00,,
1,"Astral Cornucopia","Astral Cornucopia","",BRR,5,,Normal,Rare,,,,,false,"",false,"",masterpiece,,{X}{X}{X},Artifact,"This artifact enters with X charge counters on it.; {T}: Choose a color. Add one mana of that color for each charge counter on this artifact.",,1BC42024-52DA-4D93-8B47-544F0A4A72A1,normal,82804,104428,"586555",682885,4EA24F0F-7BDA-459C-A962-BDE22065D7CF,,,,,0,,1548,"",3208,BGRUW,true,false,brr,https://scryfall.com/card/brr/5/astral-cornucopia?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:45:36.717-08:00,,
1,"Auramancer","Auramancer","",DMR,1,,Foil,Common,,,,,true,"",false,"",masters,,{2}{W},Creature — Human Wizard,"When this creature enters, you may return target enchantment card from your graveyard to your hand.",W,BD5EB181-6A69-4DC2-93A0-FA000291BC3D,normal,,107491,"598875",688352,FFE359E9-2AC8-48AE-9A43-E2F12FD4A785,,,2,2,3,W,3525,"",2357,,true,false,dmr,https://scryfall.com/card/dmr/1/auramancer?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2025-04-20T22:45:36.739-08:00,,
1,"Brokers Hideout","Brokers Hideout","",SNC,248,,Normal,Common,,,,,true,"",false,"",expansion,,,Land,"When this land enters, sacrifice it. When you do, search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle and you gain 1 life.",,BD002797-A545-4BEE-88BF-B878436E7CCA,normal,80399,98715,"555449",652218,989B299B-DAA9-4BDA-94E2-9A2F0E8F2BCE,,,,,0,,1121,"",797,,false,false,snc,https://scryfall.com/card/snc/248/brokers-hideout?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:45:36.832-08:00,,
1,"Caretaker's Talent","Caretaker's Talent","",BLB,6,,Normal,Rare,,,,,true,"",false,"",expansion,,{2}{W},Enchantment — Class,"(Gain the next level as a sorcery to add its ability.); Whenever one or more tokens you control enter, draw a card. This ability triggers only once each turn.; {W}: Level 2; When this Class becomes level 2, create a token that's a copy of target token you control.; {3}{W}: Level 3; Creature tokens you control get +2/+2.",W,C97957A2-8310-4CFF-8AAD-871B7901D124,class,91542,129257,"668920",778525,AD5EA98A-E36E-4AB9-B4DA-CC572F3777DB,,,,,3,W,1196,"",,,false,false,blb,https://scryfall.com/card/blb/6/caretakers-talent?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:45:36.765-08:00,,
1,"Cleansing Nova","Cleansing Nova","",CMM,817,,Normal,Rare,,,,,false,"",false,"",masters,,{3}{W}{W},Sorcery,"Choose one —; • Destroy all creatures.; • Destroy all artifacts and enchantments.",W,AFF34F28-F707-4458-8AF3-1BD5B13A6B10,normal,,113975,"625222",722915,167D2E51-EB69-488C-A6B6-042A7B0E1744,,,,,5,W,974,"",2759,,true,false,cmm,https://scryfall.com/card/cmm/817/cleansing-nova?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:45:36.813-08:00,,
1,"Crystal Chimes","Crystal Chimes","",USG,292,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{3},Artifact,"{3}, {T}, Sacrifice this artifact: Return all enchantment cards from your graveyard to your hand.",,FBFF7452-1DA4-4CD0-8247-A625E4B4DA2B,normal,,12047,"5742",10499,D5D03D54-7AA4-4586-BB4B-8A5D269FE289,,,,,3,,6752,"",6774,,false,false,usg,https://scryfall.com/card/usg/292/crystal-chimes?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2025-04-20T22:45:36.718-08:00,,
