#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Access Tunnel","Access Tunnel","",OTC,270,,Normal,Uncommon,,,,,false,"",false,"",commander,,,Land,"{T}: Add {C}.; {3}, {T}: Target creature with power 3 or less can't be blocked this turn.",,ED9CC560-F30B-4B60-A094-CCF93ED656A7,normal,,125003,"658714",764947,DE71E040-BF32-4469-BC18-567DACE97DC8,,,,,0,,685,"",10304,C,true,false,otc,https://scryfall.com/card/otc/270/access-tunnel?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-07T22:01:03.961-08:00,,
1,"Arcane Heist","Arcane Heist","",OTC,13,,Normal,Rare,,,,,false,"",false,"",commander,,{2}{U}{U},Sorcery,"You may cast target instant or sorcery card from an opponent's graveyard without paying its mana cost. If that spell would be put into their graveyard, exile it instead.; Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",U,839748E7-CCB4-421E-9626-B6D8BE9390AB,normal,,125157,"658333",764503,3CEB13F4-AC9E-4DDD-9170-545F8D37B87A,,,,,4,U,7904,"Cipher",,,false,false,otc,https://scryfall.com/card/otc/13/arcane-heist?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-07T22:01:03.965-08:00,,
1,"Arcane Signet","Arcane Signet","",OTC,252,,Normal,Common,,,,,false,"",false,"",commander,,{2},Artifact,"{T}: Add one mana of any color in your commander's color identity.",,0BC7F093-BEF0-4F1A-852C-4B75EBF54838,normal,,124967,"658696",764733,2BFEB9DC-0BF7-4F19-9714-B14114E4627F,,,,,2,,3,"",,BGRUW,true,false,otc,https://scryfall.com/card/otc/252/arcane-signet?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-10-07T22:01:03.966-08:00,,
1,"Baleful Mastery","Baleful Mastery","",OTC,126,,Normal,Rare,,,,,false,"",false,"",commander,,{3}{B},Instant,"You may pay {1}{B} rather than pay this spell's mana cost.; If the {1}{B} cost was paid, an opponent draws a card.; Exile target creature or planeswalker.",B,ADFCDADD-DDDA-477B-8E72-0CAE2430FB63,normal,,124711,"658570",764945,579E20E7-1395-4A6C-A836-AE3419FC8808,,,,,4,B,996,"",2833,,true,false,otc,https://scryfall.com/card/otc/126/baleful-mastery?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-07T22:01:03.968-08:00,,
1,"Baleful Strix","Baleful Strix","",OTC,215,,Normal,Rare,,,,,false,"",false,"",commander,,{U}{B},Artifact Creature — Bird,"Flying, deathtouch; When Baleful Strix enters, draw a card.",BU,37688720-03DE-4ECA-A82D-A0AFE8D58ADC,normal,,124889,"658659",764934,BE8439E6-F779-49F0-806A-B04995697A6A,,,1,1,2,BU,357,"Deathtouch, Flying",,,true,false,otc,https://scryfall.com/card/otc/215/baleful-strix?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,restricted,legal,not_legal,not_legal,not_legal,2024-10-07T22:01:03.969-08:00,,
1,"Bladegriff Prototype","Bladegriff Prototype","",OTC,253,,Normal,Rare,,,,,false,"",false,"",commander,,{5},Artifact Creature — Griffin,"Flying; Whenever Bladegriff Prototype deals combat damage to a player, destroy target nonland permanent of that player's choice that one of your opponents controls.",,9FFF90B6-98EF-4F78-B08D-7E46DFC03403,normal,,124969,"658697",764942,0093BDCF-6626-40AB-9B87-8AB9E4A306A4,,,3,2,5,,6228,"Flying",,,true,false,otc,https://scryfall.com/card/otc/253/bladegriff-prototype?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-07T22:01:03.971-08:00,,
1,"Brainstealer Dragon","Brainstealer Dragon","",OTC,127,,Normal,Rare,,,,,false,"",false,"",commander,,{5}{B}{B},Creature — Dragon Horror,"Flying; At the beginning of your end step, exile the top card of each opponent's library. You may play those cards for as long as they remain exiled. If you cast a spell this way, you may spend mana as though it were mana of any color to cast it.; Whenever a nonland permanent an opponent owns enters the battlefield under your control, they lose life equal to its mana value.",B,13CB958F-1E66-4219-901A-FF58275C8475,normal,,124713,"658571",764811,884D4EEA-77C0-4B78-BB83-3F855CC77298,,,6,6,7,B,1988,"Flying",,,true,false,otc,https://scryfall.com/card/otc/127/brainstealer-dragon?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-07T22:01:03.973-08:00,,
1,"Cazur, Ruthless Stalker","Cazur, Ruthless Stalker","",OTC,188,,Normal,Mythic,,,,,false,"legendary",false,"",commander,,{3}{G},Legendary Creature — Human Warrior,"Partner with Ukkima, Stalking Shadow (When this creature enters, target player may put Ukkima into their hand from their library, then shuffle.); Whenever a creature you control deals combat damage to a player, put a +1/+1 counter on that creature.",G,CCFC74F7-BF32-4201-AD8F-F552ED7F96F8,normal,,124835,"658632",764659,6EE4FDA8-07CD-4091-8850-A6925080B464,,,3,3,4,G,6417,"Partner with, Partner",,,true,false,otc,https://scryfall.com/card/otc/188/cazur-ruthless-stalker?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-07T22:01:03.977-08:00,,
1,"Chaos Wand","Chaos Wand","",OTC,254,,Normal,Rare,,,,,false,"",false,"",commander,,{3},Artifact,"{4}, {T}: Target opponent exiles cards from the top of their library until they exile an instant or sorcery card. You may cast that card without paying its mana cost. Then put the exiled cards that weren't cast this way on the bottom of that library in a random order.",,0B95C115-6745-4CE1-896B-9021E93C161E,normal,,124971,"658698",764623,67EB6AB9-D264-4EC6-9DAC-3B16EE8C9EC0,,,,,3,,2540,"",10342,,true,false,otc,https://scryfall.com/card/otc/254/chaos-wand?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-07T22:01:03.978-08:00,,
1,"Cold-Eyed Selkie","Cold-Eyed Selkie","",OTC,218,,Normal,Rare,,,,,false,"",false,"",commander,,{1}{G/U}{G/U},Creature — Merfolk Rogue,"Islandwalk (This creature can't be blocked as long as defending player controls an Island.); Whenever Cold-Eyed Selkie deals combat damage to a player, you may draw that many cards.",GU,F33CD975-AB70-4209-A6D8-E0D727772BF2,normal,,124895,"658662",764841,8C39DC54-611E-48A8-ADBA-9CC31AFA87D0,,,1,1,3,GU,1540,"Landwalk, Islandwalk",6316,,true,false,otc,https://scryfall.com/card/otc/218/cold-eyed-selkie?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2024-10-07T22:01:03.980-08:00,,
