#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Anger","Anger","",LTC,210,,Normal,Uncommon,,,,,false,"",false,"",commander,,{3}{R},Creature — Incarnation,"Haste; As long as this card is in your graveyard and you control a Mountain, creatures you control have haste.",R,EAABD151-2160-4BFF-82C0-3FA88659BE98,normal,,112774,"621320",717212,59773A37-371F-44B8-9418-9D9A875B992C,,,2,2,4,R,429,"Haste",,,true,false,ltc,https://scryfall.com/card/ltc/210/anger?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2025-04-20T23:25:00.206-08:00,,
1,"Arcane Denial","Arcane Denial","",LTC,184,,Normal,Common,,,,,false,"",false,"",commander,,{1}{U},Instant,"Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.; You draw a card at the beginning of the next turn's upkeep.",U,AB1CC360-B9DE-48D9-9983-4DFE4A7D2A37,normal,,112722,"621294",717144,7E0CC18D-C6B8-4DB1-AC07-0F17AE6D6C95,,,,,2,U,59,"",,,true,false,ltc,https://scryfall.com/card/ltc/184/arcane-denial?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2025-04-20T23:25:00.207-08:00,,
1,"Arcane Signet","Arcane Signet","",LTC,273,,Normal,Common,,,,,false,"",false,"",commander,,{2},Artifact,"{T}: Add one mana of any color in your commander's color identity.",,0BC7F093-BEF0-4F1A-852C-4B75EBF54838,normal,,112900,"621383",717140,4E92354D-C203-41E1-822D-8263FADD9EB3,,,,,2,,3,"",,BGRUW,true,false,ltc,https://scryfall.com/card/ltc/273/arcane-signet?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:25:00.209-08:00,,
1,"Basalt Monolith","Basalt Monolith","",LTC,274,,Normal,Uncommon,,,,,false,"",false,"",commander,,{3},Artifact,"This artifact doesn't untap during your untap step.; {T}: Add {C}{C}{C}.; {3}: Untap this artifact.",,6B8CF2A0-B045-4D91-9D91-C602D40C6237,normal,,112902,"621384",717159,97D8DBC9-D9F3-4E8E-95D2-27917C152A29,,,,,3,,507,"",1605,C,true,false,ltc,https://scryfall.com/card/ltc/274/basalt-monolith?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2025-04-20T23:25:00.209-08:00,,
1,"Bitter Downfall","Bitter Downfall","",LTR,77,,Normal,Uncommon,,,,,true,"",false,"",draft_innovation,,{3}{B},Instant,"This spell costs {3} less to cast if it targets a creature that was dealt damage this turn.; Destroy target creature. Its controller loses 2 life.",B,19C22E08-29B6-4B3D-BF6E-28A5ADD620BB,normal,84769,112064,"616907",716141,E4B83AA1-33CE-4B8D-AE5A-72F64EEF5F09,,,,,4,B,8747,"",,,false,false,ltr,https://scryfall.com/card/ltr/77/bitter-downfall?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:25:00.210-08:00,,
1,"Blasphemous Act","Blasphemous Act","",LTC,211,,Normal,Rare,,,,,false,"",false,"",commander,,{8}{R},Sorcery,"This spell costs {1} less to cast for each creature on the battlefield.; Blasphemous Act deals 13 damage to each creature.",R,7A2484A9-04FD-41A0-8224-610C1C07ED10,normal,,112776,"621321",717411,CF9E842F-4840-49E3-B4F3-C2FAD395D41A,,,,,9,R,25,"",2662,,true,false,ltc,https://scryfall.com/card/ltc/211/blasphemous-act?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:25:00.211-08:00,,
1,"Boon of the Wish-Giver","Boon of the Wish-Giver","",LTC,185,,Normal,Uncommon,,,,,false,"",false,"",commander,,{4}{U}{U},Sorcery,"Draw four cards.; Cycling {1} ({1}, Discard this card: Draw a card.)",U,1720D38A-C3C1-4294-85C1-A91FC7179D6F,normal,,112724,"621295",717134,BF2FA3FD-F6D9-4C23-9025-9B8B72DA32DC,,,,,6,U,5865,"Cycling",3729,,true,false,ltc,https://scryfall.com/card/ltc/185/boon-of-the-wish-giver?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:25:00.212-08:00,,
1,"Cavern-Hoard Dragon","Cavern-Hoard Dragon","",LTC,31,,Normal,Rare,,,,,false,"",false,"",commander,,{7}{R}{R},Creature — Dragon,"This spell costs {X} less to cast, where X is the greatest number of artifacts an opponent controls.; Flying, trample, haste; Whenever this creature deals combat damage to a player, you create a Treasure token for each artifact that player controls.",R,939E8448-013A-4AEF-9A92-7C883A77A1A0,normal,,113094,"620717",717439,C67E509E-A219-4F7F-B7EB-8C446CC0620A,,,6,6,9,R,1351,"Flying, Treasure, Haste, Trample",,,false,false,ltc,https://scryfall.com/card/ltc/31/cavern-hoard-dragon?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:25:00.213-08:00,,
1,"Choked Estuary","Choked Estuary","",LTC,299,,Normal,Rare,,,,,false,"",false,"",commander,,,Land,"As this land enters, you may reveal an Island or Swamp card from your hand. If you don't, this land enters tapped.; {T}: Add {U} or {B}.",,D473B507-8C33-4118-BC10-B0A268776074,normal,,112952,"621409",717178,3128D8C7-2486-4B66-9C30-7A3C5E7D7FE5,,,,,0,BU,260,"",181,BU,true,false,ltc,https://scryfall.com/card/ltc/299/choked-estuary?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:25:00.214-08:00,,
1,"Command Tower","Command Tower","",LTC,301,,Normal,Common,,,,,false,"",false,"",commander,,,Land,"{T}: Add one mana of any color in your commander's color identity.",,0895C9B7-AE7D-4BB3-AF17-3B75DEB50A25,normal,,112956,"621411",717395,5306A95E-FB18-463D-81A9-3C3B8121FC94,,,,,0,,2,"",,BGRUW,true,false,ltc,https://scryfall.com/card/ltc/301/command-tower?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:25:00.215-08:00,,
