#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Amphibian Downpour","Amphibian Downpour","",MH3,449,,Normal,Rare,,,,,false,"extendedart",false,"boosterfun",draft_innovation,,{2}{U},Enchantment — Aura,"Flash; Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies. Copies become tokens.); Enchant creature; Enchanted creature loses all abilities and is a blue Frog creature with base power and toughness 1/1.",U,A4280CEA-386B-450D-A7E9-29C7AA58CE5A,normal,,125677,"661650",,D2C2D9F8-E5CB-4783-B314-DF2B6F75B154,,,,,3,U,5049,"Storm, Enchant, Flash",11284,,false,false,mh3,https://scryfall.com/card/mh3/449/amphibian-downpour?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-11-06T09:29:56.680-09:00,,
1,"Arcanis the Omnipotent","Arcanis the Omnipotent","",DMR,280,,Normal,Rare,,,,,false,"",false,"boosterfun",masters,,{3}{U}{U}{U},Legendary Creature — Wizard,"{T}: Draw three cards.; {2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.",U,8A7183CC-161C-444D-A889-A17519C8061B,normal,,107245,"601349",,6A2C1C92-3DA1-4F7E-A02C-831311115A5D,,,3,4,6,U,2482,"",6266,,true,false,dmr,https://scryfall.com/card/dmr/280/arcanis-the-omnipotent?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-11-06T09:29:56.652-09:00,,
1,"Chart a Course","Chart a Course","",LCI,48,,Foil,Uncommon,,,,,true,"",false,"",expansion,,{1}{U},Sorcery,"Draw two cards. Then discard a card unless you attacked this turn.",U,05878E49-93AD-4144-9C50-A0BB86126C2E,normal,87185,117886,"636745",740860,233BEAAC-37A4-4824-8F31-438B6BFE794B,,,,,2,U,1975,"",707,,true,false,lci,https://scryfall.com/card/lci/48/chart-a-course?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-11-06T09:29:56.711-09:00,,
1,"Cloud of Faeries","Cloud of Faeries","",DMR,43,,Foil,Common,,,,,true,"",false,"",masters,,{1}{U},Creature — Faerie,"Flying; When Cloud of Faeries enters, untap up to two lands.; Cycling {2} ({2}, Discard this card: Draw a card.)",U,ADC1F3B4-CCE7-42C9-A208-DBAB1D1924F5,normal,,107575,"598917",688678,ED95F539-1D8B-408B-9AF2-8C6F93FB98C8,,,1,1,2,U,1980,"Flying, Cycling",439,,true,false,dmr,https://scryfall.com/card/dmr/43/cloud-of-faeries?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,banned,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-11-06T09:29:56.653-09:00,,
1,"Counterspell","Counterspell","",DMR,281,,Foil,Common,,,,,false,"",false,"boosterfun",masters,,{U}{U},Instant,"Counter target spell.",U,CC187110-1148-4090-BBB8-E205694A39F5,normal,,107247,"601350",,D14D5FF3-40C0-4F22-91AD-D6C8447CB9E0,,,,,2,U,16,"",8,,true,false,dmr,https://scryfall.com/card/dmr/281/counterspell?utm_source=api,not_legal,not_legal,banned,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-11-06T09:29:56.690-09:00,,
1,"Crystal Shard","Crystal Shard","",TSR,393,,Normal,Special,,,,,true,"",false,"",masters,,{3},Artifact,"{3}, {T} or {U}, {T}: Return target creature to its owner's hand unless its controller pays {1}.",,CD8CCB10-A2C8-4A84-AA41-6CE6018F9BB7,normal,,87163,"512359",543801,CD9B7BF9-4087-4235-A21E-33F52AE69B48,,,,,3,U,3308,"",5190,,true,false,tsr,https://scryfall.com/card/tsr/393/crystal-shard?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2024-11-06T09:29:56.726-09:00,,
1,"Curiosity","Curiosity","",WOT,17,,Foil,Uncommon,,,,,false,"showcase",false,"boosterfun",masterpiece,,{U},Enchantment — Aura,"Enchant creature; Whenever enchanted creature deals damage to an opponent, you may draw a card.",U,223FA044-D387-4884-BF4E-75F1B61C6A46,normal,87055,115858,"632445",728400,96056DC1-B989-4C87-8AD9-7A9DD99DD7FC,,,,,1,U,833,"Enchant",1197,,true,false,wot,https://scryfall.com/card/wot/17/curiosity?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-11-06T09:29:56.681-09:00,,
1,"Deep Analysis","Deep Analysis","",MH3,268,,Foil,Uncommon,,,,,true,"",false,"",draft_innovation,,{3}{U},Sorcery,"Target player draws two cards.; Flashback—{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",U,579CBD92-797F-4CDF-91ED-FCA7A523EAE5,normal,91094,125947,"664047",771519,0F33818E-6F6E-47A9-AE5D-406BDD47B292,,,,,4,U,1482,"Flashback",498,,true,false,mh3,https://scryfall.com/card/mh3/268/deep-analysis?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-11-06T09:29:56.712-09:00,,
1,"Drafna, Founder of Lat-Nam","Drafna, Founder of Lat-Nam","",BRO,47,,Foil,Rare,,,,,true,"legendary",false,"",expansion,,{1}{U},Legendary Creature — Human Artificer Advisor,"{1}{U}: Return target artifact you control to its owner's hand.; {3}, {T}: Copy target artifact spell you control. (The copy becomes a token.)",U,ED2E8718-4B20-4310-96CE-05A29A24EF32,normal,82531,104712,"583632",682635,F7355905-2B3B-4191-A89C-A0FC1494928B,,,2,1,2,U,4601,"",6754,,false,false,bro,https://scryfall.com/card/bro/47/drafna-founder-of-lat-nam?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-11-06T09:29:56.655-09:00,,
1,"Drain Power","Drain Power","",5ED,82,,Normal,Rare,,,,,true,"",false,"",core,,{U}{U},Sorcery,"Target player activates a mana ability of each land they control. Then that player loses all unspent mana and you add the mana lost this way.",U,0669172D-396B-4F5A-9703-129C5C849B55,normal,,,"3903",9453,582D8496-F319-4666-A6CD-160FF33578DB,,,,,2,U,15300,"",,BGRUW,true,false,5ed,https://scryfall.com/card/5ed/82/drain-power?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-11-06T09:29:56.714-09:00,,
