Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Ancient Greenwarden","Ancient Greenwarden","",OTC,186,,Normal,Mythic,,,,,false,"",false,"",commander,,{4}{G}{G},Creature — Elemental,"Reach (This creature can block creatures with flying.); You may play lands from your graveyard.; If a land entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.",G,3BCF090C-E890-4A9F-A8AA-6079E4EC9947,normal,0,124831,"658630",764682,12A0BF5C-A165-48F1-9A57-3A7CC9F3B0F9,,,5,7,6,G,722,"Reach",0,,true,false,otc,https://scryfall.com/card/otc/186/ancient-greenwarden?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:04:39.812-09:00,,
1,"Argoth, Sanctum of Nature","Argoth, Sanctum of Nature","",BRO,256a,,Foil,Rare,,,,,true,"",false,"",expansion,,,Land,"Argoth, Sanctum of Nature enters tapped unless you control a legendary green creature.; {T}: Add {G}.; {2}{G}{G}, {T}: Create a 2/2 green Bear creature token, then mill three cards. Activate only as a sorcery.; (Melds with Titania, Voice of Gaea.)",,62648946-1708-48F4-BA40-C057563AB11B,meld,82743,105136,"588291",0,B29C9E4F-7B98-4610-A681-AE6297E8FC72,,,,,0,G,2095,"Mill",1281,G,false,false,bro,https://scryfall.com/card/bro/256a/argoth-sanctum-of-nature?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:05:53.259-09:00,,
1,"Arwen, Weaver of Hope","Arwen, Weaver of Hope","",LTC,35,,Normal,Rare,,,,,false,"legendary",false,"",commander,,{1}{G}{G},Legendary Creature — Elf Noble,"Each other creature you control enters with a number of additional +1/+1 counters on it equal to Arwen, Weaver of Hope's toughness.",G,C0891157-F3DD-4866-866F-FD13E9BE9633,normal,0,113102,"620721",717360,4D4F4D41-232D-4377-BE69-DE590B880EDB,,,2,1,3,G,1795,"",0,,false,false,ltc,https://scryfall.com/card/ltc/35/arwen-weaver-of-hope?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:04:39.810-09:00,,
1,"Ash Barrens","Ash Barrens","Commander Masters",CMM,419,English,Normal,Common,505387,7278748,0.1,2024-08-29T01:11:57.669-08:00,true,"",false,"",masters,,,Land,"{T}: Add {C}.; Basic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",,58257464-278E-45FA-8E0B-BCD9A7500BC1,normal,0,115067,"627883",722896,DF0693AE-55F9-4864-B5DB-383715A04D21,,,,,0,,207,"Landcycling, Basic landcycling, Typecycling, Cycling",0,C,true,false,cmm,https://scryfall.com/card/cmm/419/ash-barrens?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:03:46.076-09:00,,
1,"Atraxa's Fall","Atraxa's Fall","March of the Machine",MOM,176,English,Foil,Common,491732,7086783,0.13,2024-08-29T01:11:57.669-08:00,true,"",false,"",expansion,,{1}{G},Sorcery,"Destroy target artifact, battle, enchantment, or creature with flying.",G,22677153-BD87-4FF8-AF92-CED4DA2AAC6C,normal,84460,110220,"607224",704814,E08ED414-77BF-402A-82A8-9D4E1BD627A1,,,,,2,G,7521,"",7450,,false,false,mom,https://scryfall.com/card/mom/176/atraxas-fall?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:03:46.078-09:00,,
1,"Carnivorous Canopy","Carnivorous Canopy","Phyrexia: All Will Be One",ONE,162,English,Normal,Common,478384,6933141,0.11,2024-08-29T01:11:57.669-08:00,true,"",false,"",expansion,,{2}{G},Sorcery,"Destroy target artifact, enchantment, or creature with flying. If that permanent's mana value was 3 or less, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",G,B3360259-19DF-43C6-95A9-E76770F2FB77,normal,83862,106539,"602692",692848,7B43BA43-F7AE-4E00-B797-2360C3CCD839,,,,,3,G,5060,"Proliferate",15184,,false,false,one,https://scryfall.com/card/one/162/carnivorous-canopy?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:03:46.080-09:00,,
1,"Celeborn the Wise","Celeborn the Wise","Universes Beyond: The Lord of the Rings: Tales of Middle-earth",LTR,156,English,Foil,Uncommon,499367,7195342,0.19,2024-08-29T01:11:57.669-08:00,true,"legendary",false,"",draft_innovation,,{3}{G},Legendary Creature — Elf Noble,"Whenever you attack with one or more Elves, scry 1.; Whenever you scry, Celeborn the Wise gets +1/+1 until end of turn for each card looked at while scrying this way.",G,64FA0416-16B7-4128-AC6C-F30373074A1E,normal,84848,112222,"616986",716938,2DAF449A-5F3E-44FD-968E-55D8517AE797,,,3,3,4,G,7353,"Scry",0,,false,false,ltr,https://scryfall.com/card/ltr/156/celeborn-the-wise?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:03:46.082-09:00,,
1,"Collective Resistance","Collective Resistance","Modern Horizons 3",MH3,147,English,Normal,Uncommon,552623,7937855,0.32,2024-08-29T01:11:57.669-08:00,true,"",false,"",draft_innovation,,{1}{G},Instant,"Escalate {G} (Pay this cost for each mode chosen beyond the first.); Choose one or more —; • Destroy target artifact.; • Destroy target enchantment.; • Target creature gains hexproof and indestructible until end of turn.",G,BFFDFE7B-F17A-41B6-A460-80280FE497D4,normal,90997,126311,"662299",771458,F260BD08-68B6-44F4-ACE9-E298CB13D82E,,,,,2,G,2379,"Escalate",0,,false,false,mh3,https://scryfall.com/card/mh3/147/collective-resistance?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:03:46.085-09:00,,
1,"Eladamri, Korvecdal","Eladamri, Korvecdal","",MH3,149,,Normal,Mythic,,,,,true,"legendary",false,"",draft_innovation,,{1}{G}{G},Legendary Creature — Elf Warrior,"You may look at the top card of your library any time.; You may cast creature spells from the top of your library.; {G}, {T}, Tap two untapped creatures you control: Reveal a card from your hand or the top card of your library. If you reveal a creature card this way, put it onto the battlefield. Activate only during your turn.",G,9AFF3D55-E25D-4F06-A783-C3AA9EB9FD50,normal,90999,126315,"662301",771198,DFDABDDA-BD46-4EA2-8B37-5D7F6CEC6AFF,,,3,3,3,G,4009,"",941,,false,false,mh3,https://scryfall.com/card/mh3/149/eladamri-korvecdal?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:04:39.814-09:00,,
1,"Elegant Entourage","Elegant Entourage","Streets of New Capenna",SNC,143,English,Normal,Uncommon,268792,5509302,0.05,2024-08-29T01:11:57.669-08:00,true,"",false,"",expansion,,{3}{G},Creature — Elf Druid,"Alliance — Whenever another creature you control enters, target creature other than Elegant Entourage gets +1/+1 and gains trample until end of turn.",G,E049EB22-A01A-463E-8DE9-705D6EAF84E2,normal,80294,98505,"555344",651848,E9D3500E-09BA-48B6-933F-25B4625B79AA,,,4,4,4,G,16556,"Alliance",0,,false,false,snc,https://scryfall.com/card/snc/143/elegant-entourage?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:03:46.086-09:00,,
