Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Alabaster Host Sanctifier","Alabaster Host Sanctifier","March of the Machine",MOM,4,English,Normal,Common,490396,7045596,0.01,2024-02-03T22:12:03.000-09:00,true,"",false,"",expansion,,{1}{W},Creature — Phyrexian Cleric,"Lifelink",W,AD172D4E-FEBF-4844-9544-861D03E27AB5,normal,84251,109802,"607015",703487,EFBD934A-39C4-4CE7-AF2A-34CA226D7F23,,,2,2,2,W,17304,"Lifelink",0,,false,false,mom,https://scryfall.com/card/mom/4/alabaster-host-sanctifier?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-12-23T00:59:56.029-09:00,,
1,"Amalia Benavides Aguirre (Showcase)","Amalia Benavides Aguirre","The Lost Caverns of Ixalan",LCI,299,English,Foil,Rare,525129,7515999,2.01,2024-02-03T22:12:03.000-09:00,true,"showcase, legendary",false,"boosterfun",expansion,,{W}{B},Legendary Creature — Vampire Scout,"Ward—Pay 3 life.; Whenever you gain life, Amalia Benavides Aguirre explores. Then destroy all other creatures if its power is exactly 20. (To have this creature explore, reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",BW,85EEFDA9-4AAB-467D-A08C-BE026CB8FF42,normal,0,117490,"636507",0,9B1AE96C-012C-4BD4-81F0-5944FC03A8A9,,,2,2,2,BW,4352,"Explore, Ward",1023,,false,false,lci,https://scryfall.com/card/lci/299/amalia-benavides-aguirre?utm_source=api,legal,legal,legal,legal,legal,banned,banned,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T00:59:56.058-09:00,,
1,"Blind Obedience","Blind Obedience","Wilds of Eldraine: Enchanting Tales",WOT,1,English,Normal,Rare,513356,7384829,1.78,2024-02-03T22:12:03.000-09:00,false,"showcase",false,"boosterfun",masterpiece,,{1}{W},Enchantment,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.); Artifacts and creatures your opponents control enter tapped.",W,5D998C09-7D89-4265-ADA4-6D80CBF56DAE,normal,87039,115826,"632429",730279,1CB0EA8E-0707-46A8-9DC6-77C17244FD7B,,,,,2,W,396,"Extort",5221,,true,false,wot,https://scryfall.com/card/wot/1/blind-obedience?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T00:59:56.107-09:00,,
1,"Bloodletter of Aclazotz (Borderless)","Bloodletter of Aclazotz","The Lost Caverns of Ixalan",LCI,336,English,Foil,Mythic,524419,7509979,13.76,2024-02-03T22:12:03.000-09:00,true,"",false,"boosterfun",expansion,,{1}{B}{B}{B},Creature — Vampire Demon,"Flying; If an opponent would lose life during your turn, they lose twice that much life instead. (Damage causes loss of life.)",B,469956A2-7CD4-4695-B8F4-C841526F160D,normal,0,117680,"639262",0,48C5B98D-73CD-4B69-9933-4867DA6E8389,,,2,4,4,B,1135,"Flying",0,,false,false,lci,https://scryfall.com/card/lci/336/bloodletter-of-aclazotz?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T00:59:56.072-09:00,,
1,"Bontu's Monument","Bontu's Monument","",AKH,225,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{3},Legendary Artifact,"Black creature spells you cast cost {1} less to cast.; Whenever you cast a creature spell, each opponent loses 1 life and you gain 1 life.",,940BA435-7ABC-40F8-A5AF-C1C653B3284E,normal,0,64112,"426927",296710,E9B00377-9ACC-47C4-AE2F-B396D7050A15,,,,,3,,662,"",3643,,false,false,akh,https://scryfall.com/card/akh/225/bontus-monument?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:06:17.539-09:00,,
1,"Bronzebeak Foragers (Extended Art)","Bronzebeak Foragers","Commander: The Lost Caverns of Ixalan",LCC,37,English,Normal,Rare,526234,7544457,1.07,2024-02-03T22:12:03.000-09:00,false,"extendedart",false,"boosterfun",commander,,{3}{W},Creature — Dinosaur,"When Bronzebeak Foragers enters, for each opponent, exile up to one target nonland permanent that player controls until Bronzebeak Foragers leaves the battlefield.; {X}{W}: Put target card with mana value X exiled with Bronzebeak Foragers into its owner's graveyard. You gain X life.",W,0F5F6F3E-1B3C-43E2-B11D-BD454366845C,normal,0,118458,"640261",0,37730957-0483-49B7-9FE0-AFF7C45F5D03,,,3,4,4,W,4051,"",0,,false,false,lcc,https://scryfall.com/card/lcc/37/bronzebeak-foragers?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T00:59:56.125-09:00,,
1,"Caves of Koilos","Caves of Koilos","",M3C,328,,Normal,Rare,,,,,false,"",false,"ripplefoil",commander,,,Land,"{T}: Add {C}.; {T}: Add {W} or {B}. Caves of Koilos deals 1 damage to you.",,33DE01E9-CE5A-42D4-AFCB-343CD54A6D80,normal,0,127201,"665742",773062,94B2B5B9-1227-4B4B-A229-C9804550F9B6,,,,,0,BW,131,"",38,BCW,true,false,m3c,https://scryfall.com/card/m3c/328/caves-of-koilos?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-12-23T01:06:17.542-09:00,,
1,"Children of Korlis","Children of Korlis","Time Spiral: Remastered",TSR,14,English,Normal,Common,234316,4825794,0.14,2024-02-03T22:12:03.000-09:00,true,"",false,"",masters,,{W},Creature — Human Rebel Cleric,"Sacrifice Children of Korlis: You gain life equal to the life you've lost this turn. (Damage causes loss of life.)",W,D44A8F89-B9C0-4E8A-9179-BAA0C448A3C9,normal,0,86391,"509379",548046,1A6CBECE-F9D8-4C40-B72B-DFDB86430FF2,,,1,1,1,W,5718,"",3931,,true,false,tsr,https://scryfall.com/card/tsr/14/children-of-korlis?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,legal,2024-12-23T00:59:56.028-09:00,,
1,"Command Tower (Borderless)","Command Tower","Universes Beyond: Jurassic World Collection",REX,26,English,Normal,Land,524276,7504723,1.19,2024-02-03T22:12:03.000-09:00,false,"",false,"boosterfun",masterpiece,,// ,Land // Land,"{T}: Add one mana of any color in your commander's color identity. // {T}: Add one mana of any color in your commander's color identity.",,0895C9B7-AE7D-4BB3-AF17-3B75DEB50A25 // 0895C9B7-AE7D-4BB3-AF17-3B75DEB50A25,reversible_card,0,117470,"642587, 642586",740990,BFFBE9EC-EDBC-43ED-A3BF-60635E7E625C,,,,,0 // 0,,2,"",0,BGRUW,true,,rex,https://scryfall.com/card/rex/26/command-tower-command-tower?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-12-23T00:59:56.147-09:00,,
1,"Crypt Ghast","Crypt Ghast","Gatecrash",GTC,61,English,Normal,Rare,67378,1067147,5.35,2024-04-17T22:16:38.155-08:00,true,"",false,"",expansion,,{3}{B},Creature — Spirit,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.); Whenever you tap a Swamp for mana, add an additional {B}.",B,A3C8D817-7949-4DAE-B9F5-F9D952479270,normal,0,47753,"366452",259847,3795A4E7-646F-4BB7-B154-2610EB740E8D,,,2,2,4,B,546,"Extort",7251,B,false,false,gtc,https://scryfall.com/card/gtc/61/crypt-ghast?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:00:37.534-09:00,,
