#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Archon's Glory","Archon's Glory","Wilds of Eldraine",WOE,2,English,Normal,Common,513967,7404312,0.03,2024-04-17T22:16:38.148-08:00,true,"",false,"",expansion,,{W},Instant,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.); Target creature gets +2/+2 until end of turn. If this spell was bargained, that creature also gains flying and lifelink until end of turn.",W,BC5631AE-494E-4987-8D17-57674BFBDB9F,normal,86684,116292,"629503",729901,E71768E7-4EF7-4FB2-838B-EB3A7F662D38,,,,,1,W,16591,"Bargain",,,false,false,woe,https://scryfall.com/card/woe/2/archons-glory?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:34.078-08:00,,
2,"Brave the Wilds","Brave the Wilds","Wilds of Eldraine",WOE,165,English,Normal,Common,512716,7373310,0.03,2024-04-17T22:16:38.148-08:00,true,"",false,"",expansion,,{G},Sorcery,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.); If this spell was bargained, target land you control becomes a 3/3 Elemental creature with haste that's still a land.; Search your library for a basic land card, reveal it, put it into your hand, then shuffle.",G,49D189DD-9CE7-434F-931B-7110CD5255E7,normal,86871,116666,"629666",728463,821B9E86-D108-42E5-B642-C5E07AB16C37,,,,,1,G,13871,"Bargain",7235,,false,false,woe,https://scryfall.com/card/woe/165/brave-the-wilds?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:34.059-08:00,,
1,"Break the Spell","Break the Spell","Wilds of Eldraine",WOE,5,English,Normal,Common,512164,7355612,0.02,2024-04-17T22:16:38.148-08:00,true,"",false,"",expansion,,{W},Instant,"Destroy target enchantment. If a permanent you controlled or a token was destroyed this way, draw a card.",W,B9D51E07-851F-4B7B-BFFE-7C1EFFF0714C,normal,86688,116300,"629506",728015,F7094FC0-1D26-429C-9B49-37718C4A5C80,,,,,1,W,13504,"",8185,,false,false,woe,https://scryfall.com/card/woe/5/break-the-spell?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:34.075-08:00,,
1,"Cheeky House-Mouse","Cheeky House-Mouse","Wilds of Eldraine",WOE,7,English,Normal,Uncommon,513299,7382564,0.04,2024-04-17T22:16:38.148-08:00,true,"",false,"",expansion,,{W} // {W},Creature — Mouse // Sorcery — Adventure," // Target creature you control gets +1/+1 until end of turn. It can't be blocked by creatures with power 3 or greater this turn.",,DB70DDAE-0AC1-47F2-9158-8448E337A08F,adventure,86690,116304,"629508",729561,1F3013BF-9647-4BDB-A638-D299AE00F88E,,,2,1,1,,12077,"",1185,,false,,woe,https://scryfall.com/card/woe/7/cheeky-house-mouse-squeak-by?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,restricted,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:34.068-08:00,,
1,"Collector's Vault","Collector's Vault","Wilds of Eldraine",WOE,244,English,Normal,Uncommon,513354,7384669,0.37,2024-04-17T22:16:38.148-08:00,true,"",false,"",expansion,,{2},Artifact,"{2}, {T}: Draw a card, then discard a card. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",,F460FF80-8175-43F7-9810-540CF3817085,normal,86976,116876,"629745",729568,967A4F27-8CD6-437D-8C05-8AEDBC7DDC4B,,,,,2,,2007,"Treasure",522,BGRUW,false,false,woe,https://scryfall.com/card/woe/244/collectors-vault?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:34.056-08:00,,
1,"Cooped Up","Cooped Up","Wilds of Eldraine",WOE,8,English,Normal,Common,513905,7402512,0.02,2024-04-17T22:16:38.148-08:00,true,"",false,"",expansion,,{1}{W},Enchantment — Aura,"Enchant creature; Enchanted creature can't attack or block.; {2}{W}: Exile enchanted creature.",W,3E8BCB44-B875-4FE4-B96F-97A20CBFEC93,normal,86692,116308,"629509",729956,8ACB8758-09C5-4E19-ADA1-904E36ECE1FC,,,,,2,W,11402,"Enchant",5656,,false,false,woe,https://scryfall.com/card/woe/8/cooped-up?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:34.080-08:00,,
1,"Discerning Financier","Discerning Financier","Wilds of Eldraine",WOE,10,English,Normal,Uncommon,512635,7369315,0.08,2024-04-17T22:16:38.148-08:00,true,"",false,"",expansion,,{2}{W},Creature — Human Noble,"At the beginning of your upkeep, if an opponent controls more lands than you, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color.""); {2}{W}: Choose another player. That player gains control of target Treasure you control. You draw a card.",W,734A5186-CAA6-4811-B6D7-91B7B32FC403,normal,86694,116312,"629511",728473,584774B5-640F-45E0-810B-F5FAF119645B,,,2,3,3,W,7248,"Treasure",11364,BGRUW,false,false,woe,https://scryfall.com/card/woe/10/discerning-financier?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,restricted,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:34.045-08:00,,
7,"Forest (0266)","Forest","Wilds of Eldraine",WOE,266,English,Normal,Land,509495,7332487,0.48,2024-04-17T22:16:38.148-08:00,true,"fullart",true,"",expansion,,,Basic Land — Forest,"({T}: Add {G}.)",,B34BB2DC-C1AF-4D77-B0B3-A0FB342A5FC6,normal,87024,116940,"631594",725340,ECD6D8FB-780C-446C-A8BF-93386B22FE95,,,,,0,G,,"",,G,true,false,woe,https://scryfall.com/card/woe/266/forest?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-09-27T12:50:34.086-08:00,,
1,"Ground Seal","Ground Seal","Wilds of Eldraine: Enchanting Tales",WOT,54,English,Normal,Uncommon,512611,7368577,0.03,2024-04-17T22:16:38.148-08:00,false,"showcase",false,"boosterfun",masterpiece,,{1}{G},Enchantment,"When Ground Seal enters, draw a card.; Cards in graveyards can't be the targets of spells or abilities.",G,13F6F960-EF79-4F2C-8874-90FE9E77099E,normal,87092,115932,"632482",728492,9B36D3FF-8D38-467B-BD70-33DFEAE73B7D,,,,,2,G,8239,"",1768,,true,false,wot,https://scryfall.com/card/wot/54/ground-seal?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-09-27T12:50:34.067-08:00,,
1,"Leaping Ambush","Leaping Ambush","Wilds of Eldraine",WOE,177,English,Normal,Common,513984,7405147,0.03,2024-04-17T22:16:38.148-08:00,true,"",false,"",expansion,,{G},Instant,"Target creature gets +1/+3 and gains reach until end of turn. Untap it.",G,E920C955-66F5-4C6E-A2A8-8B282F9E456E,normal,86885,116694,"629678",729910,2785F716-274C-495C-B4E3-71A72E22F856,,,,,1,G,12293,"",,,false,false,woe,https://scryfall.com/card/woe/177/leaping-ambush?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:34.033-08:00,,
