Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date
1,"Chain Lightning","Chain Lightning","Dominaria Remastered",DMR,113,English,Normal,Common,460351,6827451,0.19,2024-04-17T22:16:38.148-08:00,true,"",false,"",masters,,{R},Sorcery,"Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy.",R,8785F42F-87B9-4A0A-89CE-EA423649BA9C,normal,0,107715,"598987",688716,2105A0D9-EA2E-4FFC-BE08-424B5617205D,,,,,1,R,5364,"",19,,true,false,dmr,https://scryfall.com/card/dmr/113/chain-lightning?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,legal,2024-06-02T23:34:29.851-08:00
1,"Chainer's Edict","Chainer's Edict","Dominaria Remastered",DMR,78,English,Normal,Uncommon,457110,6789205,0.44,2024-04-17T22:16:38.148-08:00,true,"",false,"",masters,,{1}{B},Sorcery,"Target player sacrifices a creature.; Flashback {5}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",B,7975CB9D-D37E-44F8-9614-86D2AD453C35,normal,0,107645,"598952",688362,8C204471-D908-4A08-83E4-CF38999FA80F,,,,,2,B,11553,"Flashback",0,,true,false,dmr,https://scryfall.com/card/dmr/78/chainers-edict?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-06-02T23:34:29.870-08:00
1,"Dralnu's Crusade","Dralnu's Crusade","Dominaria Remastered",DMR,189,English,Normal,Uncommon,457131,6790656,0.03,2024-04-17T22:16:38.148-08:00,true,"",false,"",masters,,{1}{B}{R},Enchantment,"All Goblins get +1/+1.; All Goblins are black and are Zombies in addition to their other creature types.",BR,FF48CF80-4950-4AE4-9F7C-8D826B2F26F7,normal,0,107867,"599063",688383,844976C7-C8F7-435A-9BD4-1FEA3C635030,,,,,3,BR,16698,"",0,,true,false,dmr,https://scryfall.com/card/dmr/189/dralnus-crusade?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-06-02T23:34:29.878-08:00
1,"Empty the Warrens (Retro Frame)","Empty the Warrens","Dominaria Remastered",DMR,318,English,Normal,Common,457257,6799704,0.08,2024-04-17T22:16:38.148-08:00,false,"",false,"boosterfun",masters,,{3}{R},Sorcery,"Create two 1/1 red Goblin creature tokens.; Storm (When you cast this spell, copy it for each spell cast before it this turn.)",R,3A59C882-8BB8-49BA-862F-125020DD5BEC,normal,0,107321,"601387",0,FBD81C2E-9C0D-47B2-BA02-6F1DCA1D96DC,,,,,4,R,2201,"Storm",1216,,true,false,dmr,https://scryfall.com/card/dmr/318/empty-the-warrens?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,banned,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,legal,2024-06-02T23:34:29.892-08:00
1,"Fire // Ice","Fire","Dominaria Remastered",DMR,215,English,Normal,Uncommon,457193,6795376,0.16,2024-04-17T22:16:38.148-08:00,true,"",false,"",masters,,{1}{R} // {1}{U},Instant // Instant,"Fire deals 2 damage divided as you choose among one or two targets. // Tap target permanent.; Draw a card.",,AE92942B-919C-4EA9-B693-85FCEF765D5A,split,0,107951,"599089",688401,18303862-4726-4136-814F-157AA7006579,,,,,4,,9206,"",518,,true,,dmr,https://scryfall.com/card/dmr/215/fire-ice?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-06-02T23:34:29.868-08:00
1,"Fireblast (Retro Frame)","Fireblast","Dominaria Remastered",DMR,319,English,Normal,Uncommon,465221,6856391,0.21,2024-04-17T22:16:38.148-08:00,false,"",false,"boosterfun",masters,,{4}{R}{R},Instant,"You may sacrifice two Mountains rather than pay this spell's mana cost.; Fireblast deals 4 damage to any target.",R,9DD7F27A-E862-47D7-9158-034CF4D353B8,normal,0,107323,"601388",0,7D80D765-70BF-4EB5-AE55-FE459E96CAF8,,,,,6,R,13643,"",0,,true,false,dmr,https://scryfall.com/card/dmr/319/fireblast?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-06-02T23:34:29.876-08:00
1,"Gempalm Incinerator","Gempalm Incinerator","Dominaria Remastered",DMR,122,English,Normal,Uncommon,457128,6790416,0.11,2024-04-17T22:16:38.148-08:00,true,"",false,"",masters,,{2}{R},Creature — Goblin,"Cycling {1}{R} ({1}{R}, Discard this card: Draw a card.); When you cycle Gempalm Incinerator, you may have it deal X damage to target creature, where X is the number of Goblins on the battlefield.",R,467EA3E3-7767-405A-9D1A-8FA5DE696376,normal,0,107733,"598996",688414,17C231E3-10EC-458B-BBA1-891812E000F6,,,2,1,3,R,5489,"Cycling",0,,true,false,dmr,https://scryfall.com/card/dmr/122/gempalm-incinerator?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,restricted,legal,not_legal,legal,legal,2024-06-02T23:34:29.850-08:00
1,"Goblin Matron","Goblin Matron","Dominaria Remastered",DMR,123,English,Normal,Common,461961,6836691,0.13,2024-04-17T22:16:38.148-08:00,true,"",false,"",masters,,{2}{R},Creature — Goblin,"When Goblin Matron enters the battlefield, you may search your library for a Goblin card, reveal that card, put it into your hand, then shuffle.",R,145737A7-C597-4DEC-B752-207C2D0501E3,normal,0,107735,"598997",688723,A521A254-C484-4D59-BB7E-8745E96D4BBF,,,1,1,3,R,1398,"",871,,true,false,dmr,https://scryfall.com/card/dmr/123/goblin-matron?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-06-02T23:34:29.842-08:00
1,"Goblin Matron (Retro Frame)","Goblin Matron","Dominaria Remastered",DMR,323,English,Normal,Common,465882,6860196,0.12,2024-04-17T22:16:38.148-08:00,false,"",false,"boosterfun",masters,,{2}{R},Creature — Goblin,"When Goblin Matron enters the battlefield, you may search your library for a Goblin card, reveal that card, put it into your hand, then shuffle.",R,145737A7-C597-4DEC-B752-207C2D0501E3,normal,0,107331,"601392",0,60EC4B08-6DF1-4E92-8B7C-1450A4D033BF,,,1,1,3,R,1398,"",871,,true,false,dmr,https://scryfall.com/card/dmr/323/goblin-matron?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-06-02T23:34:29.889-08:00
2,"Goblin Medics","Goblin Medics","Dominaria Remastered",DMR,124,English,Normal,Common,462035,6837286,0.04,2024-04-17T22:16:38.149-08:00,true,"",false,"",masters,,{2}{R},Creature — Goblin Shaman,"Whenever Goblin Medics becomes tapped, it deals 1 damage to any target.",R,457BEE4C-2332-440C-9336-36F6A69614F9,normal,,107737,"598998",688724,980D45CB-E9E6-4F09-9275-C3F2C538B57C,,,1,1,3,R,14146,"",15595,,true,false,dmr,https://scryfall.com/card/dmr/124/goblin-medics?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2024-06-02T23:34:30.026-08:00
