#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
2,"Ancestral Reminiscence","Ancestral Reminiscence","The Lost Caverns of Ixalan",LCI,45,English,Normal,Common,526313,7549362,0.02,2024-05-24T11:03:10.886-08:00,true,"",false,"",expansion,,{3}{U},Sorcery,"Draw three cards, then discard a card.",U,DBFA2743-34FF-40E3-81F7-740FC08CD18A,normal,87181,117878,"636741",743968,625690D3-7131-45DE-ADEA-9C927241E661,,,,,4,U,11784,"",,,false,false,lci,https://scryfall.com/card/lci/45/ancestral-reminiscence?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:38:14.928-08:00,,
2,"Brackish Blunder","Brackish Blunder","The Lost Caverns of Ixalan",LCI,46,English,Normal,Common,526374,7552822,0.03,2024-05-24T11:03:10.886-08:00,true,"",false,"",expansion,,{1}{U},Instant,"Return target creature to its owner's hand. If it was tapped, create a Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",U,4AD34F85-A185-458A-A7A1-EB60F7EFCE5B,normal,87182,117880,"636742",743969,DEA3D0F4-76F5-416F-93BA-8B003B967816,,,,,2,U,14455,"Explore",,,false,false,lci,https://scryfall.com/card/lci/46/brackish-blunder?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:38:14.924-08:00,,
1,"Buried Treasure","Buried Treasure","The Lost Caverns of Ixalan",LCI,246,English,Normal,Common,526345,7550782,0.02,2024-05-24T11:03:10.886-08:00,true,"",false,"",expansion,,{2},Artifact — Treasure,"{T}, Sacrifice this artifact: Add one mana of any color.; {5}, Exile this card from your graveyard: Discover 5. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 5 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",,56F5ED8D-EF53-4766-9EF3-1E24A10E267B,normal,87408,118332,"636967",744050,4C9C45B6-DEDD-4481-A06A-C83ACE2F18FA,,,,,2,,11981,"Discover",1951,BGRUW,false,false,lci,https://scryfall.com/card/lci/246/buried-treasure?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:38:14.906-08:00,,
1,"Cenote Scout","Cenote Scout","The Lost Caverns of Ixalan",LCI,178,English,Normal,Uncommon,524203,7501034,0.13,2024-05-24T11:03:10.886-08:00,true,"",false,"",expansion,,{G},Creature — Merfolk Scout,"When this creature enters, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",G,EC3911C0-686F-4C78-838D-A683EED6C01C,normal,87332,118180,"636892",740869,4CE4B7BC-636B-4723-A7C1-2C859F333492,,,1,1,1,G,9729,"Explore",2104,,false,false,lci,https://scryfall.com/card/lci/178/cenote-scout?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:38:14.911-08:00,,
1,"Chart a Course","Chart a Course","The Lost Caverns of Ixalan",LCI,48,English,Normal,Uncommon,524182,7499603,0.08,2024-05-24T11:03:10.886-08:00,true,"",false,"",expansion,,{1}{U},Sorcery,"Draw two cards. Then discard a card unless you attacked this turn.",U,05878E49-93AD-4144-9C50-A0BB86126C2E,normal,87185,117886,"636745",740860,233BEAAC-37A4-4824-8F31-438B6BFE794B,,,,,2,U,1801,"",769,,true,false,lci,https://scryfall.com/card/lci/48/chart-a-course?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:38:14.914-08:00,,
1,"Coati Scavenger","Coati Scavenger","The Lost Caverns of Ixalan",LCI,179,English,Normal,Uncommon,524413,7509494,0.06,2024-05-24T11:03:10.886-08:00,true,"",false,"",expansion,,{2}{G},Creature — Raccoon,"Descend 4 — When this creature enters, if there are four or more permanent cards in your graveyard, return target permanent card from your graveyard to your hand.",G,535F9BC6-9A07-4850-91EB-C00D06633E7E,normal,87333,118182,"636893",741112,D2C70D86-1764-487D-A415-15AE79BA570C,,,3,2,3,G,12858,"Descend",9651,,false,false,lci,https://scryfall.com/card/lci/179/coati-scavenger?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:38:14.917-08:00,,
1,"Council of Echoes","Council of Echoes","The Lost Caverns of Ixalan",LCI,51,English,Normal,Uncommon,525281,7523485,0.01,2024-05-24T11:03:10.886-08:00,true,"",false,"",expansion,,{4}{U}{U},Creature — Spirit Advisor,"Flying; Descend 4 — When this creature enters, if there are four or more permanent cards in your graveyard, return up to one target nonland permanent other than this creature to its owner's hand.",U,7B513BD0-27DF-45F3-A85F-1F0ABA3CAE48,normal,87188,117892,"636748",743204,85AD358D-A520-4D57-82B0-D2297DA1FBDE,,,4,4,6,U,22151,"Flying, Descend",,,false,false,lci,https://scryfall.com/card/lci/51/council-of-echoes?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:38:14.898-08:00,,
1,"Eaten by Piranhas","Eaten by Piranhas","The Lost Caverns of Ixalan",LCI,54,English,Normal,Uncommon,526364,7552092,0.14,2024-05-24T11:03:10.886-08:00,true,"",false,"",expansion,,{1}{U},Enchantment — Aura,"Flash (You may cast this spell any time you could cast an instant.); Enchant creature; Enchanted creature loses all abilities and is a black Skeleton creature with base power and toughness 1/1. (It loses all other colors, card types, and creature types.)",U,C37EAE65-1AFE-4242-B677-24DD40E6F401,normal,87191,117898,"636751",743970,B0C504EF-2382-4174-9B1D-5F38E12A28FC,,,,,2,U,3314,"Enchant, Flash",8727,,false,false,lci,https://scryfall.com/card/lci/54/eaten-by-piranhas?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:38:14.909-08:00,,
2,"Echoing Deeps","Echoing Deeps","The Lost Caverns of Ixalan",LCI,271,English,Normal,Rare,525285,7523805,0.62,2024-05-24T11:03:10.886-08:00,true,"",false,"",expansion,,,Land — Cave,"You may have this land enter tapped as a copy of any land card in a graveyard, except it's a Cave in addition to its other types.; {T}: Add {C}.",,2EF88214-F46D-473E-A55B-795A647E2F03,normal,87437,118390,"636996",743226,244C06B3-532D-426E-8BEE-EE9461D092A6,,,,,0,,2878,"",,C,false,false,lci,https://scryfall.com/card/lci/271/echoing-deeps?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:38:14.916-08:00,,
1,"Hermitic Nautilus","Hermitic Nautilus","The Lost Caverns of Ixalan",LCI,58,English,Normal,Uncommon,525137,7516454,0.03,2024-05-24T11:03:10.886-08:00,true,"",false,"",expansion,,{1}{U},Artifact Creature — Nautilus,"Vigilance; {1}{U}: This creature gets +3/-3 until end of turn.",U,6BDA307B-1508-4582-952B-C690DB85E045,normal,87197,117910,"636757",742060,545503F8-A8C6-4518-9AD6-76E4996397FC,,,1,4,2,U,22113,"Vigilance",,,false,false,lci,https://scryfall.com/card/lci/58/hermitic-nautilus?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:38:14.931-08:00,,
