#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes
1,"Arbalest Engineers","Arbalest Engineers","The Brothers' War",BRO,206,English,Normal,Uncommon,452395,6694966,0.02,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{1}{R}{G},Creature — Human Artificer,"When Arbalest Engineers enters the battlefield, choose one —; • Arbalest Engineers deals 1 damage to any target.; • Put a +1/+1 counter on target creature. It gains trample and haste until end of turn.; • Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",GR,06BEA0B2-1D0F-4D64-A13E-723D08042E83,normal,82691,105032,"583789",682629,DF343BF9-F535-42C7-A2D0-8ADFD068B354,,,2,2,3,GR,17953,"",10344,C,false,false,bro,https://scryfall.com/card/bro/206/arbalest-engineers?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,restricted,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.466-08:00,
1,"Bone Saw","Bone Saw","The Brothers' War: Retro Frame Artifacts",BRR,7,English,Normal,Uncommon,452382,6694205,0.03,2024-06-19T13:01:06.465-08:00,false,"",false,"",masterpiece,,{0},Artifact — Equipment,"Equipped creature gets +1/+0.; Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,16E555F2-5AA8-4100-A036-EED48DB0E84A,normal,82806,104432,"586557",682887,5D74A0F3-3DB4-444C-A879-F3F3DB2E27A0,,,,,0,,5879,"Equip",2956,,true,false,brr,https://scryfall.com/card/brr/7/bone-saw?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,legal,2024-08-30T12:39:35.469-08:00,
1,"Citanul Stalwart","Citanul Stalwart","The Brothers' War",BRO,175,English,Normal,Common,453143,6718220,0,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{G},Creature — Elf Druid Soldier,"{T}, Tap an untapped artifact or creature you control: Add one mana of any color.",G,CE291948-125D-493D-8770-8B3AAC515F9B,normal,82660,104968,"583759",683424,A842A945-21D9-432C-B970-6DA65B16F309,,,1,1,1,G,11541,"",7660,BGRUW,false,false,bro,https://scryfall.com/card/bro/175/citanul-stalwart?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.472-08:00,
1,"Disenchant","Disenchant","The Brothers' War",BRO,6,English,Normal,Common,452063,6680663,0,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{1}{W},Instant,"Destroy target artifact or enchantment.",W,A7E97FA9-4B72-4548-B854-5BE5F18A6F1A,normal,82490,104630,"583591",682324,658C5CAA-D739-4D30-A512-43AC4DE900CB,,,,,2,W,829,"",1086,,true,false,bro,https://scryfall.com/card/bro/6/disenchant?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-08-30T12:39:35.473-08:00,
1,"Excavation Explosion","Excavation Explosion","The Brothers' War",BRO,132,English,Normal,Common,453019,6711935,0.02,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{2}{R},Sorcery,"Excavation Explosion deals 3 damage to any target. Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",R,4BB75182-6DD4-42F7-9541-D484D0B57897,normal,82616,104882,"583717",683413,A169612E-F5DE-4653-BC31-9EDE8C5BDC75,,,,,3,R,15093,"",10423,C,false,false,bro,https://scryfall.com/card/bro/132/excavation-explosion?utm_source=api,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.475-08:00,
1,"Fauna Shaman","Fauna Shaman","The Brothers' War",BRO,179,English,Normal,Rare,452421,6699131,1.27,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{1}{G},Creature — Elf Shaman,"{G}, {T}, Discard a creature card: Search your library for a creature card, reveal it, put it into your hand, then shuffle.",G,35B8FA77-4E85-418B-B335-CD1AF127075C,normal,82664,104976,"583763",683425,B8B906EB-3223-474C-9B74-EDA2C280F9C5,,,2,2,2,G,1060,"",558,,true,false,bro,https://scryfall.com/card/bro/179/fauna-shaman?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,legal,2024-08-30T12:39:35.477-08:00,
1,"Feldon, Ronom Excavator","Feldon, Ronom Excavator","The Brothers' War",BRO,135,English,Normal,Rare,451862,6672074,0.56,2024-06-19T13:01:06.465-08:00,true,"legendary",false,"",expansion,,{1}{R},Legendary Creature — Human Artificer,"Haste; Feldon, Ronom Excavator can't block.; Whenever Feldon is dealt damage, exile that many cards from the top of your library. Choose one of them. Until the end of your next turn, you may play that card.",R,76C97E3D-A9BE-4ED7-A2EF-F97870D8F58A,normal,82619,104888,"583720",682014,5CA4CB0E-63AD-4275-A27F-DA476260B467,,,2,2,2,R,12555,"Haste",,,false,false,bro,https://scryfall.com/card/bro/135/feldon-ronom-excavator?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.482-08:00,
1,"Fog of War","Fog of War","The Brothers' War",BRO,180,English,Normal,Common,452205,6686483,0.02,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{2}{G},Instant,"You gain 1 life for each creature on the battlefield. Prevent all combat damage that would be dealt this turn by creatures with power 3 or less.",G,103CA069-0BFE-4976-BEE1-75406273875D,normal,82665,104978,"583764",682614,37096C19-32C9-448A-94E9-F5FE2D74E3A3,,,,,3,G,11835,"",,,false,false,bro,https://scryfall.com/card/bro/180/fog-of-war?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-08-30T12:39:35.484-08:00,
4,"Forest","Forest","Core Set 2020",M20,277,English,Normal,Land,192847,4114340,0.63,2024-06-19T13:01:06.465-08:00,true,"",false,"",core,,,Basic Land — Forest,"({T}: Add {G}.)",,B34BB2DC-C1AF-4D77-B0B3-A0FB342A5FC6,normal,70062,73453,"467031",379647,42352899-F2F2-4DEA-863B-8D685E63B454,,,,,0,G,,"",,G,true,false,m20,https://scryfall.com/card/m20/277/forest?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-08-30T12:39:35.533-08:00,
1,"Go for the Throat","Go for the Throat","The Brothers' War",BRO,102,English,Normal,Uncommon,451938,6675697,0.99,2024-06-19T13:01:06.465-08:00,true,"",false,"",expansion,,{1}{B},Instant,"Destroy target nonartifact creature.",B,2F092562-9E17-43CD-AEB8-D0567F99363E,normal,82586,104822,"583687",682008,94117B09-D852-4F2E-BE8E-68EE0EE3C3D8,,,,,2,B,332,"",269,,true,false,bro,https://scryfall.com/card/bro/102/go-for-the-throat?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,2024-08-30T12:39:35.485-08:00,
