#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date
1,"Alquist Proft, Master Sleuth (Showcase)","Alquist Proft, Master Sleuth","Murders at Karlov Manor",MKM,355,English,Normal,Mythic,530030,7594657,10.74,2024-04-17T22:16:38.151-08:00,false,"showcase, legendary",false,"dossier, boosterfun",expansion,,{1}{W}{U},Legendary Creature — Human Detective,"Vigilance; When Alquist Proft, Master Sleuth enters the battlefield, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card.""); {X}{W}{U}{U}, {T}, Sacrifice a Clue: You draw X cards and gain X life.",UW,DD79A994-7DAD-49D4-8D8F-62DBEDDE4A38,normal,,121350,"649403",,E528424E-A3B1-4902-B42D-1BA9AC412E73,,,3,3,3,UW,12098,"Investigate, Vigilance",,,false,false,mkm,https://scryfall.com/card/mkm/355/alquist-proft-master-sleuth?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:08.509-08:00
1,"Assemble the Players","Assemble the Players","Murders at Karlov Manor",MKM,3,English,Normal,Rare,533007,7672936,2.39,2024-04-17T22:16:38.151-08:00,true,"",false,"",expansion,,{1}{W},Enchantment,"You may look at the top card of your library any time.; Once each turn, you may cast a creature spell with power 2 or less from the top of your library.",W,180BA940-2B11-4953-B7CE-74847E1AEBFD,normal,88924,121496,"646567",751191,F5BCB21A-8559-4791-8CD0-482E7B8DCFD2,,,,,2,W,9516,"",,,false,false,mkm,https://scryfall.com/card/mkm/3/assemble-the-players?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:08.502-08:00
1,"Aurelia, the Law Above","Aurelia, the Law Above","Murders at Karlov Manor",PMKM,188s,English,Foil,Rare,529989,7592097,11.7,2024-04-17T22:16:38.151-08:00,false,"legendary",false,"prerelease, datestamped",promo,,{3}{R}{W},Legendary Creature — Angel,"Flying, vigilance, haste; Whenever a player attacks with three or more creatures, you draw a card.; Whenever a player attacks with five or more creatures, Aurelia, the Law Above deals 3 damage to each of your opponents and you gain 3 life.",RW,2A800427-FF8C-4B3C-BAEE-85211B70656D,normal,,,"",,A323F1D8-6A5F-4F5D-B143-9F20D424D124,,,4,4,5,RW,5432,"Flying, Vigilance, Haste",2706,,true,false,pmkm,https://scryfall.com/card/pmkm/188s/aurelia-the-law-above?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:08.507-08:00
1,"Call a Surprise Witness","Call a Surprise Witness","Murders at Karlov Manor",MKM,6,English,Foil,Uncommon,535535,7708607,0.23,2024-04-17T22:16:38.151-08:00,true,"",false,"",expansion,,{1}{W},Sorcery,"Return target creature card with mana value 3 or less from your graveyard to the battlefield. Put a flying counter on it. It's a Spirit in addition to its other types.",W,9038A457-CE01-4F6D-9E2B-5220F08B4290,normal,88927,121502,"646570",753003,F5148DEF-CF1A-460E-8DFD-856103940892,,,,,2,W,15303,"",9234,,false,false,mkm,https://scryfall.com/card/mkm/6/call-a-surprise-witness?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:08.505-08:00
1,"Concealed Weapon","Concealed Weapon","Murders at Karlov Manor",MKM,117,English,Normal,Uncommon,533908,7685206,0.16,2024-04-17T22:16:38.151-08:00,true,"",false,"",expansion,,{1}{R},Artifact — Equipment,"Equipped creature gets +3/+0.; Disguise {2}{R} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.); When Concealed Weapon is turned face up, attach it to target creature you control.; Equip {1}{R}",R,104565B1-2DB8-4C01-AE3D-14087768BE45,normal,89032,121712,"646675",751858,38E31FA6-A445-47C6-A73F-135087F6D760,,,,,2,R,21723,"Disguise, Equip",,,false,false,mkm,https://scryfall.com/card/mkm/117/concealed-weapon?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:08.484-08:00
1,"Crime Novelist","Crime Novelist","Murders at Karlov Manor",MKM,121,English,Normal,Uncommon,532886,7665318,3.29,2024-04-17T22:16:38.151-08:00,true,"",false,"",expansion,,{2}{R},Creature — Goblin Bard,"Whenever you sacrifice an artifact, put a +1/+1 counter on Crime Novelist and add {R}.",R,5996B1D0-7FE3-4FEC-8730-9DB901D887B1,normal,89036,121720,"646679",750896,14A5CD7C-B0B1-4FFA-A806-BB0E73BAFFAD,,,1,3,3,R,4978,"",1826,R,false,false,mkm,https://scryfall.com/card/mkm/121/crime-novelist?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,restricted,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:08.532-08:00
1,"Crimestopper Sprite","Crimestopper Sprite","Murders at Karlov Manor",MKM,49,English,Normal,Common,532913,7667399,0.23,2024-04-17T22:16:38.151-08:00,true,"",false,"",expansion,,{2}{U},Creature — Faerie Detective,"As an additional cost to cast this spell, you may collect evidence 6. (Exile cards with total mana value 6 or greater from your graveyard.); Flying; When Crimestopper Sprite enters the battlefield, tap target creature. If evidence was collected, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",U,5E238E67-00F2-4656-BF69-0115E47321A5,normal,88968,121584,"646611",750918,DC4AC597-38F0-48B5-AC2D-DFB0B169F834,,,2,2,3,U,23347,"Flying, Collect evidence",,,false,false,mkm,https://scryfall.com/card/mkm/49/crimestopper-sprite?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:08.536-08:00
1,"Detective's Satchel","Detective's Satchel","Murders at Karlov Manor",MKM,196,English,Normal,Uncommon,535538,7708767,0.19,2024-04-17T22:16:38.151-08:00,true,"",false,"",expansion,,{2}{U}{R},Artifact,"When Detective's Satchel enters the battlefield, investigate twice. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card.""); {T}: Create a 1/1 colorless Thopter artifact creature token with flying. Activate only if you've sacrificed an artifact this turn.",RU,E4ECFCCD-B8B4-4B18-B989-30DE79B4971E,normal,89109,121866,"646752",753033,2C05BF2D-7D4F-4717-B1EA-EC4284854F4F,,,,,4,RU,17257,"Investigate",,,false,false,mkm,https://scryfall.com/card/mkm/196/detectives-satchel?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:08.528-08:00
1,"Eliminate the Impossible","Eliminate the Impossible","Murders at Karlov Manor",MKM,54,English,Normal,Uncommon,534695,7696688,0.3,2024-04-17T22:16:38.151-08:00,true,"",false,"",expansion,,{1}{U},Instant,"Investigate. Creatures your opponents control get -2/-0 until end of turn. If any of them are suspected, they're no longer suspected. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",U,C78D4CEC-6764-4CCE-96D2-A2D85A57B218,normal,88973,121594,"646616",752584,486F1CC2-C162-448E-91A9-577D7D796584,,,,,2,U,22289,"Investigate",,,false,false,mkm,https://scryfall.com/card/mkm/54/eliminate-the-impossible?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:08.520-08:00
1,"Essence of Antiquity","Essence of Antiquity","Murders at Karlov Manor",MKM,15,English,Normal,Uncommon,534122,7689025,0.21,2024-04-17T22:16:38.151-08:00,true,"",false,"",expansion,,{3}{W}{W},Artifact Creature — Golem,"Disguise {2}{W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.); When Essence of Antiquity is turned face up, creatures you control gain hexproof until end of turn. Untap them.",W,26A7F92D-6914-466D-B7C7-9AC121DD5118,normal,88935,121518,"646578",751842,AEE2945D-BF6D-4328-A482-DF24C2973B56,,,1,10,5,W,16517,"Disguise",,,false,false,mkm,https://scryfall.com/card/mkm/15/essence-of-antiquity?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,restricted,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:08.493-08:00
