#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date
1,"Armored Armadillo","Armored Armadillo","Outlaws of Thunder Junction",OTJ,3,English,Foil,Common,544219,7816145,0.16,2024-05-24T11:03:10.892-08:00,true,"",false,"",expansion,,{W},Creature — Armadillo,"Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.); {3}{W}: Armored Armadillo gets +X/+0 until end of turn, where X is its toughness.",W,DCA25245-523A-4587-A059-A14EE2EF908D,normal,,123917,"",763553,263232DF-69B8-4205-93AD-C724FE57EC11,,,0,4,1,W,26486,"Ward",,,false,false,otj,https://scryfall.com/card/otj/3/armored-armadillo?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:36:42.343-08:00
1,"Colossal Rattlewurm","Colossal Rattlewurm","Outlaws of Thunder Junction",OTJ,159,English,Normal,Rare,544223,7816460,1.02,2024-05-24T11:03:10.892-08:00,true,"",false,"",expansion,,{2}{G}{G},Creature — Wurm,"Colossal Rattlewurm has flash as long as you control a Desert.; Trample; {1}{G}, Exile Colossal Rattlewurm from your graveyard: Search your library for a Desert card, put it onto the battlefield tapped, then shuffle.",G,510659D6-69B4-4B04-8836-08B76213954E,normal,,124229,"",763572,17A104D3-E4AC-44A0-9C6A-39965B1B9751,,,6,5,4,G,18287,"Trample",,,false,false,otj,https://scryfall.com/card/otj/159/colossal-rattlewurm?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:36:42.320-08:00
1,"Desert's Due","Desert's Due","Outlaws of Thunder Junction",OTJ,85,English,Normal,Common,544652,7837030,0.13,2024-05-24T11:03:10.892-08:00,true,"",false,"",expansion,,{1}{B},Instant,"Target creature gets -2/-2 until end of turn. It gets an additional -1/-1 until end of turn for each Desert you control.",B,909EACF3-05CE-4C2B-97A8-49B6EA597B64,normal,,124081,"",764013,35E899E4-E2DE-44CF-B6F4-CACE8D3770CB,,,,,2,B,26338,"",,,false,false,otj,https://scryfall.com/card/otj/85/deserts-due?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:36:42.337-08:00
1,"Drover Grizzly","Drover Grizzly","Outlaws of Thunder Junction",OTJ,161,English,Normal,Common,544674,7838760,0.11,2024-05-24T11:03:10.892-08:00,true,"",false,"",expansion,,{2}{G},Creature — Bear Mount,"Whenever Drover Grizzly attacks while saddled, creatures you control gain trample until end of turn.; Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",G,290FE09E-04AB-48D1-A60E-DB47EA8C4D00,normal,,124233,"",764035,560062CD-34F8-4D30-9E25-099B03961724,,,4,2,3,G,23642,"Saddle",,,false,false,otj,https://scryfall.com/card/otj/161/drover-grizzly?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:36:42.318-08:00
7,"Forest","Forest","Battlebond",BBD,254,English,Normal,Land,167977,3751599,0.93,2024-05-24T11:03:10.892-08:00,true,"",false,"",draft_innovation,,,Basic Land — Forest,"({T}: Add {G}.)",,B34BB2DC-C1AF-4D77-B0B3-A0FB342A5FC6,normal,,,"446222",359066,55B9E2DB-D37E-4A87-AE5A-88A8E45D7419,,,,,0,G,,"",,G,true,false,bbd,https://scryfall.com/card/bbd/254/forest?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-06-02T23:36:42.341-08:00
1,"Forlorn Flats","Forlorn Flats","Outlaws of Thunder Junction",OTJ,258,English,Normal,Land,544230,7817020,0.18,2024-05-24T11:03:10.892-08:00,true,"",false,"",expansion,,,Land — Desert,"Forlorn Flats enters the battlefield tapped.; When Forlorn Flats enters the battlefield, it deals 1 damage to target opponent.; {T}: Add {W} or {B}.",,EBB3E2FF-2214-4E11-88FB-E0FA84288CF1,normal,,124427,"",763605,963C100E-4E12-438F-B5AE-14391406DFF6,,,,,0,BW,22159,"",,BW,false,false,otj,https://scryfall.com/card/otj/258/forlorn-flats?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:36:42.309-08:00
1,"Freestrider Lookout","Freestrider Lookout","Outlaws of Thunder Junction",OTJ,163,English,Normal,Rare,544266,7819242,0.79,2024-05-24T11:03:10.892-08:00,true,"",false,"",expansion,,{2}{G},Creature — Human Rogue,"Reach; Whenever you commit a crime, look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",G,B7D3E234-0954-4422-96C0-CDA91101FAA3,normal,,124237,"",763573,32370F05-52A2-405F-B2BB-1B8A9B0B69F8,,,3,3,3,G,20809,"Reach",,,false,false,otj,https://scryfall.com/card/otj/163/freestrider-lookout?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:36:42.310-08:00
1,"Giant Beaver","Giant Beaver","Outlaws of Thunder Junction",OTJ,165,English,Normal,Common,544628,7835140,0.14,2024-05-24T11:03:10.892-08:00,true,"",false,"",expansion,,{3}{G},Creature — Beaver Mount,"Vigilance; Whenever Giant Beaver attacks while saddled, put a +1/+1 counter on target creature that saddled it this turn.; Saddle 3 (Tap any number of other creatures you control with total power 3 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",G,2A4B42B3-6A95-41E1-9741-B35723D8DA73,normal,,124241,"",764038,919826A9-C427-42C6-8885-A87F0B6D2192,,,4,4,4,G,24974,"Saddle, Vigilance",,,false,false,otj,https://scryfall.com/card/otj/165/giant-beaver?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:36:42.313-08:00
1,"Gisa, the Hellraiser","Gisa, the Hellraiser","Outlaws of Thunder Junction",OTJ,89,English,Normal,Mythic,544269,7819482,9.68,2024-05-24T11:03:10.892-08:00,true,"legendary",false,"",expansion,,{3}{B}{B},Legendary Creature — Human Warlock,"Ward—{2}, Pay 2 life.; Skeletons and Zombies you control get +1/+1 and have menace.; Whenever you commit a crime, create two tapped 2/2 blue and black Zombie Rogue creature tokens. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",B,696363C9-E8A7-4C65-B65C-4A94891EC43D,normal,,124089,"",763561,DB7C07B2-02B2-4E62-BF1B-4848E06EEC28,,,4,4,5,B,14830,"Ward",,,false,false,otj,https://scryfall.com/card/otj/89/gisa-the-hellraiser?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:36:42.299-08:00
1,"Gold Rush","Gold Rush","Outlaws of Thunder Junction",OTJ,166,English,Normal,Uncommon,544465,7830924,0.21,2024-05-24T11:03:10.892-08:00,true,"",false,"",expansion,,{1}{G},Instant,"Create a Treasure token. Until end of turn, up to one target creature gets +2/+2 for each Treasure you control.",G,45687A24-E8CB-4864-8721-410EB8320AAB,normal,,124243,"",764269,15845BE1-919D-4450-9DE6-3552C52E8623,,,,,2,G,22555,"Treasure",,,false,false,otj,https://scryfall.com/card/otj/166/gold-rush?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:36:42.305-08:00
