#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Breaker of Creation","Breaker of Creation","Modern Horizons 3",MH3,1,English,Normal,Uncommon,550846,7915771,0.27,2024-06-19T13:01:06.470-08:00,true,"",false,"",draft_innovation,,{6}{C}{C},Creature — Eldrazi,"When you cast this spell, you gain 1 life for each colorless permanent you control.; Hexproof from each color; Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.)",,785026C5-3F26-489C-8E26-96DD3CA6BC98,normal,90850,126019,"662153",771076,72449552-AA2C-4AE3-846F-DF523C5E6078,,,8,4,8,,6721,"Annihilator, Hexproof from, Hexproof",,,false,false,mh3,https://scryfall.com/card/mh3/1/breaker-of-creation?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:09.553-09:00,,
1,"Conduit Goblin","Conduit Goblin","Modern Horizons 3",MH3,179,English,Normal,Common,552636,7938820,0.14,2024-06-19T13:01:06.470-08:00,true,"",false,"",draft_innovation,,{R}{W},Creature — Goblin Warrior,"When Conduit Goblin enters, you get {E}{E} (two energy counters).; At the beginning of combat on your turn, you may pay {E}. If you do, another target creature you control gets +1/+0 and gains haste until end of turn.",RW,0D3A38FF-4B75-4E97-9D8F-C54F441F8208,normal,91029,126375,"662331",771530,5C9AD04D-C4D4-4D06-93BB-A881BE733717,,,2,2,2,RW,18479,"",9925,,false,false,mh3,https://scryfall.com/card/mh3/179/conduit-goblin?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:09.578-09:00,,
1,"Contaminated Landscape","Contaminated Landscape","Modern Horizons 3",MH3,218,English,Normal,Common,553276,7960939,0.14,2024-06-19T13:01:06.470-08:00,true,"",false,"",draft_innovation,,,Land,"{T}: Add {C}.; {T}, Sacrifice Contaminated Landscape: Search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle.; Cycling {W}{U}{B} ({W}{U}{B}, Discard this card: Draw a card.)",,28196FD9-00C9-4CD0-B603-0EEC8511EC79,normal,91069,126455,"662370",772389,E2312C49-1627-47AD-8113-78A999A97D8D,,,,,0,BUW,4256,"Cycling",,C,false,false,mh3,https://scryfall.com/card/mh3/218/contaminated-landscape?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:09.577-09:00,,
1,"Deceptive Landscape","Deceptive Landscape","Modern Horizons 3",MH3,219,English,Normal,Common,553278,7961039,0.16,2024-06-19T13:01:06.470-08:00,true,"",false,"",draft_innovation,,,Land,"{T}: Add {C}.; {T}, Sacrifice Deceptive Landscape: Search your library for a basic Plains, Swamp, or Forest card, put it onto the battlefield tapped, then shuffle.; Cycling {W}{B}{G} ({W}{B}{G}, Discard this card: Draw a card.)",,1831FE12-DBE0-437F-8FC8-F01BBB701FE1,normal,91070,126457,"662371",772347,2AE6828E-FF19-45DB-8B59-61616353491F,,,,,0,BGW,5009,"Cycling",,C,false,false,mh3,https://scryfall.com/card/mh3/219/deceptive-landscape?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:09.567-09:00,,
1,"Fanged Flames","Fanged Flames","Modern Horizons 3",MH3,118,English,Normal,Common,553254,7960019,0.16,2024-06-19T13:01:06.470-08:00,true,"devoid",false,"",draft_innovation,,{1}{R},Sorcery,"Devoid (This card has no color.); Fanged Flames deals 4 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead.",,46515251-2172-4B0A-81AC-4C0120B73360,normal,90967,126253,"662270",772392,FCFAC301-55DB-49A7-9A0D-918C907703DA,,,,,2,R,15265,"Devoid",,,false,false,mh3,https://scryfall.com/card/mh3/118/fanged-flames?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:09.568-09:00,,
2,"Forest","Forest","Battlebond",BBD,254,English,Normal,Land,167977,3751599,0.92,2024-06-19T13:01:06.470-08:00,true,"",false,"",draft_innovation,,,Basic Land — Forest,"({T}: Add {G}.)",,B34BB2DC-C1AF-4D77-B0B3-A0FB342A5FC6,normal,,,"446222",359066,55B9E2DB-D37E-4A87-AE5A-88A8E45D7419,,,,,0,G,,"",,G,true,false,bbd,https://scryfall.com/card/bbd/254/forest?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-12-06T00:14:09.590-09:00,,
1,"Glimpse the Impossible","Glimpse the Impossible","Modern Horizons 3",MH3,124,English,Normal,Common,552276,7924949,0.17,2024-06-19T13:01:06.470-08:00,true,"",false,"",draft_innovation,,{2}{R},Sorcery,"Exile the top three cards of your library. You may play those cards this turn. At the beginning of the next end step, if any of those cards remain exiled, put them into your graveyard, then create a 0/1 colorless Eldrazi Spawn creature token for each card put into your graveyard this way. Those tokens have ""Sacrifice this creature: Add {C}.""",R,7B70696E-B09E-4BC9-8438-D31075D78C0C,normal,90974,126265,"662276",771194,133AD0DD-5B61-4C38-9264-0B0E75B95D95,,,,,3,R,4880,"",,C,false,false,mh3,https://scryfall.com/card/mh3/124/glimpse-the-impossible?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:09.562-09:00,,
1,"Indebted Spirit","Indebted Spirit","Modern Horizons 3",MH3,31,English,Normal,Uncommon,553139,7955799,0.19,2024-06-19T13:01:06.470-08:00,true,"enchantment",false,"",draft_innovation,,{W},Enchantment Creature — Spirit,"Bestow {2}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.); Afterlife 1 (When this permanent is put into a graveyard from the battlefield, create a 1/1 white and black Spirit creature token with flying.); Enchanted creature gets +1/+1 and has afterlife 1.",W,C4C0A622-7325-4024-8B2E-6335F9A729E9,normal,90880,126079,"662183",772458,BFDBEF00-BC1B-4DD6-AEF5-AEB5CE454344,,,1,1,1,W,10094,"Afterlife, Bestow",,,false,false,mh3,https://scryfall.com/card/mh3/31/indebted-spirit?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:09.555-09:00,,
1,"Legion Leadership","Legion Leadership","Modern Horizons 3",MH3,255,English,Normal,Uncommon,552649,7939805,0.34,2024-06-19T13:01:06.470-08:00,true,"",false,"",draft_innovation,,{1}{R/W} // ,Instant // Land,"Until end of turn, double target creature's power and it gains first strike. // Legion Stronghold enters tapped.; {T}: Add {R} or {W}.",RW // ,AD225EC2-FF3A-48F6-81A7-DFDD1B75E1F7,modal_dfc,90836,126565,"661789",771545,7676ABD9-0A3D-4721-B17B-778D2E3C2E25,,,,,2,,3254,"",,RW,false,,mh3,https://scryfall.com/card/mh3/255/legion-leadership-legion-stronghold?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:09.549-09:00,,
1,"Mandibular Kite","Mandibular Kite","Modern Horizons 3",MH3,34,English,Normal,Common,552735,7943584,0.12,2024-06-19T13:01:06.470-08:00,true,"",false,"",draft_innovation,,{W},Artifact — Equipment,"Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this to it.); Equipped creature gets +1/+1 and has flying.; Equip {3}{W}",W,BCA9F65E-EA7A-4B8D-AB0F-C2672FA967F0,normal,90883,126085,"662186",771822,6B922F71-18E6-4A74-B792-D477D4A1DECA,,,,,1,W,13251,"Equip, Living weapon",,,false,false,mh3,https://scryfall.com/card/mh3/34/mandibular-kite?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-12-06T00:14:09.586-09:00,,
