#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date
1,"Aether Spike (Retro Frame)","Aether Spike","Modern Horizons 3",MH3,398,English,Normal,Common,553169,7956999,0.1,2024-06-19T13:02:13.952-08:00,false,"",false,"boosterfun",draft_innovation,,{1}{U},Instant,"Choose target spell. You get {E}{E} (two energy counters), then you may pay any amount of {E}. Counter that spell unless its controller pays {1} for each {E} paid this way.",U,E4A85647-0B8C-40B2-A5D5-43C78877CE36,normal,,125585,"664391",,CB10F7AF-8C6D-4228-8600-5B1DE3E3ABCB,,,,,2,U,18338,"",,,false,false,mh3,https://scryfall.com/card/mh3/398/aether-spike?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-06-19T20:47:33.495-08:00
1,"Birthing Ritual","Birthing Ritual","Modern Horizons 3",MH3,146,English,Normal,Mythic,552823,7946055,5.42,2024-06-19T13:02:13.952-08:00,true,"",false,"",draft_innovation,,{1}{G},Enchantment,"At the beginning of your end step, if you control a creature, look at the top seven cards of your library. Then you may sacrifice a creature. If you do, you may put a creature card with mana value X or less from among those cards onto the battlefield, where X is 1 plus the sacrificed creature's mana value. Put the rest on the bottom of your library in a random order.",G,37A5AB64-12E4-4AAD-9A09-46A26FE9953B,normal,90996,126309,"662298",772133,4820D223-4EA1-4850-931C-3D2AB5EB003B,,,,,2,G,16577,"",,,false,false,mh3,https://scryfall.com/card/mh3/146/birthing-ritual?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-19T20:47:33.449-08:00
1,"Bridgeworks Battle","Bridgeworks Battle","Modern Horizons 3",MH3,249,English,Normal,Uncommon,552579,7936265,0.53,2024-06-19T13:02:13.952-08:00,true,"",false,"",draft_innovation,,{2}{G} // ,Sorcery // Land,"Target creature you control gets +2/+2 until end of turn. It fights up to one target creature you don't control. (Each deals damage equal to its power to the other.) // As Tanglespan Bridgeworks enters the battlefield, you may pay 3 life. If you don't, it enters the battlefield tapped.; {T}: Add {G}.",G // ,9D581188-CE80-494E-BD38-F411E1F4EFB5,modal_dfc,90824,126543,"661777",771806,EBEF3DB0-2B58-4581-A79C-FBCA9A059E63,,,,,3,,11318,"",,G,false,,mh3,https://scryfall.com/card/mh3/249/bridgeworks-battle-tanglespan-bridgeworks?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-19T20:47:33.497-08:00
1,"Collective Resistance","Collective Resistance","Modern Horizons 3",MH3,147,English,Normal,Uncommon,552623,7937855,0.35,2024-06-19T13:02:13.952-08:00,true,"",false,"",draft_innovation,,{1}{G},Instant,"Escalate {G} (Pay this cost for each mode chosen beyond the first.); Choose one or more —; • Destroy target artifact.; • Destroy target enchantment.; • Target creature gains hexproof and indestructible until end of turn.",G,BFFDFE7B-F17A-41B6-A460-80280FE497D4,normal,90997,126311,"662299",771458,F260BD08-68B6-44F4-ACE9-E298CB13D82E,,,,,2,G,13464,"Escalate",,,false,false,mh3,https://scryfall.com/card/mh3/147/collective-resistance?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-19T20:47:33.427-08:00
1,"Contaminated Landscape","Contaminated Landscape","Modern Horizons 3",MH3,218,English,Normal,Common,553276,7960939,0.11,2024-06-19T13:02:13.952-08:00,true,"",false,"",draft_innovation,,,Land,"{T}: Add {C}.; {T}, Sacrifice Contaminated Landscape: Search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle.; Cycling {W}{U}{B} ({W}{U}{B}, Discard this card: Draw a card.)",,28196FD9-00C9-4CD0-B603-0EEC8511EC79,normal,91069,126455,"662370",772389,E2312C49-1627-47AD-8113-78A999A97D8D,,,,,0,BUW,16012,"Cycling",,C,false,false,mh3,https://scryfall.com/card/mh3/218/contaminated-landscape?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-06-19T20:47:33.464-08:00
1,"Deserted Temple","Deserted Temple","Modern Horizons 3",MH3,301,English,Normal,Rare,552268,7924309,0.51,2024-06-19T13:02:13.952-08:00,true,"",false,"",draft_innovation,,,Land,"{T}: Add {C}.; {1}, {T}: Untap target land.",,9F12BF9A-6E1A-4377-B4AF-E8CABD3EE58A,normal,91127,126013,"664080",771219,FD51F8F0-779B-40BB-B65C-5907F816676E,,,,,0,,3730,"",,C,true,false,mh3,https://scryfall.com/card/mh3/301/deserted-temple?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-06-19T20:47:33.451-08:00
1,"Distinguished Conjurer","Distinguished Conjurer","Modern Horizons 3",MH3,264,English,Normal,Uncommon,553129,7955419,0.08,2024-06-19T13:02:13.952-08:00,true,"",false,"",draft_innovation,,{1}{W},Creature — Human Wizard,"Whenever another creature enters the battlefield under your control, you gain 1 life.; {4}{W}, {T}: Exile another target creature you control, then return it to the battlefield under its owner's control.",W,6DF57D67-2FD9-4E7A-B67B-F361FC30E496,normal,91090,125939,"664043",772457,5ED5BC3D-4056-40B0-A47A-2841692614B3,,,1,2,2,W,5433,"",,,true,false,mh3,https://scryfall.com/card/mh3/264/distinguished-conjurer?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,restricted,legal,not_legal,not_legal,not_legal,2024-06-19T20:47:33.470-08:00
1,"Eldrazi Repurposer","Eldrazi Repurposer","Modern Horizons 3",MH3,150,English,Normal,Common,553314,7963319,0.06,2024-06-19T13:02:13.952-08:00,true,"",false,"",draft_innovation,,{2}{G},Creature — Eldrazi Drone,"Devoid (This card has no color.); When you cast this spell and when Eldrazi Repurposer dies, create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""",,AE3E5C80-6A6A-4781-A7B9-4D63357FFA3B,normal,91000,126317,"662302",772353,37F79BA7-7B65-4387-B498-F770816CE8DD,,,3,3,3,G,17391,"Devoid",,C,false,false,mh3,https://scryfall.com/card/mh3/150/eldrazi-repurposer?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-06-19T20:47:33.461-08:00
1,"Emissary of Soulfire","Emissary of Soulfire","Modern Horizons 3",MH3,183,English,Normal,Uncommon,553318,7963639,0.05,2024-06-19T13:02:13.952-08:00,true,"",false,"",draft_innovation,,{1}{W}{U},Creature — Djinn Monk,"When Emissary of Soulfire enters the battlefield, you get {E}{E}{E} (three energy counters).; Pay {E}{E}: Put an exalted counter on target creature you control. Activate only as a sorcery. (Whenever a creature you control attacks alone, it gets +1/+1 until end for each instance of exalted among permanents you control.)",UW,BDACD7A4-3D14-45EB-85A6-33EE711B34AF,normal,91033,126383,"662335",772436,4663E9E3-1989-4DDB-9508-9CC055D2EBE9,,,1,4,3,UW,22868,"",,,false,false,mh3,https://scryfall.com/card/mh3/183/emissary-of-soulfire?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,restricted,legal,not_legal,not_legal,not_legal,2024-06-19T20:47:33.456-08:00
1,"Envoy of the Ancestors","Envoy of the Ancestors","Modern Horizons 3",MH3,23,English,Normal,Uncommon,553133,7955559,0.1,2024-06-19T13:02:13.952-08:00,true,"",false,"",draft_innovation,,{2}{W},Creature — Human Cleric,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.); Modified creatures you control have lifelink. (Equipment, Auras you control, and counters are modifications.)",W,678EF5E4-800D-4D3A-8761-2ABAAD70E0C9,normal,90872,126063,"662175",772434,FC1DFBFC-90E0-48FA-98F1-39929F823619,,,2,3,3,W,19568,"Outlast",,,false,false,mh3,https://scryfall.com/card/mh3/23/envoy-of-the-ancestors?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,restricted,legal,not_legal,not_legal,not_legal,2024-06-19T20:47:33.462-08:00
