#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Abundant Harvest","Abundant Harvest","",MH2,147,,Normal,Common,,,,,true,"",false,"",draft_innovation,,{G},Sorcery,"Choose land or nonland. Reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and the rest on the bottom of your library in a random order.",G,34841228-31AC-48AC-B6D6-486B5E1E07DD,normal,,90671,"522223",566186,5AD86B17-3FED-418A-938C-C49ADB409531,,,,,1,G,5870,"",505,,false,false,mh2,https://scryfall.com/card/mh2/147/abundant-harvest?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:22:54.879-08:00,,
1,"Arcbound Mouser","Arcbound Mouser","",MH2,3,,Normal,Common,,,,,true,"",false,"",draft_innovation,,{W},Artifact Creature — Cat,"Lifelink; Modular 1 (This creature enters with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)",W,5E59199C-FACC-46B4-9681-988DE0CFABA2,normal,,90375,"522079",566316,9D66E724-49EE-4F08-A160-584350DE1D95,,,0,0,1,W,8642,"Lifelink, Modular",897,,false,false,mh2,https://scryfall.com/card/mh2/3/arcbound-mouser?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:22:54.862-08:00,,
1,"Blessed Respite","Blessed Respite","",MH2,150,,Normal,Uncommon,,,,,true,"",false,"",draft_innovation,,{1}{G},Instant,"Target player shuffles their graveyard into their library. Prevent all combat damage that would be dealt this turn.",G,8C888122-9D05-4641-931C-83F771BA9D09,normal,,90677,"522226",566917,2217881D-26DC-44C0-81D8-8C78C44BC5F0,,,,,2,G,3687,"",2710,,false,false,mh2,https://scryfall.com/card/mh2/150/blessed-respite?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:22:54.853-08:00,,
1,"Blossoming Calm","Blossoming Calm","",MH2,7,,Normal,Uncommon,,,,,true,"",false,"",draft_innovation,,{W},Instant,"You gain hexproof until your next turn. You gain 2 life.; Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",W,489A60F1-83F8-465B-918F-7D63D4F76D14,normal,,90383,"522083",566789,792610FD-736D-43B0-8899-DBB5ACCDDCA0,,,,,1,W,15287,"Rebound",1455,,false,false,mh2,https://scryfall.com/card/mh2/7/blossoming-calm?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:22:54.878-08:00,,
1,"Chatterstorm","Chatterstorm","",MH2,152,,Normal,Common,,,,,true,"",false,"",draft_innovation,,{1}{G},Sorcery,"Create a 1/1 green Squirrel creature token.; Storm (When you cast this spell, copy it for each spell cast before it this turn.)",G,7E6C7B57-BD6A-4AC8-BCAB-C3A879F479C2,normal,,90681,"522228",566168,B34F0AC1-6894-4761-B62C-B85D927ACF09,,,,,2,G,3227,"Storm",6675,,false,false,mh2,https://scryfall.com/card/mh2/152/chatterstorm?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,banned,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:22:54.861-08:00,,
1,"Chatterstorm","Chatterstorm","",MH2,411,,Normal,Common,,,,,false,"",false,"boosterfun",draft_innovation,,{1}{G},Sorcery,"Create a 1/1 green Squirrel creature token.; Storm (When you cast this spell, copy it for each spell cast before it this turn.)",G,7E6C7B57-BD6A-4AC8-BCAB-C3A879F479C2,normal,,91095,"525592",566169,4C1B91D8-39C4-4AB1-996B-2A5A78243FD4,,,,,2,G,3227,"Storm",6675,,false,false,mh2,https://scryfall.com/card/mh2/411/chatterstorm?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,banned,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:22:54.847-08:00,,
2,"Crack Open","Crack Open","",MH2,154,,Normal,Common,,,,,true,"",false,"",draft_innovation,,{2}{G},Sorcery,"Destroy target artifact or enchantment. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",G,412197F2-0E95-47FB-83DB-AE8301C90FF0,normal,,90685,"522230",566918,42B77A34-9B69-4B01-9F2C-2FF8DE47FC12,,,,,3,G,6490,"Treasure",14254,BGRUW,false,false,mh2,https://scryfall.com/card/mh2/154/crack-open?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:22:54.876-08:00,,
2,"Darkmoss Bridge","Darkmoss Bridge","",MH2,245,,Normal,Common,,,,,true,"",false,"",draft_innovation,,,Artifact Land,"This land enters tapped.; Indestructible; {T}: Add {B} or {G}.",,2065CADA-4078-41C4-9E06-2460D2A2E8EE,normal,,90871,"522321",566286,F11F0BE9-B9F7-45D2-9499-C5D849D7289F,,,,,0,BG,2296,"Indestructible",842,BG,false,false,mh2,https://scryfall.com/card/mh2/245/darkmoss-bridge?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:22:54.850-08:00,,
1,"Deepwood Denizen","Deepwood Denizen","",MH2,155,,Normal,Common,,,,,true,"",false,"",draft_innovation,,{2}{G},Creature — Elf Warrior,"Vigilance (Attacking doesn't cause this creature to tap.); {5}{G}, {T}: Draw a card. This ability costs {1} less to activate for each +1/+1 counter on creatures you control.",G,4A6887E3-7A65-4F24-BE71-183B00A0AD56,normal,,90687,"522231",566919,333F02F7-3B8A-41E3-9AE5-2151539E64AD,,,3,2,3,G,10511,"Vigilance",15522,,false,false,mh2,https://scryfall.com/card/mh2/155/deepwood-denizen?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:22:54.859-08:00,,
1,"Duskshell Crawler","Duskshell Crawler","",MH2,156,,Normal,Common,,,,,true,"",false,"",draft_innovation,,{1}{G},Creature — Insect,"When this creature enters, put a +1/+1 counter on target creature.; Each creature you control with a +1/+1 counter on it has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)",G,E54AD5A1-E79D-42DB-A3E9-5CAECAE62C9F,normal,,90689,"522232",566920,1AF03FC3-5EB6-404E-96D9-E291A1E11EC3,,,0,3,2,G,1989,"",14329,,false,false,mh2,https://scryfall.com/card/mh2/156/duskshell-crawler?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:22:54.868-08:00,,
