#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
2,"Arboreal Grazer","Arboreal Grazer","",RVR,131,,Normal,Common,,,,,true,"",false,"",masters,,{G},Creature — Sloth Beast,"Reach; When Arboreal Grazer enters, you may put a land card from your hand onto the battlefield tapped.",G,D18A0815-59D3-4667-B52B-9ACDA741215E,normal,,120789,"643138",748484,6D00CED6-7BA3-4D78-A680-9D3211704CA2,,,0,3,1,G,4329,"Reach",224,,true,false,rvr,https://scryfall.com/card/rvr/131/arboreal-grazer?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.394-08:00,,
1,"Balustrade Spy","Balustrade Spy","",RVR,66,,Normal,Common,,,,,true,"",false,"",masters,,{3}{B},Creature — Vampire Rogue,"Flying; When Balustrade Spy enters, target player reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.",B,39B4A47A-DF51-4BD9-9A20-43AC80A5D352,normal,,120659,"643073",748414,24C852A5-4F38-464B-89B6-2100CF405FF5,,,2,3,4,B,11085,"Flying",1173,,true,false,rvr,https://scryfall.com/card/rvr/66/balustrade-spy?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,banned,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.382-08:00,,
1,"Balustrade Spy","Balustrade Spy","",RVR,66,,Foil,Common,,,,,true,"",false,"",masters,,{3}{B},Creature — Vampire Rogue,"Flying; When Balustrade Spy enters, target player reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.",B,39B4A47A-DF51-4BD9-9A20-43AC80A5D352,normal,,120659,"643073",748414,24C852A5-4F38-464B-89B6-2100CF405FF5,,,2,3,4,B,11085,"Flying",1173,,true,false,rvr,https://scryfall.com/card/rvr/66/balustrade-spy?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,banned,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.414-08:00,,
1,"Burglar Rat","Burglar Rat","",RVR,69,,Normal,Common,,,,,true,"",false,"",masters,,{1}{B},Creature — Rat,"When Burglar Rat enters, each opponent discards a card.",B,2F807301-37DF-4724-871A-08E3512B07B3,normal,,120665,"643076",748417,A2829E6D-7CDB-4EDF-8B22-F6457FF36814,,,1,1,2,B,2569,"",1818,,true,false,rvr,https://scryfall.com/card/rvr/69/burglar-rat?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.379-08:00,,
1,"Chord of Calling","Chord of Calling","",RVR,345,,Normal,Rare,,,,,false,"",false,"boosterfun",masters,,{X}{G}{G}{G},Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.); Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle.",G,6789A170-F2C5-4FC0-8A45-2B2361E67410,normal,,120267,"645442",,BAE7A7E5-321D-4FB7-AB5E-CF35F0885BDD,,,,,3,G,500,"Convoke",,,true,false,rvr,https://scryfall.com/card/rvr/345/chord-of-calling?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2024-10-02T14:35:35.416-08:00,,
1,"Dimir House Guard","Dimir House Guard","",RVR,324,,Normal,Common,,,,,false,"",false,"boosterfun",masters,,{3}{B},Creature — Skeleton,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.); Sacrifice a creature: Regenerate Dimir House Guard.; Transmute {1}{B}{B} ({1}{B}{B}, Discard this card: Search your library for a card with the same mana value as this card, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)",B,35C027CD-F754-4E41-9242-8A9D0481171C,normal,,120225,"645421",,231D6840-5228-4DF1-8583-EFDA6E0B8185,,,2,3,4,B,4270,"Fear, Transmute",4784,,true,false,rvr,https://scryfall.com/card/rvr/324/dimir-house-guard?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,legal,2024-10-02T14:35:35.418-08:00,,
1,"Dimir Signet","Dimir Signet","",RVR,256,,Foil,Uncommon,,,,,true,"",false,"",masters,,{2},Artifact,"{1}, {T}: Add {U}{B}.",,7D881C57-0BD9-4C57-AA4A-B10808B86143,normal,,121079,"643263",748609,8751F7F1-E007-4272-9095-C893F515DFCE,,,,,2,BU,104,"",1127,BU,true,false,rvr,https://scryfall.com/card/rvr/256/dimir-signet?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,legal,2024-10-02T14:35:35.413-08:00,,
1,"Fists of Ironwood","Fists of Ironwood","",RVR,139,,Normal,Common,,,,,true,"",false,"",masters,,{1}{G},Enchantment — Aura,"Enchant creature; When Fists of Ironwood enters, create two 1/1 green Saproling creature tokens.; Enchanted creature has trample.",G,2F6A5278-23BF-47B2-A2B9-DFFF7D96F3DD,normal,,120805,"643146",748492,862A2871-57BE-42F5-9097-D821013D3B58,,,,,2,G,9402,"Enchant",4911,,true,false,rvr,https://scryfall.com/card/rvr/139/fists-of-ironwood?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,legal,2024-10-02T14:35:35.384-08:00,,
1,"Forced Landing","Forced Landing","",RVR,141,,Normal,Common,,,,,true,"",false,"",masters,,{1}{G},Instant,"Put target creature with flying on the bottom of its owner's library.",G,A787B18D-D33F-41EA-A0F8-F05E272D06EB,normal,,120809,"643148",748494,619B97C7-F297-4C25-BE94-27DFAE4D39B3,,,,,2,G,20290,"",11816,,true,false,rvr,https://scryfall.com/card/rvr/141/forced-landing?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.370-08:00,,
5,"Forest","Forest","",BLB,377,,Normal,Common,,,,,false,"",false,"",expansion,,,Basic Land — Forest,"({T}: Add {G}.)",,B34BB2DC-C1AF-4D77-B0B3-A0FB342A5FC6,normal,91839,129785,"668674",,43B3BE4A-973D-4AEB-A94E-37E2710AC178,,,,,0,G,,"",,G,true,false,blb,https://scryfall.com/card/blb/377/forest?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-10-02T14:35:35.420-08:00,,
