#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Argothian Elder","Argothian Elder","",PLST,USG-233,,Normal,Uncommon,,,,,true,"",false,"",masters,,{3}{G},Creature — Elf Druid,"{T}: Untap two target lands.",G,B57F06E4-DA97-4473-9FBF-F66E9129502A,normal,,,"",,2D94EF28-3BFD-45D1-8D20-DF9215089F6D,,,2,2,4,G,8547,"",,,true,false,plst,https://scryfall.com/card/plst/USG-233/argothian-elder?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2025-04-20T23:28:31.220-08:00,,
1,"Backlash","Backlash","",PLST,INV-234,,Normal,Uncommon,,,,,true,"",false,"",masters,,{1}{B}{R},Instant,"Tap target untapped creature. That creature deals damage equal to its power to its controller.",BR,3DB9BF7B-DA4E-428F-AA5D-A0CD1AFEB16C,normal,,,"",,A3A1D840-A5B0-449A-A1BA-95F3D9BFF008,,,,,3,BR,12421,"",15252,,true,false,plst,https://scryfall.com/card/plst/INV-234/backlash?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2025-04-20T23:28:31.217-08:00,,
1,"Crashing Footfalls","Crashing Footfalls","",MB2,204,,Normal,Rare,,,,,false,"",false,"",masters,G,,Sorcery,"Suspend 4—{G} (Rather than cast this card from your hand, pay {G} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.); Create two 4/4 green Rhino creature tokens with trample.",G,2B166D97-C2C1-4642-B151-9BB1AD32E362,normal,,134332,"677481",790925,AF38D0D7-33CF-4976-A145-2AD051353ED1,,,,,0,G,14305,"Suspend",,,true,false,mb2,https://scryfall.com/card/mb2/204/crashing-footfalls?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:28:31.225-08:00,,
1,"Crypt Champion","Crypt Champion","",PLST,GK2-53,,Normal,Uncommon,,,,,false,"",false,"",masters,,{3}{B},Creature — Zombie,"Double strike; When this creature enters, each player puts a creature card with mana value 3 or less from their graveyard onto the battlefield.; When this creature enters, sacrifice it unless {R} was spent to cast it.",B,59135531-6189-4C44-9F6F-602F44F20422,normal,,,"",,576F12CC-0095-4D10-A2B7-7B2DA59546BB,,,2,2,4,BR,23519,"Double strike",7875,,true,false,plst,https://scryfall.com/card/plst/GK2-53/crypt-champion?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2025-04-20T23:28:31.206-08:00,,
1,"Disturbed Burial","Disturbed Burial","",PLST,TMP-129,,Normal,Common,,,,,true,"",false,"",masters,,{1}{B},Sorcery,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.); Return target creature card from your graveyard to your hand.",B,CDBAA21D-5896-4B8B-9A08-F0839CCFDDFC,normal,,,"",,85722ED1-FDA8-4C61-817D-89AC85743F57,,,,,2,B,16982,"Buyback",5490,,true,false,plst,https://scryfall.com/card/plst/TMP-129/disturbed-burial?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2025-04-20T23:28:31.227-08:00,,
1,"Expansion // Explosion","Expansion // Explosion","",PLST,GRN-224,,Normal,Rare,,,,,true,"",false,"",masters,,{U/R}{U/R} // {X}{U}{U}{R}{R},Instant // Instant,"Copy target instant or sorcery spell with mana value 4 or less. You may choose new targets for the copy. // Explosion deals X damage to any target. Target player draws X cards.",,AF6F771F-5154-4FB3-8ED4-768D71EEA568,split,,,"",,42CACF46-6F84-4198-877B-1544CFF2F837,,,,,6,,3195,"",1990,,true,,plst,https://scryfall.com/card/plst/GRN-224/expansion-explosion?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:28:31.209-08:00,,
4,"Forest","Forest","",FDN,280,,Normal,Common,,,,,true,"",false,"beginnerbox, startercollection",core,,,Basic Land — Forest,"({T}: Add {G}.)",,B34BB2DC-C1AF-4D77-B0B3-A0FB342A5FC6,normal,95199,133852,"677869",,D232FCC2-12F6-401A-B1AA-DDFF11CB9378,,,,,0,G,,"",,G,true,false,fdn,https://scryfall.com/card/fdn/280/forest?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2025-04-20T23:28:31.237-08:00,,
1,"Grim Bounty","Grim Bounty","",PLST,AFR-106,,Normal,Common,,,,,true,"",false,"",masters,,{2}{B}{B},Sorcery,"Destroy target creature or planeswalker. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",B,8060DC97-9868-4846-85F4-0EF70DA2B021,normal,,,"",,A047C6D3-1EC2-46DE-A06E-03DD05F78D0F,,,,,4,B,11854,"Treasure",13615,BGRUW,true,false,plst,https://scryfall.com/card/plst/AFR-106/grim-bounty?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T23:28:31.214-08:00,,
1,"Heart Warden","Heart Warden","",PLST,UDS-108,,Normal,Common,,,,,true,"",false,"",masters,,{1}{G},Creature — Elf Druid,"{T}: Add {G}.; {2}, Sacrifice this creature: Draw a card.",G,BABCC551-39BB-4B1C-92A0-E60B236A59B2,normal,,,"",,F55C84D7-3BC3-4167-A303-B27DEDC47C98,,,1,1,2,G,13808,"",5168,G,true,false,plst,https://scryfall.com/card/plst/UDS-108/heart-warden?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,2025-04-20T23:28:31.224-08:00,,
1,"Hellspark Elemental","Hellspark Elemental","",PLST,DDK-46,,Normal,Uncommon,,,,,false,"",false,"",masters,,{1}{R},Creature — Elemental,"Trample, haste; At the beginning of the end step, sacrifice this creature.; Unearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",R,A7BA88C6-81E7-4AB7-9C9B-308831E56833,normal,,,"",,3DEE2026-6003-4285-8AFA-FD888B42C0C7,,,3,1,2,R,17212,"Unearth, Haste, Trample",2971,,true,false,plst,https://scryfall.com/card/plst/DDK-46/hellspark-elemental?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2025-04-20T23:28:31.235-08:00,,
