#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Abzan Devotee","Abzan Devotee","",TDM,68,,Normal,Common,,,,,true,"",false,"",expansion,,{1}{B},Creature — Dog Cleric,"{1}: Add {W}, {B}, or {G}. Activate only once each turn.; {2}{B}: Return this card from your graveyard to your hand.",B,3D02EE2F-B7BD-40B0-B9BE-2420991B2BE0,normal,,139085,"693548",817831,66555946-E747-46FA-B1AC-B103A8EDCD93,,,2,1,2,BGW,23384,"",,BGW,false,false,tdm,https://scryfall.com/card/tdm/68/abzan-devotee?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:48:57.816-08:00,,
1,"Abzan Monument","Abzan Monument","",TDM,238,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{2},Artifact,"When this artifact enters, search your library for a basic Plains, Swamp, or Forest card, reveal it, put it into your hand, then shuffle.; {1}{W}{B}{G}, {T}, Sacrifice this artifact: Create an X/X white Spirit creature token, where X is the greatest toughness among creatures you control. Activate only as a sorcery.",,93563B7B-5685-4832-B164-0701DBF3CF18,normal,,139445,"693718",817876,D2DA9024-3B58-4A57-8F7D-4094C193DAEE,,,,,2,BGW,19733,"",,,false,false,tdm,https://scryfall.com/card/tdm/238/abzan-monument?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:48:57.826-08:00,,
1,"Boulderborn Dragon","Boulderborn Dragon","",TDM,239,,Normal,Common,,,,,true,"",false,"",expansion,,{5},Artifact Creature — Dragon,"Flying, vigilance; Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,1654CAB1-0697-4547-B1FE-2D0A61385199,normal,,139447,"693719",817877,50C6E815-BFE7-4599-9227-D36504A3640F,,,3,3,5,,20638,"Flying, Surveil, Vigilance",,,false,false,tdm,https://scryfall.com/card/tdm/239/boulderborn-dragon?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:48:57.799-08:00,,
1,"Caustic Exhale","Caustic Exhale","",TDM,74,,Normal,Common,,,,,true,"",false,"",expansion,,{B},Instant,"As an additional cost to cast this spell, behold a Dragon or pay {1}. (To behold a Dragon, choose a Dragon you control or reveal a Dragon card from your hand.); Target creature gets -3/-3 until end of turn.",B,C4023E1F-26E3-4225-98D0-3D33F6654616,normal,,139097,"693554",817832,488152CE-2048-4CCB-B2D6-B9628958286F,,,,,1,B,22028,"",,,false,false,tdm,https://scryfall.com/card/tdm/74/caustic-exhale?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:48:57.801-08:00,,
1,"Dalkovan Encampment","Dalkovan Encampment","",PTDM,253s,,Foil,Rare,,,,,false,"",false,"prerelease, datestamped",promo,,,Land,"This land enters tapped unless you control a Swamp or a Mountain.; {T}: Add {W}.; {2}{W}, {T}: Whenever you attack this turn, create two 1/1 red Warrior creature tokens that are tapped and attacking. Sacrifice them at the beginning of the next end step.",,33A90122-7280-4481-9B97-5879194CAE40,normal,,,"",,1CF26613-4111-41A9-B445-7EE06DBC0DCA,,,,,0,W,11579,"",,W,true,false,ptdm,https://scryfall.com/card/ptdm/253s/dalkovan-encampment?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:48:57.788-08:00,,
1,"Dalkovan Packbeasts","Dalkovan Packbeasts","",TDM,7,,Foil,Uncommon,,,,,true,"",false,"",expansion,,{2}{W},Creature — Ox,"Vigilance; Mobilize 3 (Whenever this creature attacks, create three tapped and attacking 1/1 red Warrior creature tokens. Sacrifice them at the beginning of the next end step.)",W,CDD1A043-BD47-4197-BE26-E2F7D3F1D209,normal,,138957,"693487",818121,4DF7B253-6107-47D6-B650-CB4D3E0AEC6B,,,0,4,3,W,14089,"Vigilance, Mobilize",,,false,false,tdm,https://scryfall.com/card/tdm/7/dalkovan-packbeasts?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:48:57.790-08:00,,
1,"Disruptive Stormbrood // Petty Revenge","Disruptive Stormbrood // Petty Revenge","",TDM,178,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{4}{G} // {1}{B},Creature — Dragon // Sorcery — Omen,"Flying; When this creature enters, destroy up to one target artifact or enchantment. // Destroy target creature with power 3 or less. (Then shuffle this card into its owner's library.)",,EC74AE5D-1284-443C-9842-18954F8CF5A8,adventure,,139315,"693658",818198,BD78E8AE-E927-40E7-9580-966C5E81F53C,,,3,3,5,,18079,"",,,false,,tdm,https://scryfall.com/card/tdm/178/disruptive-stormbrood-petty-revenge?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:48:57.833-08:00,,
1,"Feral Deathgorger // Dusk Sight","Feral Deathgorger // Dusk Sight","",TDM,80,,Normal,Common,,,,,true,"",false,"",expansion,,{5}{B} // {1}{B},Creature — Dragon // Sorcery — Omen,"Flying, deathtouch; When this creature enters, exile up to two target cards from a single graveyard. // Put a +1/+1 counter on up to one target creature. Draw a card. (Then shuffle this card into its owner's library.)",,1722F814-2D4E-4D59-9B74-10EF8E89DEF9,adventure,,139109,"693560",818137,A147B94F-DFCF-44CE-8A73-B2FE6C4EFC0E,,,3,5,6,,17962,"",,,false,,tdm,https://scryfall.com/card/tdm/80/feral-deathgorger-dusk-sight?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:48:57.807-08:00,,
1,"Forest","Forest","",USG,347,,Normal,Common,,,,,true,"",false,"",expansion,,,Basic Land — Forest,"({T}: Add {G}.)",,B34BB2DC-C1AF-4D77-B0B3-A0FB342A5FC6,normal,,12427,"8338",10554,B38C68A5-86EB-4FB2-8A43-4A7D63195462,,,,,0,G,,"",,G,true,false,usg,https://scryfall.com/card/usg/347/forest?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2025-04-20T22:48:57.839-08:00,,
2,"Fortress Kin-Guard","Fortress Kin-Guard","",TDM,12,,Normal,Common,,,,,true,"",false,"",expansion,,{1}{W},Creature — Dog Soldier,"When this creature enters, it endures 1. (Put a +1/+1 counter on it or create a 1/1 white Spirit creature token.)",W,FA3ED0F6-E44E-433D-80D3-824DE5E6135A,normal,,138967,"693492",817934,B647A018-1D70-43A1-A265-928BCD863689,,,1,2,2,W,23279,"",,,false,false,tdm,https://scryfall.com/card/tdm/12/fortress-kin-guard?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:48:57.821-08:00,,
