#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Aggressive Negotiations","Aggressive Negotiations","",TDM,70,,Normal,Common,,,,,true,"",false,"",expansion,,{2}{B},Sorcery,"Target opponent reveals their hand. You choose a nonland card from it and exile that card. Put a +1/+1 counter on up to one target creature you control.",B,C469133E-174D-476B-B135-BBF15E415E72,normal,,139089,"693550",819349,993ADE84-031F-4A3E-BD68-55F61B559248,,,,,3,B,23986,"",,,false,false,tdm,https://scryfall.com/card/tdm/70/aggressive-negotiations?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:49:30.495-08:00,,
1,"Alchemist's Assistant","Alchemist's Assistant","",TDM,71,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{1}{B},Creature — Monkey,"Lifelink; Renew — {1}{B}, Exile this card from your graveyard: Put a lifelink counter on target creature. Activate only as a sorcery.",B,2844D274-CB60-46C1-A73B-E763C633E496,normal,,139091,"693551",819369,4D305609-64F8-4F3F-BF67-CD5257F0D01E,,,2,1,2,B,22775,"Lifelink",,,false,false,tdm,https://scryfall.com/card/tdm/71/alchemists-assistant?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:49:30.497-08:00,,
1,"Alesha's Legacy","Alesha's Legacy","",TDM,72,,Normal,Common,,,,,true,"",false,"",expansion,,{1}{B},Instant,"Target creature you control gains deathtouch and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",B,C4229CC8-11E5-4221-B00D-86969701E21B,normal,,139093,"693552",818134,A9262BF6-DF6A-446C-BA70-18270A09842D,,,,,2,B,18795,"",,,false,false,tdm,https://scryfall.com/card/tdm/72/aleshas-legacy?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:49:30.507-08:00,,
1,"Coordinated Maneuver","Coordinated Maneuver","",TDM,6,,Foil,Common,,,,,true,"",false,"",expansion,,{1}{W},Instant,"Choose one —; • Coordinated Maneuver deals damage equal to the number of creatures you control to target creature or planeswalker.; • Destroy target enchantment.",W,6FF39311-565E-4414-B32B-EB24C70B3090,normal,,138955,"693486",818120,C6569487-53C5-4B91-877D-E4E31BFA90C0,,,,,2,W,19199,"",,,false,false,tdm,https://scryfall.com/card/tdm/6/coordinated-maneuver?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:49:30.486-08:00,,
1,"Defibrillating Current","Defibrillating Current","",TDM,177,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{2/R}{2/W}{2/B},Sorcery,"Defibrillating Current deals 4 damage to target creature or planeswalker and you gain 2 life.",BRW,5A96B93B-BAE6-48FB-87F5-05F3FFCF7BA9,normal,,139313,"693657",819360,BF3A18CF-03DB-4EB0-8D53-0C1A71E184DA,,,,,6,BRW,24000,"",,,false,false,tdm,https://scryfall.com/card/tdm/177/defibrillating-current?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:49:30.513-08:00,,
1,"Descendant of Storms","Descendant of Storms","",TDM,8,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{W},Creature — Human Soldier,"Whenever this creature attacks, you may pay {1}{W}. If you do, it endures 1. (Put a +1/+1 counter on it or create a 1/1 white Spirit creature token.)",W,CA773C52-CA64-463C-99CF-E71B59D2CFF7,normal,,138959,"693488",818122,F632BE90-9E7F-41F8-A52E-A2952354D730,,,2,1,1,W,23325,"",,,false,false,tdm,https://scryfall.com/card/tdm/8/descendant-of-storms?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:49:30.502-08:00,,
1,"Desperate Measures","Desperate Measures","",TDM,78,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{B},Instant,"Target creature gets +1/-1 until end of turn. When it dies under your control this turn, draw two cards.",B,F1F3DF1C-5C51-445A-B66D-EEE4AAB23691,normal,,139105,"693558",818136,CCBC6FD0-42BC-4E8B-96BC-69A631BA7106,,,,,1,B,19711,"",,,false,false,tdm,https://scryfall.com/card/tdm/78/desperate-measures?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:49:30.509-08:00,,
1,"Duty Beyond Death","Duty Beyond Death","",TDM,10,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{1}{W},Instant,"As an additional cost to cast this spell, sacrifice a creature.; Creatures you control gain indestructible until end of turn. Put a +1/+1 counter on each creature you control. (Damage and effects that say ""destroy"" don't destroy those creatures.)",W,67E6CE99-4883-4713-9822-CB2334765B5B,normal,,138963,"693490",817813,2E92640D-768B-4357-905F-BEA017D351CC,,,,,2,W,12903,"",,,false,false,tdm,https://scryfall.com/card/tdm/10/duty-beyond-death?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:49:30.504-08:00,,
1,"Hardened Tactician","Hardened Tactician","",TDM,191,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{1}{W}{B},Creature — Human Warrior,"{1}, Sacrifice a token: Draw a card.",BW,CA1DC6F0-3EC2-4F62-A08A-1395201BD93F,normal,,139343,"693671",818990,86B225CB-5C45-4DA1-A64E-B04091E483E8,,,2,4,3,BW,13921,"",,,false,false,tdm,https://scryfall.com/card/tdm/191/hardened-tactician?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:49:30.492-08:00,,
1,"Inevitable Defeat","Inevitable Defeat","",TDM,194,,Normal,Rare,,,,,true,"",false,"",expansion,,{1}{R}{W}{B},Instant,"This spell can't be countered.; Exile target nonland permanent. Its controller loses 3 life and you gain 3 life.",BRW,D68439B5-7011-4B1D-A7DA-14EF0F4D9994,normal,,139349,"693674",817859,9D677980-B608-407E-9F17-790A81263F15,,,,,4,BRW,13482,"",,,false,false,tdm,https://scryfall.com/card/tdm/194/inevitable-defeat?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:49:30.520-08:00,,
