#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Burrowguard Mentor","Burrowguard Mentor","",BLB,206,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{G}{W},Creature — Rabbit Soldier,"Trample; Burrowguard Mentor's power and toughness are each equal to the number of creatures you control.",GW,F293DA27-E42D-4E87-8B61-D3C27E4C6D71,normal,91742,129657,"669120",778101,87138ACE-3594-499E-BAD5-EC76148613EA,,,*,*,2,GW,9921,"Trample",4924,,false,false,blb,https://scryfall.com/card/blb/206/burrowguard-mentor?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:04:44.187-09:00,,
3,"Burrowguard Mentor","Burrowguard Mentor","",BLB,206,,Foil,Uncommon,,,,,true,"",false,"",expansion,,{G}{W},Creature — Rabbit Soldier,"Trample; Burrowguard Mentor's power and toughness are each equal to the number of creatures you control.",GW,F293DA27-E42D-4E87-8B61-D3C27E4C6D71,normal,91742,129657,"669120",778101,87138ACE-3594-499E-BAD5-EC76148613EA,,,*,*,2,GW,9921,"Trample",4924,,false,false,blb,https://scryfall.com/card/blb/206/burrowguard-mentor?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:04:44.186-09:00,,
1,"Caretaker's Talent","Caretaker's Talent","",BLB,6,,Normal,Rare,,,,,true,"",false,"",expansion,,{2}{W},Enchantment — Class,"(Gain the next level as a sorcery to add its ability.); Whenever one or more tokens you control enter, draw a card. This ability triggers only once each turn.; {W}: Level 2; When this Class becomes level 2, create a token that's a copy of target token you control.; {3}{W}: Level 3; Creature tokens you control get +2/+2.",W,C97957A2-8310-4CFF-8AAD-871B7901D124,class,91542,129257,"668920",778525,AD5EA98A-E36E-4AB9-B4DA-CC572F3777DB,,,,,3,W,2067,"",,,false,false,blb,https://scryfall.com/card/blb/6/caretakers-talent?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:04:44.169-09:00,,
1,"Caretaker's Talent","Caretaker's Talent","",BLB,6,,Foil,Rare,,,,,true,"",false,"",expansion,,{2}{W},Enchantment — Class,"(Gain the next level as a sorcery to add its ability.); Whenever one or more tokens you control enter, draw a card. This ability triggers only once each turn.; {W}: Level 2; When this Class becomes level 2, create a token that's a copy of target token you control.; {3}{W}: Level 3; Creature tokens you control get +2/+2.",W,C97957A2-8310-4CFF-8AAD-871B7901D124,class,91542,129257,"668920",778525,AD5EA98A-E36E-4AB9-B4DA-CC572F3777DB,,,,,3,W,2067,"",,,false,false,blb,https://scryfall.com/card/blb/6/caretakers-talent?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:04:44.170-09:00,,
4,"Carrot Cake","Carrot Cake","",BLB,7,,Foil,Common,,,,,true,"",false,"",expansion,,{1}{W},Artifact — Food,"When Carrot Cake enters and when you sacrifice it, create a 1/1 white Rabbit creature token and scry 1. (Look at the top card of your library. You may put that card on the bottom.); {2}, {T}, Sacrifice Carrot Cake: You gain 3 life.",W,5FE3AABD-3271-41BF-AE50-F6EFABA7C4AE,normal,91543,129259,"668921",776453,EB03BB4F-8B4B-417E-BFC6-294CD2186B2E,,,,,2,W,11157,"Scry",1545,,false,false,blb,https://scryfall.com/card/blb/7/carrot-cake?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:04:44.198-09:00,,
1,"Fabled Passage","Fabled Passage","",BLB,252,,Normal,Rare,,,,,true,"",false,"",expansion,,,Land,"{T}, Sacrifice Fabled Passage: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.",,0C85B8F7-0BD0-4680-9EC5-D4B110460A54,normal,91788,129749,"669166",778502,8809830F-D8E1-4603-9652-0AD8B00234E9,,,,,0,,72,"",,,true,false,blb,https://scryfall.com/card/blb/252/fabled-passage?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:04:44.191-09:00,,
2,"Fabled Passage","Fabled Passage","",BLB,252,,Foil,Rare,,,,,true,"",false,"",expansion,,,Land,"{T}, Sacrifice Fabled Passage: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.",,0C85B8F7-0BD0-4680-9EC5-D4B110460A54,normal,91788,129749,"669166",778502,8809830F-D8E1-4603-9652-0AD8B00234E9,,,,,0,,72,"",,,true,false,blb,https://scryfall.com/card/blb/252/fabled-passage?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:04:44.192-09:00,,
1,"Fabled Passage","Fabled Passage","",BLB,252,,Normal,Rare,,,,,true,"",false,"",expansion,,,Land,"{T}, Sacrifice Fabled Passage: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.",,0C85B8F7-0BD0-4680-9EC5-D4B110460A54,normal,91788,129749,"669166",778502,8809830F-D8E1-4603-9652-0AD8B00234E9,,,,,0,,72,"",,,true,false,blb,https://scryfall.com/card/blb/252/fabled-passage?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:04:44.193-09:00,,PROXY
1,"Finneas, Ace Archer","Finneas, Ace Archer","",BLB,212,,Normal,Rare,,,,,true,"legendary",false,"",expansion,,{G}{W},Legendary Creature — Rabbit Archer,"Vigilance, reach; Whenever Finneas, Ace Archer attacks, put a +1/+1 counter on each other creature you control that's a token or a Rabbit. Then if creatures you control have total power 10 or greater, draw a card.",GW,69924636-138E-4BAA-A378-0FD7DF5B847D,normal,91748,129669,"669126",777686,0DEE197D-C313-4364-B52C-F83D5F579BC3,,,2,2,2,GW,7876,"Reach, Vigilance",4386,,false,false,blb,https://scryfall.com/card/blb/212/finneas-ace-archer?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:04:44.197-09:00,,
2,"Finneas, Ace Archer","Finneas, Ace Archer","",BLB,330,,Normal,Rare,,,,,false,"legendary, showcase",false,"boosterfun",expansion,,{G}{W},Legendary Creature — Rabbit Archer,"Vigilance, reach; Whenever Finneas, Ace Archer attacks, put a +1/+1 counter on each other creature you control that's a token or a Rabbit. Then if creatures you control have total power 10 or greater, draw a card.",GW,69924636-138E-4BAA-A378-0FD7DF5B847D,normal,,129073,"670533",,E77374AC-3456-48A3-A412-4474547D437C,,,2,2,2,GW,7876,"Reach, Vigilance",4386,,false,false,blb,https://scryfall.com/card/blb/330/finneas-ace-archer?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:04:44.195-09:00,,
