#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Agate Assault","Agate Assault","",BLB,122,,Normal,Common,,,,,true,"",false,"",expansion,,{2}{R},Sorcery,"Choose one —; • Agate Assault deals 4 damage to target creature. If that creature would die this turn, exile it instead.; • Exile target artifact.",R,7B89B7D2-C724-4D5D-9F0B-7D3302AD1168,normal,91658,129489,"669036",778435,7DD9946B-515E-4E0D-9DA2-711E126E9FA6,,,,,3,R,15063,"",11279,,false,false,blb,https://scryfall.com/card/blb/122/agate-assault?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:36:15.766-08:00,,
1,"Bakersbane Duo","Bakersbane Duo","",BLB,163,,Normal,Common,,,,,true,"",false,"",expansion,,{1}{G},Creature — Squirrel Raccoon,"When Bakersbane Duo enters, create a Food token.; Whenever you expend 4, Bakersbane Duo gets +1/+1 until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",G,ECD9A0A4-1DFA-4D91-8339-062E2BE4E5D9,normal,91698,129571,"669077",778488,5309354F-1FF4-4FA9-9141-01EA2F7588AB,,,2,2,2,G,13642,"Food",,,false,false,blb,https://scryfall.com/card/blb/163/bakersbane-duo?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:36:15.788-08:00,,
1,"Blooming Blast","Blooming Blast","",BLB,126,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{1}{R},Instant,"Gift a Treasure (You may promise an opponent a gift as you cast this spell. If you do, they create a Treasure token before its other effects. It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color.""); Blooming Blast deals 2 damage to target creature. If the gift was promised, Blooming Blast also deals 3 damage to that creature's controller.",R,2E5B8973-4F6E-4ABE-BBBE-81FDCA784997,normal,91662,129497,"669040",778526,0CD92A83-CEC3-4085-A929-3F204E3E0140,,,,,2,R,18064,"Gift, Treasure",882,BGRUW,false,false,blb,https://scryfall.com/card/blb/126/blooming-blast?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:36:15.768-08:00,,
1,"Brambleguard Veteran","Brambleguard Veteran","",BLB,165,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{1}{G}{G},Creature — Raccoon Warrior,"Whenever you expend 4, Raccoons you control get +1/+1 and gain vigilance until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",G,BC9C7E1A-5155-431A-BE21-FCBD18718980,normal,91701,129575,"669079",779412,BAC9F6F8-6797-4580-9FC4-9A825872E017,,,3,4,3,G,16389,"",,,false,false,blb,https://scryfall.com/card/blb/165/brambleguard-veteran?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,restricted,legal,not_legal,not_legal,not_legal,2024-10-02T14:36:15.797-08:00,,
7,"Forest","Forest","",BLB,278,,Normal,Common,,,,,true,"",true,"",expansion,,,Basic Land — Forest,"({T}: Add {G}.)",,B34BB2DC-C1AF-4D77-B0B3-A0FB342A5FC6,normal,91827,129821,"668562",,F791876A-F3FB-45B8-90A9-AF846D8B8F74,,,,,0,G,,"",,G,true,false,blb,https://scryfall.com/card/blb/278/forest?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-10-02T14:36:15.799-08:00,,
1,"High Stride","High Stride","",BLB,176,,Normal,Common,,,,,true,"",false,"",expansion,,{G},Instant,"Target creature gets +1/+3 and gains reach until end of turn. Untap it.",G,AB0AEA13-1DBC-424A-AB7E-CDB303036A56,normal,91712,129597,"669090",778923,09C8CF4B-8E65-4A1C-B458-28B5AB56B390,,,,,1,G,17160,"",,,false,false,blb,https://scryfall.com/card/blb/176/high-stride?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:36:15.793-08:00,,
1,"Hoarder's Overflow","Hoarder's Overflow","",BLB,141,,Normal,Uncommon,,,,,true,"",false,"",expansion,,{1}{R},Enchantment,"When Hoarder's Overflow enters and whenever you expend 4, put a stash counter on it. (You expend 4 as you spend your fourth total mana to cast spells during a turn.); {1}{R}, Sacrifice Hoarder's Overflow: Discard your hand, then draw cards equal to the number of stash counters on Hoarder's Overflow.",R,75F7D9C7-5D52-4BFE-A730-62FEF187B8B8,normal,91677,129527,"669055",778507,C2ED5079-07B4-4575-A2C8-5F0CBFF888C3,,,,,2,R,16216,"",,,false,false,blb,https://scryfall.com/card/blb/141/hoarders-overflow?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:36:15.770-08:00,,
3,"Junkblade Bruiser","Junkblade Bruiser","",BLB,220,,Normal,Common,,,,,true,"",false,"",expansion,,{3}{R/G}{R/G},Creature — Raccoon Berserker,"Trample; Whenever you expend 4, Junkblade Bruiser gets +2/+1 until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",GR,0A2FBDD3-4940-4BBF-AE19-F6D00D7FF294,normal,91756,129685,"669134",777691,918FD89B-5AB7-4AE2-920C-FACA5E9DA7B9,,,4,5,5,GR,16926,"Trample",,,false,false,blb,https://scryfall.com/card/blb/220/junkblade-bruiser?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:36:15.773-08:00,,
1,"Keen-Eyed Curator","Keen-Eyed Curator","",BLB,181,,Normal,Rare,,,,,true,"",false,"",expansion,,{G}{G},Creature — Raccoon Scout,"As long as there are four or more card types among cards exiled with Keen-Eyed Curator, it gets +4/+4 and has trample.; {1}: Exile target card from a graveyard.",G,46CE3698-E4E6-44E9-8B99-2B12A703E91E,normal,91717,129607,"669095",778497,8CF33D80-0704-4DC4-8E8D-1DCBCBC35ADD,,,3,3,2,G,13795,"",,,false,false,blb,https://scryfall.com/card/blb/181/keen-eyed-curator?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:36:15.786-08:00,,
9,"Mountain","Mountain","",BLB,274,,Normal,Common,,,,,true,"",true,"",expansion,,,Basic Land — Mountain,"({T}: Add {R}.)",,A3FB7228-E76B-4E96-A40E-20B5FED75685,normal,91823,129813,"668558",,C1BBA8FB-D763-4EFA-8DB1-E5E81994B5F9,,,,,0,R,,"",,R,true,false,blb,https://scryfall.com/card/blb/274/mountain?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-10-02T14:36:15.800-08:00,,
