#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Aetherize","","Foundations",FDN,151,,Normal,Uncommon,591162,,,,true,"",false,"",core,,{3}{U},Instant,"Return all attacking creatures to their owner's hand.",U,7C779721-CD1B-4696-9AE9-68CCC284ED2A,normal,93864,133328,"679893",796530,1E5530FC-0291-4A17-B048-C5D24E6F51D8,,,,,4,U,501,"",2648,,true,false,fdn,https://scryfall.com/card/fdn/151/aetherize?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:07:14.218-09:00,,
1,"Arbiter of Woe","","Foundations",FDN,55,,Normal,Uncommon,591175,,,,true,"",false,"startercollection",core,,{4}{B}{B},Creature — Demon,"As an additional cost to cast this spell, sacrifice a creature.; Flying; When this creature enters, each opponent discards a card and loses 2 life. You draw a card and gain 2 life.",B,540693F3-985C-4A4A-945C-C957C5AAD395,normal,93768,133678,"679132",796521,B2496C4A-DF03-4583-BD76-F98ED5CB61EE,,,5,4,6,B,19511,"Flying",,,false,false,fdn,https://scryfall.com/card/fdn/55/arbiter-of-woe?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:07:14.223-09:00,,
1,"Cephalid Inkmage","","Foundations",FDN,32,,Normal,Uncommon,591164,,,,true,"",false,"",core,,{2}{U},Creature — Octopus Wizard,"When this creature enters, surveil 3. (Look at the top three cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.); Threshold — This creature can't be blocked as long as there are seven or more cards in your graveyard.",U,8D979A0B-BA04-4ABB-8F78-C707CE15351A,normal,93745,133632,"679109",796517,B7E47680-18C7-4FFB-AAC4-C5DB6E7095BA,,,2,2,3,U,22888,"Surveil, Threshold",,,false,false,fdn,https://scryfall.com/card/fdn/32/cephalid-inkmage?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:07:14.239-09:00,,
1,"Crypt Feaster","","Foundations",FDN,59,,Normal,Common,589428,,,,true,"",false,"",core,,{3}{B},Creature — Zombie,"Menace (This creature can't be blocked except by two or more creatures.); Threshold — Whenever this creature attacks, if there are seven or more cards in your graveyard, this creature gets +2/+0 until end of turn.",B,4C22257E-8A00-40B7-A29B-55FCEC7DDBD4,normal,93772,133686,"679136",795106,3B072811-998A-4A71-B59C-6AFECC0DC4B6,,,3,4,4,B,25098,"Threshold, Menace",4697,,false,false,fdn,https://scryfall.com/card/fdn/59/crypt-feaster?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:07:14.217-09:00,,
1,"Erudite Wizard","","Foundations",FDN,37,,Normal,Common,590830,,,,true,"",false,"beginnerbox",core,,{2}{U},Creature — Human Wizard,"Whenever you draw your second card each turn, put a +1/+1 counter on this creature.",U,7D4B6613-9000-4F53-9737-FE0338F3F629,normal,93750,133642,"679114",795558,9273C417-0FCD-4273-B24E-AFFF76336D0C,,,2,3,3,U,22882,"",4702,,false,false,fdn,https://scryfall.com/card/fdn/37/erudite-wizard?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:07:14.227-09:00,,
2,"Infestation Sage","","Foundations",FDN,64,,Normal,Common,591764,,,,true,"",false,"startercollection",core,,{B},Creature — Elf Warlock,"When this creature dies, create a 1/1 black and green Insect creature token with flying.",B,D398DCA3-F3A5-44C9-998F-B4FCE9E5C2BF,normal,93777,133696,"679141",797318,D40C73DE-7A5F-46F2-A70B-449BC8ECFE24,,,1,1,1,B,15302,"",85,,false,false,fdn,https://scryfall.com/card/fdn/64/infestation-sage?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:07:14.233-09:00,,
6,"Island","","The Brothers' War",BRO,271,,Normal,Common,452253,,,,true,"",false,"",expansion,,,Basic Land — Island,"({T}: Add {U}.)",,B2C6AA39-2D2A-459C-A555-FB48BA993373,normal,82763,104606,"586356",683346,BF35ED4F-FA34-4FD6-B7D8-3C4AEDA1E9EA,,,,,0,U,,"",,U,true,false,bro,https://scryfall.com/card/bro/271/island?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-12-23T01:07:14.250-09:00,,
1,"Kiora, the Rising Tide","","Foundations",FDN,45,,Normal,Rare,591305,,,,true,"legendary",false,"",core,,{2}{U},Legendary Creature — Merfolk Noble,"When Kiora enters, draw two cards, then discard two cards.; Threshold — Whenever Kiora attacks, if there are seven or more cards in your graveyard, you may create Scion of the Deep, a legendary 8/8 blue Octopus creature token.",U,5D748BCE-DFF8-46FA-A3D1-633863B7BBFF,normal,93758,133658,"679122",797015,83F20A32-9F5D-4A68-8995-549E57554DA2,,,3,2,3,U,13508,"Threshold",,,false,false,fdn,https://scryfall.com/card/fdn/45/kiora-the-rising-tide?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:07:14.225-09:00,,
1,"Lunar Insight","","Foundations",FDN,46,,Normal,Rare,590840,,,,true,"",false,"",core,,{2}{U},Sorcery,"Draw a card for each different mana value among nonland permanents you control.",U,56B4A2F7-2D35-4D05-8D26-4F9F16C5F9F5,normal,93759,133660,"679123",795562,A9A159F6-FECF-4BDD-B2F8-A9665A5CC32D,,,,,3,U,15458,"",,,false,false,fdn,https://scryfall.com/card/fdn/46/lunar-insight?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:07:14.245-09:00,,
1,"Midnight Snack","","Foundations",FDN,65,,Normal,Uncommon,589759,,,,true,"enchantment",false,"startercollection",core,,{2}{B},Enchantment,"Raid — At the beginning of your end step, if you attacked this turn, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life.""); {2}{B}, Sacrifice this enchantment: Target opponent loses X life, where X is the amount of life you gained this turn.",B,3DDCAEE9-A11E-477A-BD19-F5EE10512549,normal,93778,133698,"679142",795371,C9B7543F-2A45-4DB6-B560-D15507A58C91,,,,,3,B,17280,"Food, Raid",,,false,false,fdn,https://scryfall.com/card/fdn/65/midnight-snack?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-23T01:07:14.190-09:00,,
