#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
2,"Ambush Wolf","Ambush Wolf","",FDN,98,,Normal,Common,,,,,true,"",false,"",core,,{2}{G},Creature — Wolf,"Flash (You may cast this spell any time you could cast an instant.); When this creature enters, exile up to one target card from a graveyard.",G,4C48DE92-E053-4AF7-B936-D7EC0875E0D3,normal,93811,133764,"679175",797330,2903832C-318E-42AB-BF58-C682EC2F7AFD,,,4,2,3,G,24037,"Flash",,,false,false,fdn,https://scryfall.com/card/fdn/98/ambush-wolf?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:06:46.751-09:00,,
1,"Arahbo, the First Fang","Arahbo, the First Fang","",FDN,2,,Normal,Rare,,,,,true,"legendary",false,"",core,,{2}{W},Legendary Creature — Cat Avatar,"Other Cats you control get +1/+1.; Whenever Arahbo or another nontoken Cat you control enters, create a 1/1 white Cat creature token.",W,DFEC65A0-6FB6-463D-AA62-E84A427DB217,normal,93715,133572,"679079",795096,524A5D93-26ED-436D-A437-DC9460ACCE98,,,2,2,3,W,12957,"",,,false,false,fdn,https://scryfall.com/card/fdn/2/arahbo-the-first-fang?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:06:46.743-09:00,,
1,"Authority of the Consuls","Authority of the Consuls","",FDN,137,,Normal,Rare,,,,,true,"enchantment",false,"",core,,{W},Enchantment,"Creatures your opponents control enter tapped.; Whenever a creature an opponent controls enters, you gain 1 life.",W,55F3C721-E13A-406E-BC8E-D6CDC91AC477,normal,93850,133300,"679879",797025,42CE2D7F-5924-47C0-B5ED-DACF9F9617A0,,,,,1,W,715,"",2827,,true,false,fdn,https://scryfall.com/card/fdn/137/authority-of-the-consuls?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:06:46.746-09:00,,
1,"Blanchwood Armor","Blanchwood Armor","",FDN,213,,Normal,Uncommon,,,,,true,"enchantment",false,"",core,,{2}{G},Enchantment — Aura,"Enchant creature; Enchanted creature gets +1/+1 for each Forest you control.",G,80EA56AD-E741-4A85-B4E8-CE62E7D593D5,normal,93926,133452,"679955",795381,1FD7EC1A-DAFA-42CA-BC25-F6848FB03F60,,,,,3,G,3345,"Enchant",7305,,true,false,fdn,https://scryfall.com/card/fdn/213/blanchwood-armor?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,2024-12-07T02:06:46.741-09:00,,
1,"Blossoming Sands","Blossoming Sands","",FDN,260,,Normal,Common,,,,,true,"",false,"startercollection",core,,,Land,"This land enters tapped.; When this land enters, you gain 1 life.; {T}: Add {G} or {W}.",,45429B2C-BE3B-4B2E-9BAB-A059CCBDA8CD,normal,93973,133546,"680002",797294,37676ED8-588C-4BCA-8065-874B74D84807,,,,,0,GW,1068,"",1114,GW,true,false,fdn,https://scryfall.com/card/fdn/260/blossoming-sands?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:06:46.728-09:00,,
1,"Bushwhack","Bushwhack","",FDN,215,,Normal,Common,,,,,true,"",false,"startercollection",core,,{G},Sorcery,"Choose one —; • Search your library for a basic land card, reveal it, put it into your hand, then shuffle.; • Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)",G,C61374E5-A7F6-455E-A40B-A481751B536B,normal,93928,133456,"679957",797365,03EBDB36-55E0-49DD-A514-785FBEB4AE19,,,,,1,G,1850,"Fight",1794,,true,false,fdn,https://scryfall.com/card/fdn/215/bushwhack?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:06:46.745-09:00,,
1,"Cathar Commando","Cathar Commando","",FDN,139,,Normal,Common,,,,,true,"",false,"",core,,{1}{W},Creature — Human Soldier,"Flash (You may cast this spell any time you could cast an instant.); {1}, Sacrifice this creature: Destroy target artifact or enchantment.",W,774DCE79-67E0-4820-8013-C7A7347993CE,normal,93852,133304,"679881",797275,19CF024D-EDB6-4A79-8676-73F8DB0CDF1F,,,3,1,2,W,1053,"Flash",799,,true,false,fdn,https://scryfall.com/card/fdn/139/cathar-commando?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:06:46.723-09:00,,
1,"Day of Judgment","Day of Judgment","",FDN,140,,Normal,Rare,,,,,true,"",false,"",core,,{2}{W}{W},Sorcery,"Destroy all creatures.",W,D057289D-5E28-43D5-8FF3-4A1BC723477D,normal,93853,133306,"679882",795119,96E84BDC-8A9A-4C58-BA8B-9F052FD60069,,,,,4,W,2174,"",143,,true,false,fdn,https://scryfall.com/card/fdn/140/day-of-judgment?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,legal,2024-12-07T02:06:46.757-09:00,,
1,"Dazzling Angel","Dazzling Angel","",FDN,9,,Normal,Common,,,,,true,"",false,"beginnerbox",core,,{2}{W},Creature — Angel,"Flying; Whenever another creature you control enters, you gain 1 life.",W,7DE464E3-FAE3-44CC-8233-776FC727C00A,normal,93722,133586,"679086",797306,027DC444-E544-4693-8653-3DCDDA530162,,,2,3,3,W,13254,"Flying",1980,,false,false,fdn,https://scryfall.com/card/fdn/9/dazzling-angel?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:06:46.740-09:00,,
1,"Elfsworn Giant","Elfsworn Giant","",FDN,103,,Normal,Common,,,,,true,"",false,"",core,,{3}{G}{G},Creature — Giant,"Reach (This creature can block creatures with flying.); Landfall — Whenever a land you control enters, create a 1/1 green Elf Warrior creature token.",G,F6ABDF34-CFDC-465C-B067-CDEBB659406E,normal,93816,133774,"679180",797267,5128A5BE-FFA6-4998-8488-872D80B24CB2,,,5,3,5,G,15680,"Reach, Landfall",,,false,false,fdn,https://scryfall.com/card/fdn/103/elfsworn-giant?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-12-07T02:06:46.749-09:00,,
