#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date
1,"Brave the Wilds","Brave the Wilds","Wilds of Eldraine",WOE,165,English,Normal,Common,512716,7373310,0.03,2024-01-15T15:25:10.903-09:00,true,"",false,"",expansion,,{G},Sorcery,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.); If this spell was bargained, target land you control becomes a 3/3 Elemental creature with haste that's still a land.; Search your library for a basic land card, reveal it, put it into your hand, then shuffle.",G,49D189DD-9CE7-434F-931B-7110CD5255E7,normal,86871,116666,"629666",728463,821B9E86-D108-42E5-B642-C5E07AB16C37,,,,,1,G,15088,"Bargain",10540,,false,false,woe,https://scryfall.com/card/woe/165/brave-the-wilds?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-02-06T01:13:45.370-09:00
1,"Candy Trail","Candy Trail","Wilds of Eldraine",WOE,243,English,Normal,Common,513362,7385309,0.13,2024-01-15T15:25:10.903-09:00,true,"",false,"",expansion,,{1},Artifact — Food Clue,"When Candy Trail enters the battlefield, scry 2.; {2}, {T}, Sacrifice Candy Trail: You gain 3 life and draw a card.",,7C8E4F29-53E0-4242-8EF8-7A9476DCE178,normal,86975,116874,"629744",730017,1A860925-D912-49E5-9DDC-41AB26916BB3,,,,,1,,7874,"Scry",45,,false,false,woe,https://scryfall.com/card/woe/243/candy-trail?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-02-06T01:13:45.392-09:00
1,"Commune with Nature","Commune with Nature","Wilds of Eldraine",WOE,166,English,Normal,Common,513883,7401242,0.02,2024-01-15T15:25:10.903-09:00,true,"",false,"",expansion,,{G},Sorcery,"Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",G,D4ED4260-5F38-4B55-BA6E-9F54F04D2360,normal,86872,116668,"629667",730016,5224EEC3-2941-4D16-A713-099E34E93EEE,,,,,1,G,12430,"",3439,,true,false,woe,https://scryfall.com/card/woe/166/commune-with-nature?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,2024-02-06T01:13:45.374-09:00
1,"Crystal Grotto","Crystal Grotto","Wilds of Eldraine",WOE,254,English,Normal,Common,513880,7401012,0.06,2024-01-15T15:25:10.903-09:00,true,"",false,"",expansion,,,Land,"When Crystal Grotto enters the battlefield, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.); {T}: Add {C}.; {1}, {T}: Add one mana of any color.",,F15FB0CC-8E96-4F03-94D0-B51410415AFD,normal,86986,116896,"629755",730019,6F6F9D3D-600D-43F3-A915-612E5D53AAA1,,,,,0,,2447,"Scry",1528,BCGRUW,true,false,woe,https://scryfall.com/card/woe/254/crystal-grotto?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-02-06T01:13:45.365-09:00
1,"Cut In","Cut In","Wilds of Eldraine",WOE,125,English,Normal,Common,512653,7370705,0.01,2024-01-15T15:25:10.903-09:00,true,"",false,"",expansion,,{3}{R},Sorcery,"Cut In deals 4 damage to target creature.; Create a Young Hero Role token attached to up to one target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature has ""Whenever this creature attacks, if its toughness is 3 or less, put a +1/+1 counter on it."")",R,9B205900-EC39-455E-900B-615ECE08A07F,normal,86823,116570,"629626",728481,8EA4D40A-7657-4FF8-9FC2-915B99432275,,,,,4,R,19553,"Role token",,,false,false,woe,https://scryfall.com/card/woe/125/cut-in?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-02-06T01:13:45.376-09:00
2,"Evolving Wilds","Evolving Wilds","Wilds of Eldraine",WOE,256,English,Normal,Common,512381,7360827,0.12,2024-01-15T15:25:10.903-09:00,true,"",false,"",expansion,,,Land,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,A75445D3-1303-4BB5-89AD-26EA93FECD48,normal,86988,116900,"629757",728107,74F9C819-719A-461B-8E7E-A26C88E8099B,,,,,0,,15,"",43,,true,false,woe,https://scryfall.com/card/woe/256/evolving-wilds?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,2024-02-06T01:13:45.388-09:00
1,"Flick a Coin","Flick a Coin","Wilds of Eldraine",WOE,128,English,Normal,Common,512649,7370360,0.05,2024-01-15T15:25:10.903-09:00,true,"",false,"",expansion,,{2}{R},Instant,"Flick a Coin deals 1 damage to any target. You create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color.""); Draw a card.",R,990583EF-5BF4-4E14-A8F1-61D32C6A75DF,normal,86826,116576,"629629",729048,673A67B2-FBB0-4BE4-9EDD-93946A583F23,,,,,3,R,6710,"Treasure",7683,BGRUW,false,false,woe,https://scryfall.com/card/woe/128/flick-a-coin?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-02-06T01:13:45.379-09:00
6,"Forest (0266)","Forest","Wilds of Eldraine",WOE,266,English,Normal,Land,509495,7332487,0.48,2024-01-15T15:25:10.903-09:00,true,"fullart",true,"",expansion,,,Basic Land — Forest,"({T}: Add {G}.)",,B34BB2DC-C1AF-4D77-B0B3-A0FB342A5FC6,normal,87024,116940,"631594",725340,ECD6D8FB-780C-446C-A8BF-93386B22FE95,,,,,0,G,,"",,G,true,false,woe,https://scryfall.com/card/woe/266/forest?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,2024-02-06T01:13:45.400-09:00
2,"Frantic Firebolt","Frantic Firebolt","Wilds of Eldraine",WOE,130,English,Normal,Common,513343,7383819,0.02,2024-01-15T15:25:10.903-09:00,true,"",false,"",expansion,,{2}{R},Instant,"Frantic Firebolt deals X damage to target creature, where X is 2 plus the number of cards in your graveyard that are instant cards, sorcery cards, and/or have an Adventure.",R,F1882CC8-C81A-4131-B639-1BD6E083F8BA,normal,86828,116580,"629631",729572,EFD85F5A-258B-4CED-BF9E-3ABE7FE72395,,,,,3,R,10602,"",,,false,false,woe,https://scryfall.com/card/woe/130/frantic-firebolt?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-02-06T01:13:45.377-09:00
1,"Howling Galefang","Howling Galefang","Wilds of Eldraine",WOE,175,English,Normal,Uncommon,512582,7366899,0.01,2024-01-15T15:25:10.903-09:00,true,"",false,"",expansion,,{2}{G}{G},Creature — Beast,"Vigilance; Howling Galefang has haste as long as you own a card in exile that has an Adventure.",G,F12C2B65-4A04-4FAB-AE77-973FE5CC823D,normal,86883,116690,"629676",728409,86311523-D0EB-4DB3-B586-8349DE9C2D37,,,4,4,4,G,19933,"Vigilance",8135,,false,false,woe,https://scryfall.com/card/woe/175/howling-galefang?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,restricted,legal,not_legal,not_legal,not_legal,2024-02-06T01:13:45.366-09:00
