#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Arcade Gannon","Arcade Gannon","",PIP,92,,Normal,Rare,,,,,false,"legendary",false,"",commander,,{2}{W}{U},Legendary Creature — Human Doctor,"{T}: Draw a card, then discard a card. Put a quest counter on Arcade Gannon.; For Auld Lang Syne — Once during each of your turns, you may cast an artifact or Human spell from your graveyard with mana value less than or equal to the number of quest counters on Arcade Gannon.",UW,E001D7E6-71C9-42FA-9D5C-9455DA66E4EC,normal,,,"652179",758298,36356522-15FC-41E2-BF14-A745E5A96A50,,,2,3,4,UW,12272,"For Auld Lang Syne",,,false,false,pip,https://scryfall.com/card/pip/92/arcade-gannon?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.010-08:00,,
1,"Arcane Signet","Arcane Signet","",PIP,224,,Normal,Uncommon,,,,,false,"",false,"",commander,,{2},Artifact,"{T}: Add one mana of any color in your commander's color identity.",,0BC7F093-BEF0-4F1A-852C-4B75EBF54838,normal,,,"653187",757713,8BAFEAA8-5E77-4303-B30A-23FD137B7C35,,,,,2,,3,"",,BGRUW,true,false,pip,https://scryfall.com/card/pip/224/arcane-signet?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.012-08:00,,
1,"Ash Barrens","Ash Barrens","",PIP,253,,Normal,Common,,,,,false,"",false,"",commander,,,Land,"{T}: Add {C}.; Basic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",,58257464-278E-45FA-8E0B-BCD9A7500BC1,normal,,,"653216",757716,78A90148-5ED9-42DB-A64F-4735676D82E3,,,,,0,,215,"Landcycling, Basic landcycling, Typecycling, Cycling",,C,true,false,pip,https://scryfall.com/card/pip/253/ash-barrens?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.013-08:00,,
1,"Assaultron Dominator","Assaultron Dominator","",PIP,54,,Normal,Rare,,,,,false,"",false,"",commander,,{1}{R},Artifact Creature — Robot,"When Assaultron Dominator enters, you get {E}{E} (two energy counters).; Whenever an artifact creature you control attacks, you may pay {E}. If you do, put your choice of a +1/+1, first strike, or trample counter on that creature.",R,2C7818F4-A818-4603-9AF1-05AEE2D56EC8,normal,,,"652141",758336,4112FADB-DA03-441A-BEEB-1DC90425E3F3,,,2,2,2,R,8490,"",,,false,false,pip,https://scryfall.com/card/pip/54/assaultron-dominator?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.015-08:00,,
1,"Austere Command","Austere Command","",PIP,156,,Normal,Rare,,,,,false,"",false,"",commander,,{4}{W}{W},Sorcery,"Choose two —; • Destroy all artifacts.; • Destroy all enchantments.; • Destroy all creatures with mana value 3 or less.; • Destroy all creatures with mana value 4 or greater.",W,09CC8709-FE10-472A-B05C-E89F3523018D,normal,,,"653119",758301,5215C18D-90CD-45DF-AC14-99909C97C69E,,,,,6,W,147,"",4252,,true,false,pip,https://scryfall.com/card/pip/156/austere-command?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2024-10-02T14:35:35.016-08:00,,
1,"Automated Assembly Line","Automated Assembly Line","",PIP,10,,Normal,Rare,,,,,false,"",false,"",commander,,{1}{W},Artifact,"Whenever one or more artifact creatures you control deal combat damage to a player, you get {E} (an energy counter).; Pay {E}{E}{E}: Create a tapped 3/3 colorless Robot artifact creature token.",W,6E24A5BD-0CE3-4DC1-98C6-60D527BFDCFD,normal,,,"652097",758283,FE9E2A76-1324-4B8E-B23C-10C04ACA1870,,,,,2,W,8172,"",,,false,false,pip,https://scryfall.com/card/pip/10/automated-assembly-line?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.018-08:00,,
1,"Behemoth of Vault 0","Behemoth of Vault 0","",PIP,127,,Normal,Uncommon,,,,,false,"",false,"",commander,,{6},Artifact Creature — Robot,"Trample; When Behemoth of Vault 0 enters, you get {E}{E}{E}{E} (four energy counters).; When Behemoth of Vault 0 dies, you may pay an amount of {E} equal to target nonland permanent's mana value. When you do, destroy that permanent.",,7D05FFE2-E52B-42AF-87CA-6AAE488B9F41,normal,,,"652214",758302,592D6E5B-A94E-460C-AB2F-21FD842C3D9A,,,6,6,6,,9096,"Trample",,,false,false,pip,https://scryfall.com/card/pip/127/behemoth-of-vault-0?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,restricted,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.019-08:00,,
1,"Bottle-Cap Blast","Bottle-Cap Blast","",PIP,55,,Normal,Uncommon,,,,,false,"",false,"",commander,,{4}{R},Instant,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.); Bottle-Cap Blast deals 5 damage to any target. If excess damage was dealt to a permanent this way, create that many tapped Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",R,E9C78601-4BEC-4D16-8FD9-88C6053BD9C4,normal,,,"652142",758331,8BDCEEC0-0950-4D52-86FC-D0F04E8487CE,,,,,5,R,7162,"Improvise, Treasure",,BGRUW,false,false,pip,https://scryfall.com/card/pip/55/bottle-cap-blast?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.020-08:00,,
1,"Brotherhood Scribe","Brotherhood Scribe","",PIP,13,,Normal,Rare,,,,,false,"",false,"",commander,,{1}{W},Creature — Human Artificer,"Metalcraft — {T}: You get {E} (an energy counter). Activate only if you control three or more artifacts.; Whenever you get one or more {E} during your turn, creatures you control get +1/+1 until end of turn.",W,E22BB590-9C9A-4A99-8CD7-1DBE742F4CDD,normal,,,"652100",758275,B751250E-EBF2-42B1-9A45-779B39974BA7,,,1,3,2,W,8152,"Metalcraft",,,false,false,pip,https://scryfall.com/card/pip/13/brotherhood-scribe?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.021-08:00,,
1,"Brotherhood Vertibird","Brotherhood Vertibird","",PIP,128,,Normal,Rare,,,,,false,"",false,"",commander,,{3},Artifact — Vehicle,"Flying; Brotherhood Vertibird's power is equal to the number of artifacts you control.; Crew 2 (Tap any number of creatures you control with total power 2 or greater: This Vehicle becomes an artifact creature until end of turn.)",,3B000071-3768-44CF-8957-180D0E94C988,normal,,,"652215",758324,C207C76D-5F10-4FD9-9826-CF0611BFA2D0,,,*,4,3,,8894,"Flying, Crew",,,false,false,pip,https://scryfall.com/card/pip/128/brotherhood-vertibird?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-10-02T14:35:35.023-08:00,,
