Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Arcane Signet","Arcane Signet","Commander Masters",CMM,367,English,Normal,Uncommon,503414,7249137,0.73,2024-01-15T15:25:10.904-09:00,true,"",false,"",masters,,{2},Artifact,"{T}: Add one mana of any color in your commander's color identity.",,0BC7F093-BEF0-4F1A-852C-4B75EBF54838,normal,0,114963,"627831",721741,0539B83C-4459-41B5-A001-D15A1C9DDF23,,,,,2,,3,"",0,BGRUW,true,false,cmm,https://scryfall.com/card/cmm/367/arcane-signet?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:52.925-08:00,,
1,"Baldur's Gate","Baldur's Gate","Commander Legends: Battle for Baldur's Gate",CLB,345,English,Normal,Rare,272544,5596604,1.07,2024-01-15T15:25:10.904-09:00,true,"legendary",false,"",draft_innovation,,,Legendary Land — Gate,"{T}: Add {C}.; {2}, {T}: Add X mana of any one color, where X is the number of other Gates you control.",,DA307EA2-4DF7-4D6B-BE0F-9DC6AC93DB61,normal,0,100728,"563228",658753,2436AA14-9200-4295-8041-B682CF3C4216,,,,,0,,1971,"",0,BCGRUW,false,false,clb,https://scryfall.com/card/clb/345/baldurs-gate?utm_source=api,not_legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:52.936-08:00,,
1,"Basilisk Gate","Basilisk Gate","Commander Legends: Battle for Baldur's Gate",CLB,346,English,Normal,Common,273362,5639044,0.31,2024-01-15T15:25:10.904-09:00,true,"",false,"",draft_innovation,,,Land — Gate,"{T}: Add {C}.; {2}, {T}: Target creature gets +X/+X until end of turn, where X is the number of Gates you control. Activate only as a sorcery.",,8733A4FC-4068-4AF4-9598-DC3D895E8556,normal,0,100730,"563229",660832,4A306025-D429-4006-B7ED-BDB287E83F57,,,,,0,,2213,"",0,C,false,false,clb,https://scryfall.com/card/clb/346/basilisk-gate?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:52.887-08:00,,
1,"Battering Sliver","Battering Sliver","Time Spiral: Remastered",TSR,154,English,Normal,Common,233931,4808126,0.1,2024-04-17T22:16:38.152-08:00,true,"",false,"",masters,,{5}{R},Creature — Sliver,"All Sliver creatures have trample.",R,4ADF959B-2E09-47FF-A1B1-B889348735B8,normal,0,86671,"509519",545141,7F65A72B-D24C-4016-BEFC-91018A1B62E1,,,4,4,6,R,10532,"",12826,,true,false,tsr,https://scryfall.com/card/tsr/154/battering-sliver?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,legal,2024-09-27T12:51:12.391-08:00,,
1,"Black Dragon Gate","Black Dragon Gate","Commander Legends: Battle for Baldur's Gate",CLB,347,English,Normal,Common,273086,5627327,0.24,2024-01-15T15:25:10.904-09:00,true,"",false,"",draft_innovation,,,Land — Gate,"Black Dragon Gate enters tapped.; As Black Dragon Gate enters, choose a color other than black.; {T}: Add {B} or one mana of the chosen color.",,DDE6BCE5-8BBE-4866-B5AA-2C05C7D37241,normal,0,100732,"563230",660766,C4CEB589-C741-44AC-98C8-3D997953EE61,,,,,0,B,1603,"",0,BGRUW,false,false,clb,https://scryfall.com/card/clb/347/black-dragon-gate?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:52.841-08:00,,
1,"Blur Sliver","Blur Sliver","Commander Masters",CMM,873,English,Normal,Common,505165,7274258,0.24,2024-01-15T15:25:10.904-09:00,false,"",false,"",masters,,{2}{R},Creature — Sliver,"Sliver creatures you control have haste. (They can attack and {T} as soon as they come under your control.)",R,E0F05979-DABA-43EB-B356-24284E7CA99C,normal,0,114087,"625278",722906,D44DB4FA-8B13-4EB2-A66E-A55B2E0C0FB3,,,2,2,3,R,5378,"",6313,,true,false,cmm,https://scryfall.com/card/cmm/873/blur-sliver?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:52.857-08:00,,
1,"Bonescythe Sliver","Bonescythe Sliver","Commander Masters",CMM,815,English,Normal,Rare,505080,7271022,1.42,2024-01-15T15:25:10.904-09:00,false,"",false,"",masters,,{3}{W},Creature — Sliver,"Sliver creatures you control have double strike. (They deal both first-strike and regular combat damage.)",W,1D95AD32-768F-40A1-A461-E0562326B2B7,normal,0,113971,"625220",722835,7AE24F37-0788-4F53-AF5A-C6C1F2B64894,,,2,2,4,W,3598,"",7159,,true,false,cmm,https://scryfall.com/card/cmm/815/bonescythe-sliver?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:52.838-08:00,,
1,"Brood Sliver","Brood Sliver","Commander Masters",CMM,887,English,Normal,Rare,505097,7271824,0.57,2024-01-15T15:25:10.904-09:00,false,"",false,"",masters,,{4}{G},Creature — Sliver,"Whenever a Sliver deals combat damage to a player, its controller may create a 1/1 colorless Sliver creature token.",G,6B1D178F-9713-4DCF-920B-DDF2C94CC427,normal,0,114115,"625292",722860,441A387B-E18A-41C7-84BB-BB7E354F4F2D,,,3,3,5,G,4387,"",0,,true,false,cmm,https://scryfall.com/card/cmm/887/brood-sliver?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-09-27T12:50:52.914-08:00,,
1,"Capricious Sliver","Capricious Sliver","Commander Masters",CMM,734,English,Normal,Rare,505015,7270315,0.31,2024-01-15T15:25:10.904-09:00,false,"",false,"",masters,,{3}{R},Creature — Sliver,"Sliver creatures you control have ""Whenever this creature deals combat damage to a player, exile the top card of your library. You may play that card this turn.""",R,1F59B3D9-1535-4E13-A0A1-0F839FE90AC6,normal,0,114499,"625099",722850,48938CD4-9158-4EB8-ACB7-21CE7A11CFA7,,,3,3,4,R,10520,"",0,,false,false,cmm,https://scryfall.com/card/cmm/734/capricious-sliver?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:52.909-08:00,,
1,"Chromatic Lantern (Schematic)","Chromatic Lantern","The Brothers' War: Retro Frame Artifacts",BRR,73,English,Normal,Rare,451912,6673897,3.23,2024-01-15T15:25:10.904-09:00,false,"",false,"",masterpiece,,{3},Artifact,"Lands you control have ""{T}: Add one mana of any color.""; {T}: Add one mana of any color.",,539F5396-D99A-417D-A84C-DFF7930B5900,normal,82872,104312,"587253",682301,0DE8874B-478A-4B8C-928E-862E52E43AA3,,,,,3,,65,"",3316,BGRUW,true,false,brr,https://scryfall.com/card/brr/73/chromatic-lantern?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-09-27T12:50:52.954-08:00,,
