Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date,Notes,Proxy
1,"Aclazotz, Deepest Betrayal","Aclazotz, Deepest Betrayal","The Lost Caverns of Ixalan",LCI,88,English,Foil,Mythic,524352,7507697,6.36,2024-02-06T12:57:49.000-09:00,true,"legendary",false,"",expansion,,{3}{B}{B},Legendary Creature — Bat God // Land,"Flying, lifelink; Whenever Aclazotz attacks, each opponent discards a card. For each opponent who can't, you draw a card.; Whenever an opponent discards a land card, create a 1/1 black Bat creature token with flying.; When Aclazotz dies, return it to the battlefield tapped and transformed under its owner's control. // (Transforms from Aclazotz, Deepest Betrayal.); {T}: Add {B}.; {2}{B}, {T}: Transform this land. Activate only if a player has one or fewer cards in hand and only as a sorcery.",B,FCDFE9D5-2743-4D3E-AB57-BF0F96BEAA15,transform,87231,117978,"636791, 636792",741095,627C392C-4D18-4EB2-A4E8-C668F61F5487,,,4,4,5,,2900,"",0,B,false,,lci,https://scryfall.com/card/lci/88/aclazotz-deepest-betrayal-temple-of-the-dead?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:39:06.753-08:00,,
1,"Arcane Signet","Arcane Signet","Commander: Murders at Karlov Manor",MKC,223,English,Normal,Common,535604,7710473,0.43,2024-04-17T22:16:38.158-08:00,false,"",false,"",commander,,{2},Artifact,"{T}: Add one mana of any color in your commander's color identity.",,0BC7F093-BEF0-4F1A-852C-4B75EBF54838,normal,0,122594,"650317",753505,E593BB16-E709-4D92-BF6F-239F6A11F7DB,,,,,2,,3,"",0,BGRUW,true,false,mkc,https://scryfall.com/card/mkc/223/arcane-signet?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:40:20.800-08:00,,
1,"Arcee, Sharpshooter","Arcee, Sharpshooter","Universes Beyond: Transformers",BOT,7,English,Normal,Mythic,448836,6647058,0.37,2024-02-06T12:57:49.000-09:00,false,"convertdfc, legendary",false,"",masterpiece,RW,{1}{R}{W},Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,"More Than Meets the Eye {R}{W} (You may cast this card converted for {R}{W}.); First strike; {1}, Remove one or more +1/+1 counters from Arcee: It deals that much damage to target creature. Convert Arcee. // Living metal (During your turn, this Vehicle is also a creature.); Whenever you cast a spell that targets one or more creatures or Vehicles you control, put that many +1/+1 counters on Arcee. Convert Arcee.",RW // RW,9FBA3097-D53F-4EA4-B5D2-8ADDDAA09524,transform,0,105574,"587886, 587887",678553,21462DB4-7739-4853-845F-0C2AA38FD2A6,,,2 // 2,2 // 2,3,,11638,"",0,,false,,bot,https://scryfall.com/card/bot/7/arcee-sharpshooter-arcee-acrobatic-coupe?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:39:06.627-08:00,,
1,"Arch of Orazca","Arch of Orazca","Commander: The Lost Caverns of Ixalan",LCC,319,English,Normal,Rare,525902,7537247,0.11,2024-02-06T12:57:49.000-09:00,false,"",false,"",commander,,,Land,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.); {T}: Add {C}.; {5}, {T}: Draw a card. Activate only if you have the city's blessing.",,3BB518FF-399B-4CE7-B9AD-A1D563DD7792,normal,0,119038,"640615",743671,581DCADD-7DE4-4B39-BAB0-D3567194A252,,,,,0,,1784,"Ascend",326,C,true,false,lcc,https://scryfall.com/card/lcc/319/arch-of-orazca?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:39:06.631-08:00,,
1,"Astral Cornucopia","Astral Cornucopia","The Brothers' War: Retro Frame Artifacts",BRR,5,English,Normal,Rare,452375,6694108,0.67,2024-04-17T22:16:38.158-08:00,false,"",false,"",masterpiece,,{X}{X}{X},Artifact,"This artifact enters with X charge counters on it.; {T}: Choose a color. Add one mana of that color for each charge counter on this artifact.",,1BC42024-52DA-4D93-8B47-544F0A4A72A1,normal,82804,104428,"586555",682885,4EA24F0F-7BDA-459C-A962-BDE22065D7CF,,,,,0,,1548,"",3208,BGRUW,true,false,brr,https://scryfall.com/card/brr/5/astral-cornucopia?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:40:20.798-08:00,,
1,"Barkchannel Pathway // Tidechannel Pathway","Barkchannel Pathway // Tidechannel Pathway","",SLU,1,,Normal,Rare,,,,,false,"",false,"",box,,,Land,"{T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle.",,DAB520D0-20B4-4273-BA6B-EB07F85EA433,normal,0,0,"",445368,723A163E-97C1-4177-A067-873BEBD9A87D,,,,,0,,46,"",0,,true,false,slu,https://scryfall.com/card/slu/1/marsh-flats?utm_source=api,not_legal,not_legal,banned,legal,legal,not_legal,not_legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,legal,2025-04-20T22:41:41.167-08:00,,
1,"Black Sun's Twilight (Extended Art)","Black Sun's Twilight","Phyrexia: All Will Be One",ONE,383,English,Normal,Rare,478312,6930938,0.36,2024-02-06T12:57:49.000-09:00,false,"extendedart",false,"boosterfun",expansion,,{X}{B},Instant,"Up to one target creature gets -X/-X until end of turn. If X is 5 or more, return a creature card with mana value X or less from your graveyard to the battlefield tapped.",B,AF105CDA-1F7C-4868-9407-A97C46BD762D,normal,0,106001,"604755",692698,646144B6-F644-4A3F-AF46-63FEB16BD0F9,,,,,1,B,3138,"",7357,,false,false,one,https://scryfall.com/card/one/383/black-suns-twilight?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:39:06.632-08:00,,
1,"Blaster, Combat DJ","Blaster, Combat DJ","Universes Beyond: Transformers",BOT,8,English,Foil,Mythic,448825,6646963,0.71,2024-02-06T12:57:49.000-09:00,false,"convertdfc, legendary",false,"",masterpiece,GR,{3}{R}{G},Legendary Artifact Creature — Robot // Legendary Artifact,"More Than Meets the Eye {1}{R}{G} (You may cast this card converted for {1}{R}{G}.); Other nontoken artifact creatures and Vehicles you control have modular 1. (They enter with an additional +1/+1 counter on them. When they die, you may put their +1/+1 counters on target artifact creature.); Whenever you put one or more +1/+1 counters on Blaster, convert it. // Modular 3; {X}, {T}: Move X +1/+1 counters from Blaster onto another target artifact. That artifact gains haste until end of turn. If Blaster has no +1/+1 counters on it, convert it. Activate only as a sorcery.",GR // GR,59C2AF34-A2E5-4C67-AF2D-A782E41A8E1E,transform,0,105578,"587888, 587889",0,B2F8D457-CA4D-4B7D-83ED-17C2BA11EC0E,,,3,3,5,,12662,"",0,,false,,bot,https://scryfall.com/card/bot/8/blaster-combat-dj-blaster-morale-booster?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:39:06.746-08:00,,
1,"Blightreaper Thallid","Blightreaper Thallid","March of the Machine",MOM,92,English,Normal,Uncommon,490814,7061598,0.05,2024-02-06T12:57:49.000-09:00,true,"",false,"",expansion,BG,{1}{B},Creature — Fungus // Creature — Phyrexian Fungus,"{3}{G/P}: Transform this creature. Activate only as a sorcery. ({G/P} can be paid with either {G} or 2 life.) // When this creature transforms into Blightsower Thallid or dies, create a 1/1 green Phyrexian Saproling creature token.",B // BG,EA405CB4-A21B-4A26-98F3-251E65EA2AEF,transform,84359,110018,"607123, 607124",704362,F1150EA9-02B5-4767-A529-6149D758830E,,,2 // 3,2 // 3,2,,16209,"",0,,false,,mom,https://scryfall.com/card/mom/92/blightreaper-thallid-blightsower-thallid?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:39:06.633-08:00,,
1,"Blightstep Pathway // Searstep Pathway","Blightstep Pathway // Searstep Pathway","",SLU,12,,Foil,Rare,,,,,false,"",false,"",box,,// ,Land // Land,"{T}: Add {B}. // {T}: Add {R}.",,E580A229-E800-4746-9D37-C32FCEF8DE28,modal_dfc,0,0,"",562322,022C7FE3-45BB-4EFE-9B0C-2E4807D607B8,,,,,0,,666,"",0,BR,true,,slu,https://scryfall.com/card/slu/12/blightstep-pathway-searstep-pathway?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2025-04-20T22:41:41.170-08:00,,
