Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date
1,"Aclazotz, Deepest Betrayal","Aclazotz, Deepest Betrayal","The Lost Caverns of Ixalan",LCI,88,English,Foil,Mythic,524352,7507697,6.36,2024-02-06T12:57:49.000-09:00,true,"legendary",false,"",expansion,,{3}{B}{B},Legendary Creature — Bat God // Land,"Flying, lifelink; Whenever Aclazotz attacks, each opponent discards a card. For each opponent who can't, you draw a card.; Whenever an opponent discards a land card, create a 1/1 black Bat creature token with flying.; When Aclazotz dies, return it to the battlefield tapped and transformed under its owner's control. // (Transforms from Aclazotz, Deepest Betrayal.); {T}: Add {B}.; {2}{B}, {T}: Transform Temple of the Dead. Activate only if a player has one or fewer cards in hand and only as a sorcery.",B,FCDFE9D5-2743-4D3E-AB57-BF0F96BEAA15,transform,87231,117978,"636791, 636792",741095,627C392C-4D18-4EB2-A4E8-C668F61F5487,,,4,4,5,,5972,"",0,B,false,,lci,https://scryfall.com/card/lci/88/aclazotz-deepest-betrayal-temple-of-the-dead?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:21.030-08:00
1,"Arcane Signet","Arcane Signet","Commander: Murders at Karlov Manor",MKC,223,English,Normal,Common,535604,7710473,0.43,2024-04-17T22:16:38.158-08:00,false,"",false,"",commander,,{2},Artifact,"{T}: Add one mana of any color in your commander's color identity.",,0BC7F093-BEF0-4F1A-852C-4B75EBF54838,normal,0,122594,"650317",753505,E593BB16-E709-4D92-BF6F-239F6A11F7DB,,,,,2,,3,"",0,BGRUW,true,false,mkc,https://scryfall.com/card/mkc/223/arcane-signet?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:36:27.053-08:00
1,"Arcee, Sharpshooter","Arcee, Sharpshooter","Universes Beyond: Transformers",BOT,7,English,Normal,Mythic,448836,6647058,0.37,2024-02-06T12:57:49.000-09:00,false,"convertdfc, legendary",false,"",masterpiece,RW,{1}{R}{W},Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,"More Than Meets the Eye {R}{W} (You may cast this card converted for {R}{W}.); First strike; {1}, Remove one or more +1/+1 counters from Arcee: It deals that much damage to target creature. Convert Arcee. // Living metal (As long as it's your turn, this Vehicle is also a creature.); Whenever you cast a spell that targets one or more creatures or Vehicles you control, put that many +1/+1 counters on Arcee. Convert Arcee.",RW // RW,9FBA3097-D53F-4EA4-B5D2-8ADDDAA09524,transform,0,105574,"587886, 587887",678553,21462DB4-7739-4853-845F-0C2AA38FD2A6,,,2 // 2,2 // 2,3,,10391,"",0,,false,,bot,https://scryfall.com/card/bot/7/arcee-sharpshooter-arcee-acrobatic-coupe?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:20.814-08:00
1,"Arch of Orazca","Arch of Orazca","Commander: The Lost Caverns of Ixalan",LCC,319,English,Normal,Rare,525902,7537247,0.11,2024-02-06T12:57:49.000-09:00,false,"",false,"",commander,,,Land,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.); {T}: Add {C}.; {5}, {T}: Draw a card. Activate only if you have the city's blessing.",,3BB518FF-399B-4CE7-B9AD-A1D563DD7792,normal,0,119038,"640615",743671,581DCADD-7DE4-4B39-BAB0-D3567194A252,,,,,0,,1554,"Ascend",208,C,true,false,lcc,https://scryfall.com/card/lcc/319/arch-of-orazca?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:20.817-08:00
1,"Astral Cornucopia","Astral Cornucopia","The Brothers' War: Retro Frame Artifacts",BRR,5,English,Normal,Rare,452375,6694108,0.67,2024-04-17T22:16:38.158-08:00,false,"",false,"",masterpiece,,{X}{X}{X},Artifact,"Astral Cornucopia enters the battlefield with X charge counters on it.; {T}: Choose a color. Add one mana of that color for each charge counter on Astral Cornucopia.",,1BC42024-52DA-4D93-8B47-544F0A4A72A1,normal,82804,104428,"586555",682885,4EA24F0F-7BDA-459C-A962-BDE22065D7CF,,,,,0,,1337,"",2754,BGRUW,true,false,brr,https://scryfall.com/card/brr/5/astral-cornucopia?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:36:27.051-08:00
1,"Black Sun's Twilight (Extended Art)","Black Sun's Twilight","Phyrexia: All Will Be One",ONE,383,English,Normal,Rare,478312,6930938,0.36,2024-02-06T12:57:49.000-09:00,false,"extendedart",false,"boosterfun",expansion,,{X}{B},Instant,"Up to one target creature gets -X/-X until end of turn. If X is 5 or more, return a creature card with mana value X or less from your graveyard to the battlefield tapped.",B,AF105CDA-1F7C-4868-9407-A97C46BD762D,normal,0,106001,"604755",692698,646144B6-F644-4A3F-AF46-63FEB16BD0F9,,,,,1,B,3132,"",5838,,false,false,one,https://scryfall.com/card/one/383/black-suns-twilight?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:20.819-08:00
1,"Blaster, Combat DJ","Blaster, Combat DJ","Universes Beyond: Transformers",BOT,8,English,Foil,Mythic,448825,6646963,0.71,2024-02-06T12:57:49.000-09:00,false,"convertdfc, legendary",false,"",masterpiece,GR,{3}{R}{G},Legendary Artifact Creature — Robot // Legendary Artifact,"More Than Meets the Eye {1}{R}{G} (You may cast this card converted for {1}{R}{G}.); Other nontoken artifact creatures and Vehicles you control have modular 1. (They enter the battlefield with an additional +1/+1 counter on them. When they die, you may put their +1/+1 counters on target artifact creature.); Whenever you put one or more +1/+1 counters on Blaster, convert it. // Modular 3; {X}, {T}: Move X +1/+1 counters from Blaster onto another target artifact. That artifact gains haste until end of turn. If Blaster has no +1/+1 counters on it, convert it. Activate only as a sorcery.",GR // GR,59C2AF34-A2E5-4C67-AF2D-A782E41A8E1E,transform,0,105578,"587888, 587889",0,B2F8D457-CA4D-4B7D-83ED-17C2BA11EC0E,,,3,3,5,,11320,"",0,,false,,bot,https://scryfall.com/card/bot/8/blaster-combat-dj-blaster-morale-booster?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:21.018-08:00
1,"Blightreaper Thallid","Blightreaper Thallid","March of the Machine",MOM,92,English,Normal,Uncommon,490814,7061598,0.05,2024-02-06T12:57:49.000-09:00,true,"",false,"",expansion,BG,{1}{B},Creature — Fungus // Creature — Phyrexian Fungus,"{3}{G/P}: Transform Blightreaper Thallid. Activate only as a sorcery. ({G/P} can be paid with either {G} or 2 life.) // When this creature transforms into Blightsower Thallid or dies, create a 1/1 green Phyrexian Saproling creature token.",B // BG,EA405CB4-A21B-4A26-98F3-251E65EA2AEF,transform,84359,110018,"607123, 607124",704362,F1150EA9-02B5-4767-A529-6149D758830E,,,2 // 3,2 // 3,2,,15224,"",0,,false,,mom,https://scryfall.com/card/mom/92/blightreaper-thallid-blightsower-thallid?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,restricted,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:20.821-08:00
1,"Blitzwing, Cruel Tormentor","Blitzwing, Cruel Tormentor","Universes Beyond: Transformers",BOT,4,English,Normal,Mythic,448832,6647023,0.73,2024-02-06T12:57:49.000-09:00,false,"convertdfc, legendary",false,"",masterpiece,B,{5}{B},Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,"More Than Meets the Eye {3}{B} (You may cast this card converted for {3}{B}.); At the beginning of your end step, target opponent loses life equal to the life that player lost this turn. If no life is lost this way, convert Blitzwing. // Living metal (As long as it's your turn, this Vehicle is also a creature.); At the beginning of combat on your turn, choose flying or indestructible at random. Blitzwing gains that ability until end of turn.; Whenever Blitzwing deals combat damage to a player, convert it.",B // B,9A10668A-DF42-40C2-88D1-AD3B2ABA5B03,transform,0,105562,"587880, 587881",678548,D20738D2-A159-4E3E-BE7A-561A121BD447,,,6 // 3,5 // 5,6,,8147,"",0,,false,,bot,https://scryfall.com/card/bot/4/blitzwing-cruel-tormentor-blitzwing-adaptive-assailant?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:20.825-08:00
1,"Blue Sun's Twilight (Extended Art)","Blue Sun's Twilight","Phyrexia: All Will Be One",ONE,379,English,Normal,Rare,475559,6914150,0.62,2024-02-06T12:57:49.000-09:00,false,"extendedart",false,"boosterfun",expansion,,{X}{U}{U},Sorcery,"Gain control of target creature with mana value X or less. If X is 5 or more, create a token that's a copy of that creature.",U,11E637B4-6CE0-4514-98D6-02A2D073F73B,normal,0,105993,"604751",689744,AC7A6F3E-4E9F-4E50-AB60-17DC1B494FA5,,,,,2,U,2989,"",0,,false,false,one,https://scryfall.com/card/one/379/blue-suns-twilight?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-06-02T23:35:20.827-08:00
