Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Printing,Rarity,Condition,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date
1,"Picnic Ruiner","Picnic Ruiner",Wilds of Eldraine,WOE,232,English,Normal,Uncommon,Near Mint,512654,7370810,0.04,2023-11-01T22:27:23-08:00
1,"Crystal Grotto","Crystal Grotto",Wilds of Eldraine,WOE,254,English,Normal,Common,Near Mint,513880,7401012,0.06,2023-11-01T22:27:23-08:00
1,"Howling Galefang","Howling Galefang",Wilds of Eldraine,WOE,175,English,Normal,Uncommon,Near Mint,512582,7366899,0.01,2023-11-01T22:27:23-08:00
1,"Witchstalker Frenzy","Witchstalker Frenzy",Wilds of Eldraine,WOE,159,English,Normal,Uncommon,Near Mint,513417,7389061,0.1,2023-11-01T22:27:23-08:00
1,"Brave the Wilds","Brave the Wilds",Wilds of Eldraine,WOE,165,English,Normal,Common,Near Mint,512716,7373310,0.03,2023-11-01T22:27:23-08:00
1,"Impact Tremors","Impact Tremors",Wilds of Eldraine: Enchanting Tales,WOT,44,English,Normal,Uncommon,Near Mint,512663,7371245,0.29,2023-11-01T22:27:23-08:00
1,"Rootrider Faun","Rootrider Faun",Wilds of Eldraine,WOE,182,English,Normal,Common,Near Mint,512352,7360157,0.02,2023-11-01T22:27:23-08:00
1,"Commune with Nature","Commune with Nature",Wilds of Eldraine,WOE,166,English,Normal,Common,Near Mint,513883,7401242,0.02,2023-11-01T22:27:23-08:00
1,"Cut In","Cut In",Wilds of Eldraine,WOE,125,English,Normal,Common,Near Mint,512653,7370705,0.01,2023-11-01T22:27:23-08:00
2,"Frantic Firebolt","Frantic Firebolt",Wilds of Eldraine,WOE,130,English,Normal,Common,Near Mint,513343,7383819,0.02,2023-11-01T22:27:23-08:00
1,"Flick a Coin","Flick a Coin",Wilds of Eldraine,WOE,128,English,Normal,Common,Near Mint,512649,7370360,0.05,2023-11-01T22:27:23-08:00
1,"Ruby, Daring Tracker","Ruby, Daring Tracker",Wilds of Eldraine,WOE,212,English,Normal,Uncommon,Near Mint,512212,7357277,0.1,2023-11-01T22:27:23-08:00
1,"Titanic Growth","Titanic Growth",Wilds of Eldraine,WOE,191,English,Normal,Common,Near Mint,513982,7405062,0.03,2023-11-01T22:27:23-08:00
1,"Troublemaker Ouphe","Troublemaker Ouphe",Wilds of Eldraine,WOE,194,English,Normal,Common,Near Mint,512310,7359152,0.03,2023-11-01T22:27:23-08:00
1,"Twisted Fealty","Twisted Fealty",Wilds of Eldraine,WOE,154,English,Normal,Uncommon,Near Mint,512235,7358142,0.05,2023-11-01T22:27:23-08:00
1,"Skewer Slinger","Skewer Slinger",Wilds of Eldraine,WOE,149,English,Normal,Common,Near Mint,513875,7400632,0.02,2023-11-01T22:27:23-08:00
2,"Evolving Wilds","Evolving Wilds",Wilds of Eldraine,WOE,256,English,Normal,Common,Near Mint,512381,7360827,0.12,2023-11-01T22:27:23-08:00
1,"Prophetic Prism","Prophetic Prism",Wilds of Eldraine,WOE,249,English,Normal,Common,Near Mint,513010,7377291,0.02,2023-11-01T22:27:23-08:00
1,"Redcap Thief","Redcap Thief",Wilds of Eldraine,WOE,147,English,Normal,Common,Near Mint,513923,7403042,0.01,2023-11-01T22:27:23-08:00
1,"Candy Trail","Candy Trail",Wilds of Eldraine,WOE,243,English,Normal,Common,Near Mint,513362,7385309,0.13,2023-11-01T22:27:23-08:00
1,"Imodane, the Pyrohammer (Extended Art)","Imodane, the Pyrohammer",Wilds of Eldraine,WOE,348,English,Normal,Rare,Near Mint,512712,7373020,1.14,2023-11-01T22:27:23-08:00
1,"Season of Growth","Season of Growth",Wilds of Eldraine: Enchanting Tales,WOT,61,English,Normal,Uncommon,Near Mint,513107,7379761,0.07,2023-11-01T22:27:23-08:00
1,"Raid Bombardment","Raid Bombardment",Wilds of Eldraine: Enchanting Tales,WOT,47,English,Normal,Uncommon,Near Mint,512550,7366284,0.03,2023-11-01T22:27:23-08:00
6,"Forest (0266)","Forest",Wilds of Eldraine,WOE,266,English,Normal,Land,Near Mint,509495,7332487,0.48,2023-11-01T22:27:23-08:00
9,"Mountain (0265)","Mountain",Wilds of Eldraine,WOE,265,English,Normal,Land,Near Mint,509494,7332407,0.28,2023-11-01T22:27:23-08:00
