Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,"Blaster, Combat DJ","Blaster, Combat DJ",Universes Beyond: Transformers,8,BOT,Foil,Near Mint,English,Mythic,448825,6646963,$0.54,$0.54
1,"Ratchet, Field Medic","Ratchet, Field Medic",Universes Beyond: Transformers,2,BOT,Normal,Near Mint,English,Mythic,448830,6647003,$0.86,$0.86
1,"Cyclonus, the Saboteur","Cyclonus, the Saboteur",Universes Beyond: Transformers,9,BOT,Normal,Near Mint,English,Mythic,448837,6647068,$0.46,$0.46
1,"Slicer, Hired Muscle (Shattered Glass)","Slicer, Hired Muscle",Universes Beyond: Transformers,21,BOT,Normal,Near Mint,English,Mythic,448863,6679083,$20.05,$20.05
1,"Blitzwing, Cruel Tormentor (Shattered Glass)","Blitzwing, Cruel Tormentor",Universes Beyond: Transformers,19,BOT,Normal,Near Mint,English,Mythic,448861,6678558,$5.15,$5.15
1,Sigil of Valor,Sigil of Valor,The Brothers' War: Retro Frame Artifacts,53,BRR,Normal,Near Mint,English,Uncommon,452429,6699771,$0.04,$0.04
1,Mazemind Tome (Schematic),Mazemind Tome,The Brothers' War: Retro Frame Artifacts,93,BRR,Normal,Near Mint,English,Rare,452485,6702591,$0.28,$0.28
1,Ichor Wellspring (Schematic),Ichor Wellspring,The Brothers' War: Retro Frame Artifacts,84,BRR,Normal,Near Mint,English,Uncommon,452457,6701571,$0.17,$0.17
1,Gilded Lotus,Gilded Lotus,The Brothers' War: Retro Frame Artifacts,17,BRR,Normal,Near Mint,English,Rare,452408,6698091,$1.74,$1.74
1,Pristine Talisman (Schematic),Pristine Talisman,The Brothers' War: Retro Frame Artifacts,106,BRR,Normal,Near Mint,English,Uncommon,452515,6703846,$0.10,$0.10
1,Key to the City,Key to the City,The Brothers' War: Retro Frame Artifacts,27,BRR,Normal,Near Mint,English,Rare,452412,6698411,$0.22,$0.22
1,Bone Saw,Bone Saw,Conflux,135,CON,Normal,Near Mint,English,Common,28506,255422,$0.24,$0.24
1,Journeyer's Kite (Schematic),Journeyer's Kite,The Brothers' War: Retro Frame Artifacts,88,BRR,Normal,Near Mint,English,Rare,452459,6701691,$0.15,$0.15
