Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Powerstone Engineer,Powerstone Engineer,The Brothers' War,20,BRO,Normal,Near Mint,English,Common,452777,6708362,$0.02,$0.02
1,Machine Over Matter,Machine Over Matter,The Brothers' War,57,BRO,Normal,Near Mint,English,Common,452639,6706151,$0.03,$0.03
1,Levitating Statue,Levitating Statue,The Brothers' War,236,BRO,Normal,Near Mint,English,Uncommon,452663,6706871,$0.03,$0.03
1,Repair and Recharge,Repair and Recharge,The Brothers' War,24,BRO,Normal,Near Mint,English,Uncommon,452068,6680963,$0.05,$0.05
1,Liquimetal Coating,Liquimetal Coating,The Brothers' War: Retro Frame Artifacts,28,BRR,Normal,Near Mint,English,Uncommon,452413,6698491,$0.09,$0.09
1,Notorious Throng,Notorious Throng,Commander: Zendikar Rising,33,ZNC,Normal,Near Mint,English,Rare,222380,4580330,$3.97,$3.97
1,Disdainful Stroke,Disdainful Stroke,Wilds of Eldraine,47,WOE,Normal,Near Mint,English,Uncommon,513357,7384909,$0.03,$0.03
3,Picklock Prankster,Picklock Prankster,Wilds of Eldraine,64,WOE,Normal,Near Mint,English,Uncommon,513300,7382644,$0.24,$0.12
1,Darkslick Shores,Darkslick Shores,Phyrexia: All Will Be One,250,ONE,Normal,Near Mint,English,Rare,478311,6930858,$2.41,$2.41
1,Minor Misstep,Minor Misstep,Phyrexia: All Will Be One,64,ONE,Normal,Near Mint,English,Uncommon,478385,6933221,$0.10,$0.10
1,Recoil (Retro Frame),Recoil,Dominaria Remastered,365,DMR,Normal,Near Mint,English,Uncommon,457256,6799624,$0.07,$0.07
1,Recoil (Retro Frame),Recoil,Dominaria Remastered,365,DMR,Foil,Near Mint,English,Uncommon,457256,6799629,$0.09,$0.09
1,Rain of Tears,Rain of Tears,Mercadian Masques,155,MMQ,Normal,Near Mint,English,Uncommon,6646,20130,$0.27,$0.27
1,Air Marshal,Air Marshal,The Brothers' War,43,BRO,Normal,Near Mint,English,Common,453099,6715135,$0.01,$0.01
2,Symmetry Matrix,Symmetry Matrix,The Brothers' War,252,BRO,Normal,Near Mint,English,Uncommon,452831,6709610,$0.30,$0.15
1,Mishra's Bauble (Schematic),Mishra's Bauble,The Brothers' War: Retro Frame Artifacts,97,BRR,Normal,Near Mint,English,Uncommon,451926,6674937,$0.80,$0.80
2,Springleaf Drum,Springleaf Drum,The Brothers' War: Retro Frame Artifacts,55,BRR,Normal,Near Mint,English,Uncommon,452431,6699931,$0.50,$0.25
1,"Slicer, Hired Muscle","Slicer, Hired Muscle",Universes Beyond: Transformers,6,BOT,Normal,Near Mint,English,Mythic,448834,6647043,$1.68,$1.68
1,Sigil of Valor,Sigil of Valor,The Brothers' War: Retro Frame Artifacts,53,BRR,Normal,Near Mint,English,Uncommon,452429,6699771,$0.04,$0.04
1,Self-Assembler (Schematic),Self-Assembler,The Brothers' War: Retro Frame Artifacts,114,BRR,Normal,Near Mint,English,Uncommon,452526,6704276,$0.03,$0.03
1,Astral Cornucopia,Astral Cornucopia,The Brothers' War: Retro Frame Artifacts,5,BRR,Normal,Near Mint,English,Rare,452375,6694108,$0.74,$0.74
