Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Abomination,Abomination,Fourth Edition,117,4ED,Normal,Near Mint,English,Uncommon,1633,15764,$0.16,$0.16
1,Abyssal Horror,Abyssal Horror,Urza's Saga,115,USG,Normal,Near Mint,English,Rare,6774,20255,$0.44,$0.44
1,Ashiok's Reaper,Ashiok's Reaper,Wilds of Eldraine,79,WOE,Normal,Near Mint,English,Uncommon,512695,7372300,$0.07,$0.07
1,Blightbelly Rat,Blightbelly Rat,Phyrexia: All Will Be One,85,ONE,Normal,Near Mint,English,Common,478927,6946510,$0.12,$0.12
2,Blightbelly Rat (Showcase),Blightbelly Rat,Phyrexia: All Will Be One,289,ONE,Normal,Near Mint,English,Common,479000,6949519,$0.02,$0.01
1,Blightreaper Thallid,Blightreaper Thallid,March of the Machine,92,MOM,Normal,Near Mint,English,Uncommon,490814,7061598,$0.01,$0.01
1,Blood Vassal,Blood Vassal,Urza's Saga,118,USG,Normal,Near Mint,English,Common,6800,20281,$0.14,$0.14
2,Bonepicker Skirge (Showcase),Bonepicker Skirge,Phyrexia: All Will Be One,290,ONE,Normal,Near Mint,English,Common,478837,6945815,$0.04,$0.02
3,Bonepicker Skirge,Bonepicker Skirge,Phyrexia: All Will Be One,86,ONE,Normal,Near Mint,English,Common,478835,6945730,$0.09,$0.03
1,Boneyard Mycodrax,Boneyard Mycodrax,Commander 2020,40,C20,Normal,Near Mint,English,Rare,212146,4369973,$0.12,$0.12
1,Bog Raiders,Bog Raiders,Magic 2011 (M11),86,M11,Normal,Near Mint,English,Common,35594,391345,$0.07,$0.07
1,Cackling Fiend,Cackling Fiend,Dominaria Remastered,76,DMR,Normal,Near Mint,English,Common,457548,6807116,$0.02,$0.02
2,Cackling Witch,Cackling Witch,Mercadian Masques,119,MMQ,Normal,Near Mint,English,Uncommon,6450,19946,$0.38,$0.19
1,Carrion Beetles,Carrion Beetles,Urza's Saga,122,USG,Normal,Near Mint,English,Common,6810,20291,$0.17,$0.17
2,Cateran Enforcer,Cateran Enforcer,Mercadian Masques,121,MMQ,Normal,Near Mint,English,Uncommon,6453,19949,$0.40,$0.20
2,Cateran Kidnappers,Cateran Kidnappers,Mercadian Masques,122,MMQ,Normal,Near Mint,English,Uncommon,6454,19950,$0.42,$0.21
2,Unseal the Necropolis,Unseal the Necropolis,March of the Machine,128,MOM,Normal,Near Mint,English,Common,491699,7084288,$0.10,$0.05
1,Szat's Will,Szat's Will,Commander Legends,152,CMR,Normal,Near Mint,English,Rare,226130,4625501,$0.33,$0.33
1,Sheoldred's Edict,Sheoldred's Edict,Phyrexia: All Will Be One,108,ONE,Normal,Near Mint,English,Uncommon,478441,6934829,$4.10,$4.10
1,Reckless Spite,Reckless Spite,Conspiracy,123,CNS,Normal,Near Mint,English,Uncommon,83295,1188705,$0.03,$0.03
2,Chilling Apparition,Chilling Apparition,Prophecy,59,PCY,Normal,Near Mint,English,Uncommon,7282,20748,$0.36,$0.18
1,Chittering Skitterling,Chittering Skitterling,Phyrexia: All Will Be One,87,ONE,Normal,Near Mint,English,Uncommon,478932,6946910,$0.03,$0.03
1,Compleated Huntmaster,Compleated Huntmaster,March of the Machine,96,MOM,Normal,Near Mint,English,Uncommon,491248,7065570,$0.03,$0.03
