Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Disruptive Student,Disruptive Student,Urza's Saga,69,USG,Normal,Near Mint,English,Common,6847,20328,$0.11,$0.11
1,Diminisher Witch,Diminisher Witch,Wilds of Eldraine,46,WOE,Normal,Near Mint,English,Common,513974,7404647,$0.01,$0.01
1,Cyclone Summoner,Cyclone Summoner,Kaldheim,52,KHM,Normal,Near Mint,English,Rare,230494,4724874,$0.19,$0.19
1,Coral Merfolk,Coral Merfolk,Urza's Saga,67,USG,Normal,Near Mint,English,Common,6827,20308,$0.16,$0.16
4,Chrome Prowler,Chrome Prowler,Phyrexia: All Will Be One,45,ONE,Normal,Near Mint,English,Common,479553,6960459,$0.08,$0.02
1,Chameleon Spirit,Chameleon Spirit,Mercadian Masques,65,MMQ,Normal,Near Mint,English,Uncommon,6465,19961,$0.24,$0.24
1,Chambered Nautilus,Chambered Nautilus,Mercadian Masques,64,MMQ,Normal,Near Mint,English,Uncommon,6464,19960,$0.20,$0.20
3,Beluna's Gatekeeper,Beluna's Gatekeeper,Wilds of Eldraine,43,WOE,Normal,Near Mint,English,Common,513957,7404037,$0.03,$0.01
1,Atmosphere Surgeon,Atmosphere Surgeon,Phyrexia: All Will Be One,41,ONE,Normal,Near Mint,English,Uncommon,479534,6959668,$0.01,$0.01
14,Archive Dragon,Archive Dragon,Wilds of Eldraine,41,WOE,Normal,Near Mint,English,Uncommon,513975,7404727,$0.28,$0.02
1,Urza's Rebuff,Urza's Rebuff,The Brothers' War,71,BRO,Normal,Near Mint,English,Common,452092,6682213,$0.04,$0.04
1,Wicked Slumber,Wicked Slumber,March of the Machine,84,MOM,Normal,Near Mint,English,Uncommon,491247,7065490,$0.03,$0.03
1,Whim of Volrath,Whim of Volrath,Tempest,102,TMP,Normal,Near Mint,English,Rare,5791,19287,$11.65,$11.65
1,Turnabout,Turnabout,Urza's Saga,105,USG,Normal,Near Mint,English,Uncommon,7078,20544,$2.29,$2.29
2,Tolarian Winds,Tolarian Winds,Beatdown Box Set,16,BTD,Normal,Near Mint,English,Common,37534,397435,$1.68,$0.84
2,Succumb to the Cold,Succumb to the Cold,Wilds of Eldraine,72,WOE,Normal,Near Mint,English,Uncommon,513336,7383364,$0.08,$0.04
1,Run Away Together,Run Away Together,Commander Legends,87,CMR,Normal,Near Mint,English,Common,226637,4637301,$0.03,$0.03
1,Repulse,Repulse,Conspiracy: Take the Crown,119,CN2,Normal,Near Mint,English,Common,121897,3195815,$0.10,$0.10
4,Rescind,Rescind,Urza's Saga,92,USG,Normal,Near Mint,English,Common,7004,20473,$1.00,$0.25
1,Reality Shift,Reality Shift,Commander 2019,92,C19,Normal,Near Mint,English,Uncommon,196470,4152013,$0.56,$0.56
1,Quick Study,Quick Study,Wilds of Eldraine,65,WOE,Normal,Near Mint,English,Common,513597,7391342,$0.14,$0.14
1,Power Sink,Power Sink,Urza's Saga,89,USG,Normal,Near Mint,English,Common,6986,20455,$0.25,$0.25
1,Perplexing Test,Perplexing Test,Commander: March of the Machine,229,MOC,Normal,Near Mint,English,Rare,491692,7083808,$0.49,$0.49
1,Opt,Opt,Jumpstart 2022,332,J22,Normal,Near Mint,English,Common,455596,6762930,$0.16,$0.16
3,Meeting of Minds,Meeting of Minds,March of the Machine,66,MOM,Normal,Near Mint,English,Common,491469,7075490,$0.42,$0.14
1,Keep Watch,Keep Watch,Commander: Wilds of Eldraine,98,WOC,Normal,Near Mint,English,Common,513699,7394112,$0.18,$0.18
1,Jump,Jump,Unlimited Edition,61,2ED,Normal,Near Mint,English,Common,9109,21919,$0.40,$0.40
2,Insidious Will,Insidious Will,Kaladesh,52,KLD,Normal,Near Mint,English,Rare,123137,3204032,$0.82,$0.41
1,Illusionist's Gambit,Illusionist's Gambit,Commander 2013,47,C13,Normal,Near Mint,English,Rare,71851,1137085,$2.32,$2.32
2,Ice Out,Ice Out,Wilds of Eldraine,54,WOE,Normal,Near Mint,English,Common,512531,7364982,$0.04,$0.02
1,Frantic Search,Frantic Search,Commander: Wilds of Eldraine,93,WOC,Normal,Near Mint,English,Common,513698,7394072,$0.21,$0.21
1,Faerie Trickery,Faerie Trickery,Lorwyn,62,LRW,Normal,Near Mint,English,Common,15481,2831,$0.37,$0.37
1,Fact or Fiction,Fact or Fiction,Commander 2019,85,C19,Normal,Near Mint,English,Uncommon,196603,4157233,$0.12,$0.12
