Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Sylvan Library (Retro Frame),Sylvan Library,Dominaria Remastered,350,DMR,Foil,Near Mint,English,Mythic,457225,6797444,$28.48,$28.48
1,Sylvan Library (Borderless),Sylvan Library,Dominaria Remastered,441,DMR,Normal,Near Mint,English,Mythic,457226,6797519,$19.77,$19.77
1,"Yawgmoth, Thran Physician (Borderless)","Yawgmoth, Thran Physician",Dominaria Remastered,431,DMR,Normal,Near Mint,English,Mythic,457088,6787674,$13.81,$13.81
1,Worldly Tutor (Retro Frame),Worldly Tutor,Dominaria Remastered,353,DMR,Foil,Near Mint,English,Rare,457275,6800999,$10.22,$10.22
1,"Urza, Lord High Artificer","Urza, Lord High Artificer",Dominaria Remastered,71,DMR,Foil,Near Mint,English,Mythic,457091,6787790,$8.61,$8.61
1,Worldly Tutor (Retro Frame),Worldly Tutor,Dominaria Remastered,353,DMR,Normal,Near Mint,English,Rare,457275,6800994,$8.33,$8.33
1,Exploration (Retro Frame),Exploration,Dominaria Remastered,339,DMR,Normal,Near Mint,English,Rare,457192,6795296,$8.26,$8.26
1,Entomb,Entomb,Dominaria Remastered,82,DMR,Foil,Near Mint,English,Rare,457198,6795781,$6.94,$6.94
1,Mystical Tutor (Borderless),Mystical Tutor,Dominaria Remastered,421,DMR,Normal,Near Mint,English,Rare,457259,6799864,$6.10,$6.10
1,Mystic Remora (Retro Frame),Mystic Remora,Dominaria Remastered,288,DMR,Foil,Near Mint,English,Rare,459038,6820356,$5.78,$5.78
1,Entomb (Borderless),Entomb,Dominaria Remastered,426,DMR,Normal,Near Mint,English,Rare,457202,6796096,$5.75,$5.75
1,No Mercy (Retro Frame),No Mercy,Dominaria Remastered,308,DMR,Foil,Near Mint,English,Mythic,457117,6789720,$5.62,$5.62
1,Maze of Ith (Borderless),Maze of Ith,Dominaria Remastered,456,DMR,Foil,Near Mint,English,Rare,457280,6801349,$5.52,$5.52
1,Damping Sphere (Retro Frame),Damping Sphere,Dominaria Remastered,377,DMR,Foil,Near Mint,English,Uncommon,466185,6862216,$4.19,$4.19
1,Maze of Ith,Maze of Ith,Double Masters,322,2XM,Foil,Near Mint,English,Rare,218874,4511409,$3.58,$3.58
1,Maze of Ith (Borderless),Maze of Ith,Dominaria Remastered,456,DMR,Normal,Near Mint,English,Rare,457280,6801344,$3.51,$3.51
1,Sulfur Falls (Retro Frame),Sulfur Falls,Dominaria Remastered,400,DMR,Foil,Near Mint,English,Rare,457231,6797829,$3.50,$3.50
1,Opposition,Opposition,Dominaria Remastered,62,DMR,Foil,Near Mint,English,Rare,458099,6814726,$2.78,$2.78
1,Wrath of God,Wrath of God,Dominaria Remastered,37,DMR,Foil,Near Mint,English,Rare,457674,6809551,$2.70,$2.70
1,Wild Growth,Wild Growth,Dominaria Remastered,184,DMR,Foil,Near Mint,English,Common,457137,6791141,$1.39,$1.39
1,Counterspell (Retro Frame),Counterspell,Dominaria Remastered,281,DMR,Foil,Near Mint,English,Common,458831,6819121,$1.29,$1.29
1,Chainer's Edict (Retro Frame),Chainer's Edict,Dominaria Remastered,300,DMR,Foil,Near Mint,English,Uncommon,457234,6798069,$1.20,$1.20
1,Mind Stone,Mind Stone,Dominaria Remastered,232,DMR,Foil,Near Mint,English,Common,463303,6845221,$0.99,$0.99
1,Gemstone Mine (Borderless),Gemstone Mine,Dominaria Remastered,455,DMR,Normal,Near Mint,English,Rare,465810,6859816,$0.99,$0.99
1,Windborn Muse (Borderless),Windborn Muse,Dominaria Remastered,415,DMR,Normal,Near Mint,English,Rare,457976,6813156,$0.93,$0.93
1,Nightscape Familiar,Nightscape Familiar,Dominaria Remastered,94,DMR,Foil,Near Mint,English,Common,457510,6805731,$0.82,$0.82
1,Street Wraith (Retro Frame),Street Wraith,Dominaria Remastered,311,DMR,Foil,Near Mint,English,Common,462048,6837431,$0.78,$0.78
1,Snap,Snap,Dominaria Remastered,66,DMR,Foil,Near Mint,English,Common,458224,6815576,$0.68,$0.68
1,Absorb (Borderless),Absorb,Dominaria Remastered,443,DMR,Foil,Near Mint,English,Rare,458026,6814061,$0.67,$0.67
1,Mesa Enchantress,Mesa Enchantress,Dominaria Remastered,14,DMR,Foil,Near Mint,English,Uncommon,457159,6792811,$0.64,$0.64
1,Sulfuric Vortex (Retro Frame),Sulfuric Vortex,Dominaria Remastered,332,DMR,Foil,Near Mint,English,Rare,466172,6862026,$0.62,$0.62
1,Chain Lightning (Retro Frame),Chain Lightning,Dominaria Remastered,316,DMR,Foil,Near Mint,English,Common,464879,6854361,$0.61,$0.61
1,Impulse (Retro Frame),Impulse,Dominaria Remastered,287,DMR,Foil,Near Mint,English,Common,458955,6819866,$0.61,$0.61
1,"Chainer, Dementia Master (Borderless)","Chainer, Dementia Master",Dominaria Remastered,424,DMR,Foil,Near Mint,English,Rare,457265,6800249,$0.55,$0.55
1,High Tide,High Tide,Dominaria Remastered,54,DMR,Foil,Near Mint,English,Uncommon,457180,6794391,$0.54,$0.54
1,Chainer's Edict (Retro Frame),Chainer's Edict,Dominaria Remastered,300,DMR,Normal,Near Mint,English,Uncommon,457234,6798064,$0.53,$0.53
1,Serra Avatar,Serra Avatar,Dominaria Remastered,26,DMR,Foil,Near Mint,English,Mythic,457097,6788220,$0.50,$0.50
1,Dread Return (Retro Frame),Dread Return,Dominaria Remastered,302,DMR,Normal,Near Mint,English,Uncommon,461620,6834386,$0.50,$0.50
1,Damping Sphere,Damping Sphere,Dominaria Remastered,219,DMR,Foil,Near Mint,English,Uncommon,461925,6836296,$0.49,$0.49
1,Overmaster (Retro Frame),Overmaster,Dominaria Remastered,327,DMR,Normal,Near Mint,English,Rare,457197,6795696,$0.47,$0.47
1,Skirk Prospector,Skirk Prospector,Dominaria Remastered,137,DMR,Foil,Near Mint,English,Common,462963,6843206,$0.43,$0.43
1,Helm of Awakening (Borderless),Helm of Awakening,Dominaria Remastered,448,DMR,Normal,Near Mint,English,Rare,467238,6868447,$0.42,$0.42
1,Windborn Muse,Windborn Muse,Dominaria Remastered,36,DMR,Foil,Near Mint,English,Rare,457646,6809336,$0.39,$0.39
1,"Jolrael, Mwonvuli Recluse (Retro Frame)","Jolrael, Mwonvuli Recluse",Dominaria Remastered,343,DMR,Foil,Near Mint,English,Rare,462607,6840826,$0.32,$0.32
