Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Crop Rotation,Crop Rotation,Dominaria Remastered,154,DMR,Normal,Near Mint,English,Uncommon,457142,6791536,$0.89,$0.89
1,Deep Reconnaissance,Deep Reconnaissance,Odyssey,236,ODY,Normal,Near Mint,English,Uncommon,9511,22313,$0.23,$0.23
1,Far Wanderings,Far Wanderings,Torment,125,TOR,Normal,Near Mint,English,Common,9766,22544,$0.26,$0.26
1,Sunscorched Desert,Sunscorched Desert,Amonkhet,249,AKH,Normal,Near Mint,English,Common,130062,3327600,$0.20,$0.20
1,Zhalfirin Void,Zhalfirin Void,Commander: Adventures in the Forgotten Realms,273,AFC,Normal,Near Mint,English,Uncommon,243953,5101339,$0.32,$0.32
1,Tramway Station,Tramway Station,Streets of New Capenna,258,SNC,Normal,Near Mint,English,Common,268322,5486943,$0.08,$0.08
2,Skybridge Towers,Skybridge Towers,Streets of New Capenna,256,SNC,Normal,Near Mint,English,Common,268321,5486833,$0.08,$0.04
1,Waterfront District (Showcase),Waterfront District,Streets of New Capenna,357,SNC,Normal,Near Mint,English,Common,268392,5489794,$0.05,$0.05
1,Brokers Hideout,Brokers Hideout,Streets of New Capenna,248,SNC,Normal,Near Mint,English,Common,269107,5526703,$0.26,$0.26
1,Obscura Storefront,Obscura Storefront,Streets of New Capenna,252,SNC,Normal,Near Mint,English,Common,268759,5506734,$0.47,$0.47
1,Maestros Theater,Maestros Theater,Streets of New Capenna,251,SNC,Normal,Near Mint,English,Common,268443,5494164,$0.29,$0.29
1,Izzet Guildgate,Izzet Guildgate,Commander 2019,253,C19,Normal,Near Mint,English,Common,196572,4155748,$0.15,$0.15
1,Dimir Guildgate (246),Dimir Guildgate,Guilds of Ravnica,246,GRN,Normal,Near Mint,English,Common,176406,3847612,$0.08,$0.08
1,Exotic Pets,Exotic Pets,Streets of New Capenna,185,SNC,Normal,Near Mint,English,Uncommon,268511,5504029,$0.03,$0.03
2,Metropolis Angel,Metropolis Angel,Streets of New Capenna,203,SNC,Normal,Near Mint,English,Uncommon,268800,5510077,$0.06,$0.03
1,Celestial Regulator,Celestial Regulator,Streets of New Capenna,174,SNC,Normal,Near Mint,English,Common,268798,5509962,$0.02,$0.02
1,Contradict,Contradict,Dragons of Tarkir,49,DTK,Normal,Near Mint,English,Common,96636,2743099,$0.08,$0.08
1,Geistlight Snare,Geistlight Snare,Innistrad: Crimson Vow,60,VOW,Normal,Near Mint,English,Uncommon,252944,5254294,$0.17,$0.17
1,Lose Focus,Lose Focus,Modern Horizons 2,49,MH2,Normal,Near Mint,English,Common,240145,4984072,$0.07,$0.07
1,An Offer You Can't Refuse,An Offer You Can't Refuse,Streets of New Capenna,51,SNC,Normal,Near Mint,English,Uncommon,268317,5486393,$3.26,$3.26
1,Hurkyl's Recall,Hurkyl's Recall,Revised Edition,60,3ED,Normal,Near Mint,English,Rare,1448,15587,$2.38,$2.38
1,Chrome Courier,Chrome Courier,Modern Horizons 2,190,MH2,Normal,Near Mint,English,Common,240407,5001891,$0.03,$0.03
1,"Queza, Augur of Agonies (Showcase)","Queza, Augur of Agonies",Streets of New Capenna,326,SNC,Normal,Near Mint,English,Uncommon,268825,5511747,$0.06,$0.06
1,Hadana's Climb,Hadana's Climb,Rivals of Ixalan,158,RIX,Normal,Near Mint,English,Rare,155738,3569474,$2.05,$2.05
1,Aether Tradewinds,Aether Tradewinds,Kaladesh,38,KLD,Normal,Near Mint,English,Common,122640,3200219,$0.03,$0.03
1,Counterspell,Counterspell,Eternal Masters,43,EMA,Normal,Near Mint,English,Common,118445,3144772,$0.81,$0.81
2,Syphon Essence,Syphon Essence,Innistrad: Crimson Vow,84,VOW,Normal,Near Mint,English,Common,253734,5285953,$0.02,$0.01
1,Charmed Sleep,Charmed Sleep,Adventures in the Forgotten Realms,50,AFR,Normal,Near Mint,English,Common,243037,5046423,$0.01,$0.01
1,Blue Elemental Blast,Blue Elemental Blast,Revised Edition,49,3ED,Normal,Near Mint,English,Common,1349,15490,$0.42,$0.42
1,River Merfolk,River Merfolk,Fallen Empires,24,FEM,Normal,Near Mint,English,Rare,3739,17707,$0.69,$0.69
2,Honored Heirloom,Honored Heirloom,Innistrad: Crimson Vow,257,VOW,Normal,Near Mint,English,Common,253464,5271029,$0.14,$0.07
1,Ornithopter of Paradise,Ornithopter of Paradise,Modern Horizons 2,232,MH2,Normal,Near Mint,English,Common,240340,4998680,$0.46,$0.46
1,Bontu's Monument,Bontu's Monument,Amonkhet,225,AKH,Normal,Near Mint,English,Uncommon,129741,3325662,$5.44,$5.44
2,Ornithopter,Ornithopter,Magic 2011 (M11),211,M11,Normal,Near Mint,English,Uncommon,35625,391323,$0.26,$0.13
1,Dreamstone Hedron,Dreamstone Hedron,Rise of the Eldrazi,216,ROE,Normal,Near Mint,English,Uncommon,34910,385413,$0.23,$0.23
1,Golgari Keyrune,Golgari Keyrune,Return to Ravnica,229,RTR,Normal,Near Mint,English,Uncommon,66567,1043951,$0.11,$0.11
1,Boros Cluestone,Boros Cluestone,Dragon's Maze,137,DGM,Normal,Near Mint,English,Common,67922,1076781,$0.08,$0.08
1,Jeskai Banner,Jeskai Banner,Khans of Tarkir,222,KTK,Normal,Near Mint,English,Common,93018,1255570,$0.09,$0.09
1,Obelisk of Naya,Obelisk of Naya,Shards of Alara,216,ALA,Normal,Near Mint,English,Common,27749,251597,$0.20,$0.20
1,Tormod's Crypt,Tormod's Crypt,The Dark,112,DRK,Normal,Near Mint,English,Uncommon,3583,17621,$8.17,$8.17
