Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
5,Acolyte of Aclazotz,Acolyte of Aclazotz,The Lost Caverns of Ixalan,89,LCI,Normal,Near Mint,English,Common,526309,7549042,$0.20,$0.04
1,Aeronaut Cavalry,Aeronaut Cavalry,The Brothers' War,1,BRO,Normal,Near Mint,English,Common,453027,6712575,$0.02,$0.02
1,Armored Kincaller,Armored Kincaller,The Lost Caverns of Ixalan,174,LCI,Normal,Near Mint,English,Common,526338,7550222,$0.02,$0.02
1,"Breeches, Eager Pillager","Breeches, Eager Pillager",The Lost Caverns of Ixalan,137,LCI,Normal,Near Mint,English,Rare,517521,7439968,$0.55,$0.55
4,Broodrage Mycoid,Broodrage Mycoid,The Lost Caverns of Ixalan,95,LCI,Normal,Near Mint,English,Common,524287,7505513,$0.08,$0.02
1,Caparocti Sunborn,Caparocti Sunborn,The Lost Caverns of Ixalan,226,LCI,Normal,Near Mint,English,Uncommon,525341,7524752,$0.05,$0.05
1,Captivating Cave,Captivating Cave,The Lost Caverns of Ixalan,268,LCI,Normal,Near Mint,English,Land,526353,7551282,$0.09,$0.09
1,Cavern Stomper,Cavern Stomper,The Lost Caverns of Ixalan,177,LCI,Normal,Near Mint,English,Common,526291,7547812,$0.02,$0.02
1,Cavernous Maw,Cavernous Maw,The Lost Caverns of Ixalan,270,LCI,Normal,Near Mint,English,Uncommon,524200,7500794,$0.04,$0.04
3,Chupacabra Echo,Chupacabra Echo,The Lost Caverns of Ixalan,97,LCI,Normal,Near Mint,English,Uncommon,525284,7523725,$0.15,$0.05
1,Clay-Fired Bricks,Clay-Fired Bricks,The Lost Caverns of Ixalan,6,LCI,Normal,Near Mint,English,Uncommon,525165,7518089,$0.08,$0.08
1,Colossadactyl,Colossadactyl,The Lost Caverns of Ixalan,180,LCI,Normal,Near Mint,English,Uncommon,525167,7518249,$0.06,$0.06
1,Contested Game Ball,Contested Game Ball,The Lost Caverns of Ixalan,251,LCI,Normal,Near Mint,English,Uncommon,525633,7529523,$0.03,$0.03
1,Curator of Sun's Creation,Curator of Sun's Creation,The Lost Caverns of Ixalan,141,LCI,Normal,Near Mint,English,Uncommon,525209,7519592,$0.05,$0.05
1,Dauntless Dismantler,Dauntless Dismantler,The Lost Caverns of Ixalan,8,LCI,Normal,Near Mint,English,Uncommon,525132,7516204,$0.31,$0.31
3,Deathcap Marionette,Deathcap Marionette,The Lost Caverns of Ixalan,100,LCI,Normal,Near Mint,English,Common,526314,7549442,$0.06,$0.02
3,Deep Goblin Skulltaker,Deep Goblin Skulltaker,The Lost Caverns of Ixalan,101,LCI,Normal,Near Mint,English,Common,526344,7550702,$0.03,$0.01
2,Deepfathom Echo,Deepfathom Echo,The Lost Caverns of Ixalan,228,LCI,Normal,Near Mint,English,Rare,525337,7524612,$0.38,$0.19
1,Desynchronize,Desynchronize,The Brothers' War,46,BRO,Normal,Near Mint,English,Common,453091,6714555,$0.02,$0.02
1,Disturbed Slumber,Disturbed Slumber,The Lost Caverns of Ixalan,182,LCI,Normal,Near Mint,English,Common,526333,7549822,$0.02,$0.02
1,Earthshaker Dreadmaw (Borderless),Earthshaker Dreadmaw,The Lost Caverns of Ixalan,325,LCI,Normal,Near Mint,English,Uncommon,525177,7519019,$0.11,$0.11
