Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Buried Treasure,Buried Treasure,The Lost Caverns of Ixalan,246,LCI,Foil,Near Mint,English,Common,526345,7550787,$0.06,$0.06
1,Roaming Throne,Roaming Throne,Promo Pack: The Lost Caverns of Ixalan,258p,PPLCI,Foil,Near Mint,English,Rare,526899,7570504,$23.03,$23.03
1,Buried Treasure,Buried Treasure,The Lost Caverns of Ixalan,246,LCI,Normal,Near Mint,English,Common,526345,7550782,$0.02,$0.02
2,Careening Mine Cart,Careening Mine Cart,The Lost Caverns of Ixalan,247,LCI,Normal,Near Mint,English,Uncommon,524362,7508432,$0.10,$0.05
3,Cartographer's Companion,Cartographer's Companion,The Lost Caverns of Ixalan,248,LCI,Normal,Near Mint,English,Common,526274,7546522,$0.09,$0.03
2,Contested Game Ball,Contested Game Ball,The Lost Caverns of Ixalan,251,LCI,Normal,Near Mint,English,Uncommon,525633,7529523,$0.06,$0.03
2,Disruptor Wanderglyph,Disruptor Wanderglyph,The Lost Caverns of Ixalan,253,LCI,Normal,Near Mint,English,Common,526354,7551362,$0.04,$0.02
1,Hunter's Blowgun,Hunter's Blowgun,The Lost Caverns of Ixalan,255,LCI,Normal,Near Mint,English,Common,526300,7548462,$0.04,$0.04
1,Oteclan Landmark,Oteclan Landmark,The Lost Caverns of Ixalan,29,LCI,Normal,Near Mint,English,Common,526417,7554877,$0.02,$0.02
3,Runaway Boulder,Runaway Boulder,The Lost Caverns of Ixalan,259,LCI,Normal,Near Mint,English,Common,526335,7549982,$0.12,$0.04
2,Sorcerous Spyglass,Sorcerous Spyglass,The Lost Caverns of Ixalan,261,LCI,Normal,Near Mint,English,Uncommon,525653,7529865,$0.08,$0.04
3,Swashbuckler's Whip,Swashbuckler's Whip,The Lost Caverns of Ixalan,263,LCI,Normal,Near Mint,English,Uncommon,526287,7547492,$0.24,$0.08
2,Compass Gnome,Compass Gnome,The Lost Caverns of Ixalan,250,LCI,Normal,Near Mint,English,Common,525082,7514628,$0.04,$0.02
2,Digsite Conservator,Digsite Conservator,The Lost Caverns of Ixalan,252,LCI,Normal,Near Mint,English,Uncommon,525038,7513926,$0.10,$0.05
1,Hoverstone Pilgrim,Hoverstone Pilgrim,The Lost Caverns of Ixalan,254,LCI,Normal,Near Mint,English,Uncommon,525353,7525038,$0.02,$0.02
2,Scampering Surveyor,Scampering Surveyor,The Lost Caverns of Ixalan,260,LCI,Normal,Near Mint,English,Uncommon,526278,7546772,$0.14,$0.07
1,"Abuelo, Ancestral Echo","Abuelo, Ancestral Echo",The Lost Caverns of Ixalan,219,LCI,Normal,Near Mint,English,Rare,524201,7500874,$0.17,$0.17
