Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,The One Ring (Borderless),The One Ring,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,451,LTR,Foil,Near Mint,English,Mythic,488270,7028897,$33.91,$33.91
1,"Aragorn, the Uniter (Showcase)","Aragorn, the Uniter",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,317,LTR,Foil,Near Mint,English,Mythic,498299,7163960,$7.68,$7.68
1,Assault on Osgiliath,Assault on Osgiliath,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,285,LTR,Foil,Near Mint,English,Rare,499344,7194829,$5.62,$5.62
1,Entish Restoration,Entish Restoration,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,163,LTR,Foil,Near Mint,English,Uncommon,499221,7190498,$3.18,$3.18
1,Stone of Erech,Stone of Erech,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,251,LTR,Foil,Near Mint,English,Uncommon,499401,7196377,$2.77,$2.77
1,There and Back Again,There and Back Again,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,151,LTR,Normal,Near Mint,English,Rare,498620,7182516,$1.92,$1.92
1,"Faramir, Steward of Gondor (Extended Art)","Faramir, Steward of Gondor",Commander: The Lord of the Rings: Tales of Middle-earth,137,LTC,Normal,Near Mint,English,Rare,500111,7219124,$1.73,$1.73
1,Elvish Mariner,Elvish Mariner,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,283,LTR,Normal,Near Mint,English,Rare,499340,7194624,$1.34,$1.34
1,"Sting, the Glinting Dagger (Borderless)","Sting, the Glinting Dagger",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,409,LTR,Normal,Near Mint,English,Rare,499879,7212763,$1.04,$1.04
1,The Battle of Bywater (Extended Art),The Battle of Bywater,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,346,LTR,Normal,Near Mint,English,Rare,499329,7193924,$0.97,$0.97
1,Doors of Durin (Extended Art),Doors of Durin,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,368,LTR,Normal,Near Mint,English,Rare,498488,7177610,$0.94,$0.94
1,Entish Restoration,Entish Restoration,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,163,LTR,Normal,Near Mint,English,Uncommon,499221,7190493,$0.91,$0.91
1,Stern Scolding,Stern Scolding,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,71,LTR,Normal,Near Mint,English,Uncommon,498684,7184288,$0.85,$0.85
1,Horn of the Mark,Horn of the Mark,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,241,LTR,Normal,Near Mint,English,Rare,499294,7192339,$0.57,$0.57
1,"Frodo, Sauron's Bane (Showcase Scrolls)","Frodo, Sauron's Bane",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,469,LTR,Foil,Near Mint,English,Rare,518145,7448231,$0.54,$0.54
1,Phial of Galadriel,Phial of Galadriel,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,248,LTR,Normal,Near Mint,English,Rare,499206,7189407,$0.44,$0.44
1,Stone of Erech,Stone of Erech,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,251,LTR,Normal,Near Mint,English,Uncommon,499401,7196372,$0.40,$0.40
1,Hew the Entwood,Hew the Entwood,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,136,LTR,Normal,Near Mint,English,Mythic,498337,7166765,$0.37,$0.37
1,Press the Enemy,Press the Enemy,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,65,LTR,Foil,Near Mint,English,Rare,498796,7185403,$0.32,$0.32
1,Generous Ent,Generous Ent,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,169,LTR,Normal,Near Mint,English,Common,498328,7166075,$0.26,$0.26
1,Fall of Cair Andros,Fall of Cair Andros,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,124,LTR,Normal,Near Mint,English,Rare,499454,7198275,$0.26,$0.26
1,Lobelia Sackville-Baggins,Lobelia Sackville-Baggins,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,93,LTR,Normal,Near Mint,English,Rare,498415,7172770,$0.25,$0.25
1,"The Balrog, Durin's Bane","The Balrog, Durin's Bane",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,195,LTR,Normal,Near Mint,English,Rare,499866,7211802,$0.23,$0.23
1,Lembas,Lembas,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,243,LTR,Normal,Near Mint,English,Common,499443,7197425,$0.22,$0.22
1,Samwise the Stouthearted (Borderless),Samwise the Stouthearted,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,449,LTR,Normal,Near Mint,English,Uncommon,488269,7028842,$0.21,$0.21
1,The Grey Havens,The Grey Havens,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,255,LTR,Normal,Near Mint,English,Uncommon,499452,7198115,$0.19,$0.19
1,Lost Isle Calling,Lost Isle Calling,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,61,LTR,Foil,Near Mint,English,Rare,499450,7197960,$0.19,$0.19
1,"Frodo, Sauron's Bane (Showcase)","Frodo, Sauron's Bane",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,304,LTR,Normal,Near Mint,English,Rare,488264,7028502,$0.18,$0.18
1,"Shadowfax, Lord of Horses","Shadowfax, Lord of Horses",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,227,LTR,Foil,Near Mint,English,Uncommon,498650,7183761,$0.15,$0.15
1,Many Partings,Many Partings,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,176,LTR,Foil,Near Mint,English,Common,498345,7167410,$0.14,$0.14
1,Celeborn the Wise,Celeborn the Wise,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,156,LTR,Foil,Near Mint,English,Uncommon,499367,7195342,$0.12,$0.12
1,Ioreth of the Healing House,Ioreth of the Healing House,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,56,LTR,Normal,Near Mint,English,Uncommon,498609,7181856,$0.11,$0.11
1,"Gollum, Patient Plotter","Gollum, Patient Plotter",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,84,LTR,Foil,Near Mint,English,Uncommon,488256,7027832,$0.11,$0.11
