Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Deepfathom Echo,Deepfathom Echo,Promo Pack: The Lost Caverns of Ixalan,228p,PPLCI,Normal,Near Mint,English,Rare,526861,7568274,$0.80,$0.80
1,"Captain Storm, Cosmium Raider","Captain Storm, Cosmium Raider",The Lost Caverns of Ixalan,227,LCI,Normal,Near Mint,English,Uncommon,525120,7515334,$0.07,$0.07
1,"Xavier Sal, Infested Captain","Xavier Sal, Infested Captain",Commander: The Lost Caverns of Ixalan,14,LCC,Normal,Near Mint,English,Rare,526410,7554542,$0.81,$0.81
4,"Itzquinth, Firstborn of Gishath","Itzquinth, Firstborn of Gishath",The Lost Caverns of Ixalan,230,LCI,Normal,Near Mint,English,Uncommon,526279,7546852,$0.18,$0.06
1,Squirming Emergence,Squirming Emergence,The Lost Caverns of Ixalan,241,LCI,Normal,Near Mint,English,Rare,525288,7524045,$0.42,$0.42
1,Yotian Dissident,Yotian Dissident,The Brothers' War,227,BRO,Normal,Near Mint,English,Uncommon,451937,6675617,$0.07,$0.07
1,Bladecoil Serpent,Bladecoil Serpent,The Brothers' War,229,BRO,Normal,Near Mint,English,Mythic,452701,6707511,$0.23,$0.23
1,Firewake Sliver,Firewake Sliver,Time Spiral: Remastered,252,TSR,Normal,Near Mint,English,Uncommon,234213,4820994,$0.17,$0.17
1,Cautery Sliver,Cautery Sliver,Time Spiral: Remastered,248,TSR,Normal,Near Mint,English,Uncommon,234206,4820614,$0.19,$0.19
1,"Dralnu, Lich Lord","Dralnu, Lich Lord",Time Spiral: Remastered,251,TSR,Normal,Near Mint,English,Rare,233784,4797062,$0.18,$0.18
1,"Ith, High Arcanist","Ith, High Arcanist",Time Spiral: Remastered,255,TSR,Normal,Near Mint,English,Rare,234273,4823299,$0.15,$0.15
1,"Kaya, Intangible Slayer (Borderless)","Kaya, Intangible Slayer",Phyrexia: All Will Be One,341,ONE,Normal,Near Mint,English,Rare,478333,6932113,$0.28,$0.28
1,Necrogen Rotpriest (Showcase),Necrogen Rotpriest,Phyrexia: All Will Be One,296,ONE,Normal,Near Mint,English,Uncommon,478704,6943141,$0.06,$0.06
