Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Incinerate,Incinerate,Fifth Edition,242,5ED,Normal,Near Mint,English,Common,2211,16329,$0.16,$0.16
1,Goblin Digging Team,Goblin Digging Team,Fifth Edition,234,5ED,Normal,Near Mint,English,Common,2179,16297,$0.24,$0.24
2,Rumbling Rockslide,Rumbling Rockslide,The Lost Caverns of Ixalan,163,LCI,Normal,Near Mint,English,Common,526342,7550542,$0.04,$0.02
1,Magmatic Galleon (Extended Art),Magmatic Galleon,The Lost Caverns of Ixalan,376,LCI,Normal,Near Mint,English,Rare,525175,7518889,$0.11,$0.11
1,Broadside Bombardiers,Broadside Bombardiers,Commander: The Lost Caverns of Ixalan,86,LCC,Normal,Near Mint,English,Rare,526203,7543807,$7.64,$7.64
1,Burning Sun Cavalry,Burning Sun Cavalry,The Lost Caverns of Ixalan,138,LCI,Normal,Near Mint,English,Common,526372,7552662,$0.02,$0.02
3,Tectonic Hazard,Tectonic Hazard,The Lost Caverns of Ixalan,169,LCI,Normal,Near Mint,English,Common,526294,7548052,$0.21,$0.07
2,Goblin Tomb Raider,Goblin Tomb Raider,The Lost Caverns of Ixalan,151,LCI,Normal,Near Mint,English,Common,526337,7550142,$0.30,$0.15
1,Calamitous Cave-In,Calamitous Cave-In,The Lost Caverns of Ixalan,139,LCI,Normal,Near Mint,English,Uncommon,525615,7528488,$0.02,$0.02
1,Saheeli's Lattice,Saheeli's Lattice,The Lost Caverns of Ixalan,164,LCI,Normal,Near Mint,English,Uncommon,525621,7528893,$0.02,$0.02
1,"Inti, Seneschal of the Sun (Showcase)","Inti, Seneschal of the Sun",The Lost Caverns of Ixalan,295,LCI,Normal,Near Mint,English,Rare,525218,7519997,$3.45,$3.45
1,Sunshot Militia,Sunshot Militia,The Lost Caverns of Ixalan,168,LCI,Normal,Near Mint,English,Common,526332,7549742,$0.05,$0.05
2,Rampaging Ceratops,Rampaging Ceratops,The Lost Caverns of Ixalan,162,LCI,Normal,Near Mint,English,Uncommon,525171,7518569,$0.06,$0.03
2,Dreadmaw's Ire,Dreadmaw's Ire,The Lost Caverns of Ixalan,147,LCI,Normal,Near Mint,English,Uncommon,525652,7529785,$0.16,$0.08
3,Brazen Blademaster,Brazen Blademaster,The Lost Caverns of Ixalan,136,LCI,Normal,Near Mint,English,Common,526348,7550952,$0.03,$0.01
1,Rampaging Ceratops (Borderless),Rampaging Ceratops,The Lost Caverns of Ixalan,322,LCI,Normal,Near Mint,English,Uncommon,525173,7518729,$0.03,$0.03
1,Pyrrhic Blast,Pyrrhic Blast,The Brothers' War,148,BRO,Normal,Near Mint,English,Uncommon,452186,6685563,$0.04,$0.04
1,"Mishra, Excavation Prodigy","Mishra, Excavation Prodigy",The Brothers' War,140,BRO,Normal,Near Mint,English,Uncommon,451445,6668316,$0.02,$0.02
2,Horned Stoneseeker,Horned Stoneseeker,The Brothers' War,138,BRO,Normal,Near Mint,English,Uncommon,452877,6710116,$0.10,$0.05
1,Tomakul Scrapsmith,Tomakul Scrapsmith,The Brothers' War,153,BRO,Normal,Near Mint,English,Common,453119,6716550,$0.01,$0.01
2,Dwarven Forge-Chanter,Dwarven Forge-Chanter,The Brothers' War,131,BRO,Normal,Near Mint,English,Common,453103,6715425,$0.08,$0.04
1,Excavation Explosion,Excavation Explosion,The Brothers' War,132,BRO,Normal,Near Mint,English,Common,453019,6711935,$0.02,$0.02
1,Fallaji Dragon Engine,Fallaji Dragon Engine,The Brothers' War,159,BRO,Normal,Near Mint,English,Uncommon,452295,6691043,$0.02,$0.02
1,Penregon Strongbull,Penregon Strongbull,The Brothers' War,147,BRO,Normal,Near Mint,English,Common,453111,6715965,$0.02,$0.02
1,Blitz Automaton,Blitz Automaton,The Brothers' War,158,BRO,Normal,Near Mint,English,Common,453230,6720110,$0.02,$0.02
1,Conscripted Infantry,Conscripted Infantry,The Brothers' War,129,BRO,Normal,Near Mint,English,Common,453087,6714300,$0.01,$0.01
1,Two-Headed Sliver,Two-Headed Sliver,Time Spiral: Remastered,197,TSR,Normal,Near Mint,English,Common,233932,4808226,$0.12,$0.12
1,Battering Sliver,Battering Sliver,Time Spiral: Remastered,154,TSR,Normal,Near Mint,English,Common,233931,4808126,$0.11,$0.11
1,Zealous Conscripts,Zealous Conscripts,Time Spiral: Remastered,354,TSR,Normal,Near Mint,English,Special,233954,4810426,$0.69,$0.69
1,Thick-Skinned Goblin,Thick-Skinned Goblin,Time Spiral: Remastered,196,TSR,Normal,Near Mint,English,Uncommon,233940,4809026,$0.04,$0.04
1,Orcish Cannonade,Orcish Cannonade,Time Spiral: Remastered,178,TSR,Normal,Near Mint,English,Common,234008,4813859,$0.01,$0.01
1,Needlepeak Spider,Needlepeak Spider,Time Spiral: Remastered,177,TSR,Normal,Near Mint,English,Common,234333,4827494,$0.03,$0.03
