Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Arcbound Mouser,Arcbound Mouser,The List Reprints,1241,LIST,Normal,Near Mint,English,Common,513156,7380241,$0.18,$0.18
1,Death Speakers,Death Speakers,Fifth Edition,24,5ED,Normal,Near Mint,English,Common,2100,16221,$0.17,$0.17
1,Circle of Protection: Black,Circle of Protection: Black,Fifth Edition,17,5ED,Normal,Near Mint,English,Common,2072,16193,$0.00,$0.00
1,White Knight,White Knight,Fifth Edition,68,5ED,Normal,Near Mint,English,Uncommon,2444,16550,$0.16,$0.16
2,Acrobatic Leap,Acrobatic Leap,The Lost Caverns of Ixalan,2,LCI,Normal,Near Mint,English,Common,526360,7551772,$0.12,$0.06
1,Adaptive Gemguard,Adaptive Gemguard,The Lost Caverns of Ixalan,3,LCI,Normal,Near Mint,English,Common,526340,7550382,$0.02,$0.02
1,Fabrication Foundry,Fabrication Foundry,The Lost Caverns of Ixalan,12,LCI,Normal,Near Mint,English,Rare,525363,7525613,$0.19,$0.19
2,Soaring Sandwing,Soaring Sandwing,The Lost Caverns of Ixalan,35,LCI,Normal,Near Mint,English,Common,526336,7550062,$0.06,$0.03
1,Ironpaw Aspirant,Ironpaw Aspirant,The Lost Caverns of Ixalan,18,LCI,Normal,Near Mint,English,Common,526310,7549122,$0.01,$0.01
3,Miner's Guidewing,Miner's Guidewing,The Lost Caverns of Ixalan,24,LCI,Normal,Near Mint,English,Common,524282,7505113,$0.06,$0.02
1,Glorifier of Suffering,Glorifier of Suffering,The Lost Caverns of Ixalan,15,LCI,Normal,Near Mint,English,Common,526371,7552582,$0.03,$0.03
1,Bronzebeak Foragers (Extended Art),Bronzebeak Foragers,Commander: The Lost Caverns of Ixalan,37,LCC,Normal,Near Mint,English,Rare,526234,7544457,$1.32,$1.32
1,Quicksand Whirlpool,Quicksand Whirlpool,The Lost Caverns of Ixalan,31,LCI,Normal,Near Mint,English,Common,526352,7551202,$0.04,$0.04
2,Mischievous Pup,Mischievous Pup,The Lost Caverns of Ixalan,25,LCI,Normal,Near Mint,English,Uncommon,524361,7508352,$0.04,$0.02
1,Spring-Loaded Sawblades,Spring-Loaded Sawblades,The Lost Caverns of Ixalan,36,LCI,Normal,Near Mint,English,Uncommon,524229,7502466,$0.07,$0.07
2,Oltec Archaeologists,Oltec Archaeologists,The Lost Caverns of Ixalan,27,LCI,Normal,Near Mint,English,Common,526293,7547972,$0.02,$0.01
3,Oltec Cloud Guard,Oltec Cloud Guard,The Lost Caverns of Ixalan,28,LCI,Normal,Near Mint,English,Common,524336,7507162,$0.03,$0.01
2,Deconstruction Hammer,Deconstruction Hammer,The Lost Caverns of Ixalan,9,LCI,Normal,Near Mint,English,Common,526341,7550462,$0.04,$0.02
1,Thousand Moons Smithy,Thousand Moons Smithy,The Lost Caverns of Ixalan,39,LCI,Normal,Near Mint,English,Rare,525625,7529213,$1.13,$1.13
2,Family Reunion,Family Reunion,The Lost Caverns of Ixalan,13,LCI,Normal,Near Mint,English,Common,526362,7551932,$0.10,$0.05
1,Market Gnome,Market Gnome,The Lost Caverns of Ixalan,22,LCI,Normal,Near Mint,English,Uncommon,525166,7518169,$0.07,$0.07
1,Phalanx Vanguard,Phalanx Vanguard,The Brothers' War,19,BRO,Normal,Near Mint,English,Common,453029,6712735,$0.01,$0.01
2,Veteran's Powerblade,Veteran's Powerblade,The Brothers' War,41,BRO,Normal,Near Mint,English,Common,453032,6712975,$0.04,$0.02
1,Military Discipline,Military Discipline,The Brothers' War,17,BRO,Normal,Near Mint,English,Common,453076,6713485,$0.01,$0.01
2,Recommission,Recommission,The Brothers' War,22,BRO,Normal,Near Mint,English,Common,453030,6712815,$0.42,$0.21
1,Yotian Frontliner,Yotian Frontliner,The Brothers' War,42,BRO,Normal,Near Mint,English,Uncommon,452385,6694365,$0.11,$0.11
1,Prison Sentence,Prison Sentence,The Brothers' War,21,BRO,Normal,Near Mint,English,Common,453077,6713565,$0.05,$0.05
2,Soul Partition,Soul Partition,The Brothers' War,26,BRO,Normal,Near Mint,English,Rare,451920,6674497,$1.02,$0.51
1,Meticulous Excavation,Meticulous Excavation,The Brothers' War,16,BRO,Normal,Near Mint,English,Uncommon,453075,6713405,$0.06,$0.06
