Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
2,Extravagant Replication,Extravagant Replication,Commander: Streets of New Capenna,25,NCC,Normal,Near Mint,English,Rare,269242,5534118,$8.36,$4.18
1,Battlefield Forge (Borderless),Battlefield Forge,The Brothers' War,297,BRO,Normal,Near Mint,English,Rare,451915,6674097,$3.68,$3.68
3,Shadow Rift,Shadow Rift,Tempest,86,TMP,Normal,Near Mint,English,Common,5722,19221,$10.56,$3.52
1,Insidious Roots (Showcase),Insidious Roots,Murders at Karlov Manor,313,MKM,Foil,Near Mint,English,Uncommon,535309,7703467,$3.24,$3.24
1,Bitter Triumph,Bitter Triumph,The Lost Caverns of Ixalan,91,LCI,Foil,Near Mint,English,Uncommon,526195,7543442,$3.17,$3.17
1,Raucous Theater,Raucous Theater,Murders at Karlov Manor,266,MKM,Normal,Near Mint,English,Rare,532911,7667239,$3.14,$3.14
1,Case of the Stashed Skeleton,Case of the Stashed Skeleton,Murders at Karlov Manor,80,MKM,Normal,Near Mint,English,Rare,533408,7679888,$2.97,$2.97
1,Thran Power Suit,Thran Power Suit,The Brothers' War,253,BRO,Foil,Near Mint,English,Uncommon,452246,6688418,$2.58,$2.58
1,Assassin's Trophy,Assassin's Trophy,Murders at Karlov Manor,187,MKM,Foil,Near Mint,English,Rare,532888,7665483,$2.11,$2.11
3,Exsanguinate,Exsanguinate,Scars of Mirrodin,61,SOM,Normal,Near Mint,English,Uncommon,36342,394277,$6.18,$2.06
1,Shadowy Backstreet,Shadowy Backstreet,Murders at Karlov Manor,268,MKM,Normal,Near Mint,English,Rare,532897,7666198,$1.88,$1.88
1,Wave Goodbye (Extended Art),Wave Goodbye,Commander: The Lost Caverns of Ixalan,47,LCC,Normal,Near Mint,English,Rare,526254,7545452,$1.81,$1.81
1,"Kutzil, Malamet Exemplar","Kutzil, Malamet Exemplar",The Lost Caverns of Ixalan,232,LCI,Foil,Near Mint,English,Uncommon,525618,7528658,$1.52,$1.52
1,Molten Collapse (Borderless),Molten Collapse,The Lost Caverns of Ixalan,342,LCI,Foil,Near Mint,English,Rare,525261,7521930,$1.47,$1.47
1,No More Lies,No More Lies,Murders at Karlov Manor,221,MKM,Normal,Near Mint,English,Uncommon,532893,7665878,$1.28,$1.28
1,The Seedcore (Extended Art),The Seedcore,Phyrexia: All Will Be One,403,ONE,Normal,Near Mint,English,Rare,478631,6941479,$1.27,$1.27
1,"Matzalantli, the Great Door","Matzalantli, the Great Door",The Lost Caverns of Ixalan,256,LCI,Foil,Near Mint,English,Rare,524378,7508842,$1.23,$1.23
1,Amalia Benavides Aguirre (Showcase),Amalia Benavides Aguirre,The Lost Caverns of Ixalan,299,LCI,Normal,Near Mint,English,Rare,525129,7515994,$0.99,$0.99
2,Fugitive Codebreaker,Fugitive Codebreaker,Murders at Karlov Manor,127,MKM,Normal,Near Mint,English,Rare,533887,7684000,$1.90,$0.95
1,"Migloz, Maze Crusher (Showcase) (Step-and-Compleat Foil)","Migloz, Maze Crusher",Phyrexia: All Will Be One,470,ONE,Foil,Near Mint,English,Rare,479632,6966324,$0.87,$0.87
1,Dig Up,Dig Up,Innistrad: Crimson Vow,197,VOW,Normal,Near Mint,English,Rare,252858,5250801,$0.71,$0.71
4,Thought Vessel,Thought Vessel,Universes Beyond: Doctor Who,255,WHO,Normal,Near Mint,English,Uncommon,519283,7459573,$2.72,$0.68
1,Vivisurgeon's Insight,Vivisurgeon's Insight,Phyrexia: All Will Be One,77,ONE,Foil,Near Mint,English,Common,479591,6963374,$0.65,$0.65
1,"Kellan, Inquisitive Prodigy","Kellan, Inquisitive Prodigy",Murders at Karlov Manor,212,MKM,Normal,Near Mint,English,Rare,532925,7668289,$0.62,$0.62
1,Mechanized Warfare,Mechanized Warfare,The Brothers' War,139,BRO,Foil,Near Mint,English,Rare,452642,6706396,$0.62,$0.62
1,Pick Your Poison,Pick Your Poison,Murders at Karlov Manor,170,MKM,Foil,Near Mint,English,Common,533900,7684808,$0.61,$0.61
1,Gravestone Strider,Gravestone Strider,Murders at Karlov Manor,252,MKM,Normal,Near Mint,English,Common,535512,7707122,$0.59,$0.59
1,Goblin Warchief,Goblin Warchief,The List Reprints,DOM-130,LIST,Normal,Near Mint,English,Uncommon,204574,4275400,$0.58,$0.58
1,Cryptic Gateway (Retro Frame),Cryptic Gateway,Dominaria Remastered,376,DMR,Normal,Near Mint,English,Rare,466171,6861941,$0.55,$0.55
1,Officious Interrogation,Officious Interrogation,Murders at Karlov Manor,222,MKM,Normal,Near Mint,English,Rare,534486,7694191,$0.50,$0.50
2,Drag the Canal,Drag the Canal,Murders at Karlov Manor,199,MKM,Normal,Near Mint,English,Rare,533906,7685046,$0.88,$0.44
1,No Witnesses,No Witnesses,Murders at Karlov Manor,27,MKM,Normal,Near Mint,English,Rare,533141,7674787,$0.44,$0.44
1,"Kutzil, Malamet Exemplar (Showcase)","Kutzil, Malamet Exemplar",The Lost Caverns of Ixalan,304,LCI,Foil,Near Mint,English,Uncommon,525624,7529138,$0.44,$0.44
1,"Blaster, Combat DJ","Blaster, Combat DJ",Universes Beyond: Transformers,8,BOT,Normal,Near Mint,English,Mythic,448825,6646958,$0.40,$0.40
3,Magnifying Glass,Magnifying Glass,Murders at Karlov Manor,255,MKM,Normal,Near Mint,English,Common,529997,7592657,$1.20,$0.40
1,Axebane Ferox,Axebane Ferox,Murders at Karlov Manor,153,MKM,Normal,Near Mint,English,Rare,532931,7668699,$0.35,$0.35
1,Inside Source,Inside Source,Murders at Karlov Manor,19,MKM,Normal,Near Mint,English,Common,535533,7708517,$0.33,$0.33
1,Fanatical Strength,Fanatical Strength,Murders at Karlov Manor,159,MKM,Normal,Near Mint,English,Common,530003,7593137,$0.32,$0.32
1,Siege-Gang Commander (Borderless),Siege-Gang Commander,Dominaria Remastered,436,DMR,Foil,Near Mint,English,Rare,466836,6865967,$0.32,$0.32
