Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Tyrant's Scorn,Tyrant's Scorn,Outlaws of Thunder Junction: Breaking News,56,OTP,Normal,Near Mint,English,Uncommon,544852,7845045,$0.03,$0.03
1,"Marchesa, Dealer of Death","Marchesa, Dealer of Death",Outlaws of Thunder Junction,220,OTJ,Normal,Near Mint,English,Rare,544332,7822948,$0.27,$0.27
1,Ruthless Lawbringer,Ruthless Lawbringer,Outlaws of Thunder Junction,229,OTJ,Normal,Near Mint,English,Uncommon,544212,7815655,$0.13,$0.13
2,Thornado,Thornado,Outlaws of Thunder Junction: Breaking News,33,OTP,Normal,Near Mint,English,Uncommon,544878,7846675,$0.06,$0.03
3,Betrayal at the Vault,Betrayal at the Vault,Outlaws of Thunder Junction,155,OTJ,Normal,Near Mint,English,Uncommon,544604,7834754,$0.06,$0.02
2,Gold Rush,Gold Rush,Outlaws of Thunder Junction,166,OTJ,Normal,Near Mint,English,Uncommon,544465,7830924,$0.12,$0.06
1,Cactarantula,Cactarantula,Outlaws of Thunder Junction,158,OTJ,Normal,Near Mint,English,Common,544213,7815735,$0.05,$0.05
3,Giant Beaver,Giant Beaver,Outlaws of Thunder Junction,165,OTJ,Normal,Near Mint,English,Common,544628,7835140,$0.12,$0.04
1,Irascible Wolverine,Irascible Wolverine,Outlaws of Thunder Junction,130,OTJ,Normal,Near Mint,English,Common,544509,7833734,$0.03,$0.03
1,Quick Draw,Quick Draw,Outlaws of Thunder Junction,138,OTJ,Normal,Near Mint,English,Common,544698,7840432,$0.03,$0.03
1,Iron-Fist Pulverizer,Iron-Fist Pulverizer,Outlaws of Thunder Junction,131,OTJ,Normal,Near Mint,English,Common,544643,7836310,$0.03,$0.03
2,"Ertha Jo, Frontier Mentor","Ertha Jo, Frontier Mentor",Outlaws of Thunder Junction,203,OTJ,Normal,Near Mint,English,Uncommon,544335,7823188,$0.20,$0.10
1,"Magda, the Hoardmaster","Magda, the Hoardmaster",Outlaws of Thunder Junction,133,OTJ,Normal,Near Mint,English,Rare,544268,7819402,$0.72,$0.72
1,Hellspur Brute,Hellspur Brute,Outlaws of Thunder Junction,127,OTJ,Normal,Near Mint,English,Uncommon,544467,7831084,$0.05,$0.05
1,Fling,Fling,Outlaws of Thunder Junction: Breaking News,24,OTP,Normal,Near Mint,English,Uncommon,544856,7845365,$0.04,$0.04
1,Outlaws' Fury,Outlaws' Fury,Outlaws of Thunder Junction,136,OTJ,Normal,Near Mint,English,Common,544464,7830844,$0.02,$0.02
2,Mine Raider,Mine Raider,Outlaws of Thunder Junction,135,OTJ,Normal,Near Mint,English,Common,544401,7826722,$0.04,$0.02
1,Highway Robbery,Highway Robbery,Outlaws of Thunder Junction,129,OTJ,Normal,Near Mint,English,Common,544664,7837960,$0.04,$0.04
2,Rodeo Pyromancers,Rodeo Pyromancers,Outlaws of Thunder Junction,143,OTJ,Normal,Near Mint,English,Common,544450,7829724,$0.10,$0.05
1,Daring Thunder-Thief,Daring Thunder-Thief,Outlaws of Thunder Junction,41,OTJ,Normal,Near Mint,English,Common,544658,7837480,$0.01,$0.01
1,Djinn of Fool's Fall,Djinn of Fool's Fall,Outlaws of Thunder Junction,43,OTJ,Normal,Near Mint,English,Common,544493,7832894,$0.01,$0.01
1,Failed Fording,Failed Fording,Outlaws of Thunder Junction,47,OTJ,Normal,Near Mint,English,Common,544499,7833189,$0.03,$0.03
1,Harrier Strix,Harrier Strix,Outlaws of Thunder Junction,52,OTJ,Normal,Near Mint,English,Common,544705,7840932,$0.03,$0.03
1,Patient Naturalist,Patient Naturalist,Outlaws of Thunder Junction,174,OTJ,Normal,Near Mint,English,Common,544416,7827922,$0.03,$0.03
1,Sterling Hound,Sterling Hound,Outlaws of Thunder Junction,249,OTJ,Normal,Near Mint,English,Common,544681,7839241,$0.02,$0.02
2,Lassoed by the Law,Lassoed by the Law,Outlaws of Thunder Junction,18,OTJ,Normal,Near Mint,English,Uncommon,544368,7825134,$0.06,$0.03
2,Bovine Intervention,Bovine Intervention,Outlaws of Thunder Junction,6,OTJ,Normal,Near Mint,English,Uncommon,544344,7823728,$0.24,$0.12
1,Bounding Felidar,Bounding Felidar,Outlaws of Thunder Junction,5,OTJ,Normal,Near Mint,English,Uncommon,544710,7841272,$0.03,$0.03
1,Wanted Griffin,Wanted Griffin,Outlaws of Thunder Junction,38,OTJ,Normal,Near Mint,English,Common,544474,7831644,$0.02,$0.02
2,Bridled Bighorn,Bridled Bighorn,Outlaws of Thunder Junction,7,OTJ,Normal,Near Mint,English,Common,544470,7831324,$0.06,$0.03
1,Holy Cow,Holy Cow,Outlaws of Thunder Junction,16,OTJ,Normal,Near Mint,English,Common,544270,7819562,$0.03,$0.03
1,Steer Clear,Steer Clear,Outlaws of Thunder Junction,31,OTJ,Normal,Near Mint,English,Common,544423,7828482,$0.01,$0.01
1,Armored Armadillo,Armored Armadillo,Outlaws of Thunder Junction,3,OTJ,Normal,Near Mint,English,Common,544219,7816140,$0.02,$0.02
1,Consuming Ashes,Consuming Ashes,Outlaws of Thunder Junction,83,OTJ,Normal,Near Mint,English,Common,544637,7835860,$0.02,$0.02
1,Ambush Gigapede,Ambush Gigapede,Outlaws of Thunder Junction,77,OTJ,Normal,Near Mint,English,Common,544689,7839742,$0.03,$0.03
2,Shackle Slinger,Shackle Slinger,Outlaws of Thunder Junction,65,OTJ,Normal,Near Mint,English,Uncommon,544490,7832734,$0.04,$0.02
1,Legion Extruder,Legion Extruder,Outlaws of Thunder Junction: The Big Score,12,BIG,Normal,Near Mint,English,Mythic,544937,7848581,$1.88,$1.88
1,Blooming Marsh,Blooming Marsh,Outlaws of Thunder Junction,266,OTJ,Normal,Near Mint,English,Rare,544282,7820297,$1.26,$1.26
1,Baron Bertram Graywater,Baron Bertram Graywater,Outlaws of Thunder Junction,195,OTJ,Normal,Near Mint,English,Uncommon,544455,7830124,$0.10,$0.10
2,Mirage Mesa,Mirage Mesa,Outlaws of Thunder Junction,262,OTJ,Normal,Near Mint,English,Common,544641,7836150,$0.18,$0.09
2,Geyser Drake,Geyser Drake,Outlaws of Thunder Junction,51,OTJ,Normal,Near Mint,English,Common,544650,7836870,$0.06,$0.03
1,Boneyard Desecrator,Boneyard Desecrator,Outlaws of Thunder Junction,81,OTJ,Normal,Near Mint,English,Common,544471,7831404,$0.04,$0.04
2,Dance of the Tumbleweeds,Dance of the Tumbleweeds,Outlaws of Thunder Junction,160,OTJ,Normal,Near Mint,English,Common,544461,7830604,$0.16,$0.08
1,Rakish Crew,Rakish Crew,Outlaws of Thunder Junction,99,OTJ,Normal,Near Mint,English,Uncommon,544204,7815015,$0.04,$0.04
1,Corrupted Conviction,Corrupted Conviction,Outlaws of Thunder Junction,84,OTJ,Normal,Near Mint,English,Common,544718,7841882,$0.07,$0.07
1,Vengeful Townsfolk,Vengeful Townsfolk,Outlaws of Thunder Junction,37,OTJ,Normal,Near Mint,English,Common,544427,7828802,$0.02,$0.02
1,Inventive Wingsmith,Inventive Wingsmith,Outlaws of Thunder Junction,17,OTJ,Normal,Near Mint,English,Common,544449,7829644,$0.01,$0.01
3,Desert's Due,Desert's Due,Outlaws of Thunder Junction,85,OTJ,Normal,Near Mint,English,Common,544652,7837030,$0.06,$0.02
1,Skulduggery,Skulduggery,Outlaws of Thunder Junction,107,OTJ,Normal,Near Mint,English,Common,544716,7841722,$0.02,$0.02
1,Metamorphic Blast,Metamorphic Blast,Outlaws of Thunder Junction,57,OTJ,Normal,Near Mint,English,Uncommon,544665,7838040,$0.05,$0.05
1,Discerning Peddler,Discerning Peddler,Outlaws of Thunder Junction,121,OTJ,Normal,Near Mint,English,Common,544421,7828322,$0.04,$0.04
3,Unfortunate Accident,Unfortunate Accident,Outlaws of Thunder Junction,111,OTJ,Normal,Near Mint,English,Uncommon,544210,7815495,$0.06,$0.02
1,Stop Cold,Stop Cold,Outlaws of Thunder Junction,72,OTJ,Normal,Near Mint,English,Common,544700,7840562,$0.05,$0.05
1,Fake Your Own Death,Fake Your Own Death,Outlaws of Thunder Junction,87,OTJ,Normal,Near Mint,English,Common,544505,7833444,$0.07,$0.07
1,Redrock Sentinel,Redrock Sentinel,Outlaws of Thunder Junction,247,OTJ,Normal,Near Mint,English,Uncommon,544517,7834344,$0.04,$0.04
1,Take the Fall,Take the Fall,Outlaws of Thunder Junction,73,OTJ,Normal,Near Mint,English,Common,544676,7838920,$0.04,$0.04
3,Jailbreak Scheme,Jailbreak Scheme,Outlaws of Thunder Junction,53,OTJ,Normal,Near Mint,English,Common,544647,7836630,$0.06,$0.02
1,Heartless Pillage,Heartless Pillage,Outlaws of Thunder Junction: Breaking News,14,OTP,Normal,Near Mint,English,Uncommon,544872,7846345,$0.04,$0.04
1,Fierce Retribution,Fierce Retribution,Outlaws of Thunder Junction: Breaking News,2,OTP,Normal,Near Mint,English,Uncommon,544834,7844130,$0.02,$0.02
1,Hellspur Posse Boss,Hellspur Posse Boss,Outlaws of Thunder Junction,128,OTJ,Normal,Near Mint,English,Rare,544404,7826962,$0.15,$0.15
