Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,"Kozilek, the Broken Reality","Kozilek, the Broken Reality",Modern Horizons 3,10,MH3,Normal,Near Mint,English,Mythic,552314,7927579,$20.11,$20.11
1,Ugin's Binding,Ugin's Binding,Modern Horizons 3,76,MH3,Foil,Near Mint,English,Mythic,553193,7957964,$18.18,$18.18
1,Bloodstained Mire,Bloodstained Mire,Modern Horizons 3,216,MH3,Normal,Near Mint,English,Rare,541275,7790172,$13.62,$13.62
1,Windswept Heath,Windswept Heath,Modern Horizons 3,235,MH3,Normal,Near Mint,English,Rare,541272,7789932,$11.21,$11.21
1,Sapphire Medallion,Sapphire Medallion,Modern Horizons 3,296,MH3,Normal,Near Mint,English,Rare,552286,7925749,$3.69,$3.69
1,Toxic Deluge,Toxic Deluge,Modern Horizons 3,277,MH3,Normal,Near Mint,English,Rare,552728,7943134,$3.57,$3.57
1,Kozilek's Unsealing,Kozilek's Unsealing,Modern Horizons 3,65,MH3,Normal,Near Mint,English,Uncommon,551670,7920518,$2.07,$2.07
1,"Arna Kennerud, Skycaptain","Arna Kennerud, Skycaptain",Modern Horizons 3,178,MH3,Normal,Near Mint,English,Mythic,553796,7970562,$1.63,$1.63
1,Boggart Trawler,Boggart Trawler,Modern Horizons 3,243,MH3,Foil,Near Mint,English,Uncommon,552873,7949910,$1.22,$1.22
1,Kappa Cannoneer,Kappa Cannoneer,Modern Horizons 3,270,MH3,Normal,Near Mint,English,Rare,548591,7900867,$1.05,$1.05
1,Triton Wavebreaker,Triton Wavebreaker,Modern Horizons 3,74,MH3,Normal,Near Mint,English,Uncommon,552655,7940285,$0.57,$0.57
1,Bridgeworks Battle,Bridgeworks Battle,Modern Horizons 3,249,MH3,Normal,Near Mint,English,Uncommon,552579,7936265,$0.53,$0.53
1,Horrific Assault,Horrific Assault,Modern Horizons 3,157,MH3,Foil,Near Mint,English,Common,553322,7963964,$0.47,$0.47
1,Monstrous Vortex,Monstrous Vortex,Modern Horizons 3,162,MH3,Normal,Near Mint,English,Uncommon,552868,7949505,$0.46,$0.46
1,Petrifying Meddler,Petrifying Meddler,Modern Horizons 3,66,MH3,Normal,Near Mint,English,Common,552177,7923600,$0.44,$0.44
1,Ondu Knotmaster,Ondu Knotmaster,Modern Horizons 3,196,MH3,Normal,Near Mint,English,Uncommon,552818,7945655,$0.35,$0.35
1,Dreamdrinker Vampire,Dreamdrinker Vampire,Modern Horizons 3,88,MH3,Normal,Near Mint,English,Common,553217,7958859,$0.35,$0.35
1,Ghostfire Slice,Ghostfire Slice,Modern Horizons 3,123,MH3,Normal,Near Mint,English,Uncommon,552827,7946375,$0.35,$0.35
1,Nyxborn Hydra,Nyxborn Hydra,Modern Horizons 3,164,MH3,Foil,Near Mint,English,Common,552872,7949830,$0.32,$0.32
1,Sage of the Unknowable,Sage of the Unknowable,Modern Horizons 3,68,MH3,Normal,Near Mint,English,Common,553188,7957739,$0.28,$0.28
1,Fetid Gargantua,Fetid Gargantua,Modern Horizons 3,94,MH3,Foil,Near Mint,English,Common,553226,7959164,$0.27,$0.27
1,Accursed Marauder,Accursed Marauder,Modern Horizons 3,80,MH3,Normal,Near Mint,English,Common,553204,7958359,$0.21,$0.21
1,Fangs of Kalonia,Fangs of Kalonia,Modern Horizons 3,153,MH3,Normal,Near Mint,English,Uncommon,552812,7945175,$0.20,$0.20
1,Wurmcoil Larva,Wurmcoil Larva,Modern Horizons 3,112,MH3,Normal,Near Mint,English,Uncommon,552277,7925029,$0.20,$0.20
1,Rosecot Knight,Rosecot Knight,Modern Horizons 3,42,MH3,Normal,Near Mint,English,Common,553158,7956539,$0.18,$0.18
1,Ajani Fells the Godsire,Ajani Fells the Godsire,Modern Horizons 3,19,MH3,Normal,Near Mint,English,Uncommon,552856,7948545,$0.18,$0.18
1,Eviscerator's Insight,Eviscerator's Insight,Modern Horizons 3,93,MH3,Normal,Near Mint,English,Common,552853,7948305,$0.18,$0.18
1,Temperamental Oozewagg,Temperamental Oozewagg,Modern Horizons 3,172,MH3,Normal,Near Mint,English,Common,552720,7942494,$0.18,$0.18
