Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Polluted Delta (Retro Frame),Polluted Delta,Modern Horizons 3,438,MH3,Normal,Near Mint,English,Rare,541307,7792267,$16.84,$16.84
1,Priest of Titania (Retro Frame),Priest of Titania,Modern Horizons 3,428,MH3,Normal,Near Mint,English,Uncommon,541287,7790972,$0.41,$0.41
1,Chittering Dispatcher,Chittering Dispatcher,Commander: Modern Horizons 3,63,M3C,Normal,Near Mint,English,Rare,553386,7965050,$0.37,$0.37
1,Primal Prayers (Retro Frame),Primal Prayers,Modern Horizons 3,429,MH3,Normal,Near Mint,English,Rare,552894,7951355,$1.00,$1.00
1,Evolution Witness (Retro Frame),Evolution Witness,Modern Horizons 3,424,MH3,Normal,Near Mint,English,Common,552354,7930249,$0.14,$0.14
1,Marionette Apprentice (Retro Frame),Marionette Apprentice,Modern Horizons 3,410,MH3,Normal,Near Mint,English,Uncommon,552662,7940687,$1.49,$1.49
1,Abiding Grace (Retro Frame),Abiding Grace,Modern Horizons 2,1,MH2,Normal,Near Mint,English,Uncommon,552339,7929219,$0.16,$0.16
1,Hideous Taskmaster,Hideous Taskmaster,Commander: Modern Horizons 3,57,M3C,Normal,Near Mint,English,Rare,552410,7933534,$1.10,$1.10
1,Chthonian Nightmare (Retro Frame),Chthonian Nightmare,Modern Horizons 3,406,MH3,Normal,Near Mint,English,Rare,548633,7902977,$5.76,$5.76
1,Jolted Awake (Retro Frame),Jolted Awake,Modern Horizons 3,392,MH3,Normal,Near Mint,English,Common,553150,7956199,$0.09,$0.09
1,Angelic Aberration,Angelic Aberration,Commander: Modern Horizons 3,39,M3C,Normal,Near Mint,English,Rare,553346,7964547,$0.31,$0.31
1,Toxic Deluge (Retro Frame),Toxic Deluge,Modern Horizons 3,412,MH3,Normal,Near Mint,English,Rare,552732,7943454,$3.99,$3.99
1,Consuming Corruption (Retro Frame),Consuming Corruption,Modern Horizons 3,407,MH3,Normal,Near Mint,English,Uncommon,552896,7951515,$0.16,$0.16
1,Strike It Rich (Retro Frame),Strike It Rich,Modern Horizons 2,12,MH2,Normal,Near Mint,English,Uncommon,552335,7928959,$0.25,$0.25
1,Monstrous Vortex (Retro Frame),Monstrous Vortex,Modern Horizons 3,427,MH3,Normal,Near Mint,English,Uncommon,552885,7950635,$0.23,$0.23
1,Dress Down (Retro Frame),Dress Down,Modern Horizons 2,4,MH2,Normal,Near Mint,English,Rare,552316,7927739,$0.81,$0.81
1,Meltdown (Retro Frame),Meltdown,Modern Horizons 3,418,MH3,Normal,Near Mint,English,Uncommon,548630,7902812,$0.36,$0.36
1,Grief (Retro Frame),Grief,Modern Horizons 2,7,MH2,Normal,Near Mint,English,Mythic,552331,7928729,$17.34,$17.34
1,Hard Evidence,Hard Evidence,Modern Horizons 2,46,MH2,Normal,Near Mint,English,Common,240208,4989475,$0.07,$0.07
1,Wight of the Reliquary (Extended Art),Wight of the Reliquary,Modern Horizons 3,460,MH3,Normal,Near Mint,English,Rare,548621,7902367,$2.29,$2.29
1,"Laelia, the Blade Reforged (Borderless)","Laelia, the Blade Reforged",Modern Horizons 3,368,MH3,Normal,Near Mint,English,Rare,541300,7791812,$0.63,$0.63
