Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Anaba Shaman [Version 2],Anaba Shaman,Homelands,67b,HML,Normal,Near Mint,English,Common,18270,116452,$0.14,$0.14
1,Avalanche Riders,Avalanche Riders,Timeshifted,55,TSB,Normal,Near Mint,English,Special,14561,26042,$0.34,$0.34
2,Belligerent of the Ball,Belligerent of the Ball,Wilds of Eldraine,120,WOE,Normal,Near Mint,English,Uncommon,512863,7374921,$0.02,$0.01
1,Bellowing Bruiser,Bellowing Bruiser,Wilds of Eldraine,121,WOE,Normal,Near Mint,English,Common,513994,7405422,$0.02,$0.02
1,Brassclaw Orcs (Horned Helm),Brassclaw Orcs,Fallen Empires,49c,FEM,Normal,Near Mint,English,Common,18188,116370,$0.19,$0.19
1,Brothers of Fire,Brothers of Fire,Fourth Edition,179,4ED,Normal,Near Mint,English,Common,1676,15807,$0.12,$0.12
1,Charming Scoundrel (Extended Art),Charming Scoundrel,Wilds of Eldraine,345,WOE,Normal,Near Mint,English,Rare,513089,7379131,$1.20,$1.20
1,Cinder Elemental,Cinder Elemental,Mercadian Masques,183,MMQ,Normal,Near Mint,English,Uncommon,6474,19970,$0.16,$0.16
1,Dream Pillager,Dream Pillager,Commander Anthology Volume II,93,CM2,Normal,Near Mint,English,Rare,166785,3744511,$0.15,$0.15
2,Edgewall Pack,Edgewall Pack,Wilds of Eldraine,126,WOE,Normal,Near Mint,English,Common,513884,7401322,$0.06,$0.03
1,Embereth Veteran,Embereth Veteran,Wilds of Eldraine,127,WOE,Normal,Near Mint,English,Uncommon,512174,7355887,$0.02,$0.02
1,Enraging Licid,Enraging Licid,Tempest,171,TMP,Normal,Near Mint,English,Uncommon,5541,19052,$0.19,$0.19
1,Exuberant Fuseling,Exuberant Fuseling,Phyrexia: All Will Be One,129,ONE,Normal,Near Mint,English,Uncommon,478972,6948428,$0.05,$0.05
2,Flailing Ogre,Flailing Ogre,Mercadian Masques,188,MMQ,Normal,Near Mint,English,Uncommon,6526,20022,$0.32,$0.16
1,Forgehammer Centurion,Forgehammer Centurion,Phyrexia: All Will Be One,130,ONE,Normal,Near Mint,English,Common,479585,6963019,$0.01,$0.01
1,Fumiko the Lowblood,Fumiko the Lowblood,Commander Anthology Volume II,100,CM2,Normal,Near Mint,English,Rare,166692,3743956,$0.47,$0.47
1,Furnace Strider,Furnace Strider,Phyrexia: All Will Be One,133,ONE,Normal,Near Mint,English,Common,479597,6963719,$0.01,$0.01
1,Furnace Punisher (Showcase),Furnace Punisher,Phyrexia: All Will Be One,291,ONE,Normal,Near Mint,English,Uncommon,479621,6965639,$0.03,$0.03
1,Goblin Blast-Runner,Goblin Blast-Runner,The Brothers' War,137,BRO,Normal,Near Mint,English,Common,452533,6704691,$0.08,$0.08
1,Goblin Cadets,Goblin Cadets,Urza's Saga,189,USG,Normal,Near Mint,English,Uncommon,6888,20366,$0.42,$0.42
1,Goblin Raider,Goblin Raider,Urza's Saga,194,USG,Normal,Near Mint,English,Common,6893,20371,$0.16,$0.16
1,Goblin Spelunkers,Goblin Spelunkers,Urza's Saga,195,USG,Normal,Near Mint,English,Common,6894,20372,$0.35,$0.35
1,Goblin War Buggy,Goblin War Buggy,Urza's Saga,196,USG,Normal,Near Mint,English,Common,6895,20373,$0.21,$0.21
1,"Goddric, Cloaked Reveler","Goddric, Cloaked Reveler",Wilds of Eldraine,132,WOE,Normal,Near Mint,English,Rare,513114,7379871,$0.43,$0.43
2,Hangar Scrounger,Hangar Scrounger,March of the Machine,142,MOM,Normal,Near Mint,English,Common,491360,7071150,$0.04,$0.02
1,Harried Spearguard,Harried Spearguard,Wilds of Eldraine,135,WOE,Normal,Near Mint,English,Common,512870,7375481,$0.03,$0.03
