Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Solitude (Borderless),Solitude,Special Guests,44,SPG,Normal,Near Mint,English,Mythic,548637,7903222,$35.43,$35.43
1,Powerbalance (Borderless),Powerbalance,Modern Horizons 3,335,MH3,Normal,Near Mint,English,Rare,552342,7929399,$3.96,$3.96
1,Urza's Cave,Urza's Cave,Modern Horizons 3,234,MH3,Normal,Near Mint,English,Uncommon,548592,7900947,$3.46,$3.46
1,Monumental Henge,Monumental Henge,Modern Horizons 3,222,MH3,Normal,Near Mint,English,Rare,552871,7949745,$1.44,$1.44
1,Wheel of Potential,Wheel of Potential,Modern Horizons 3,144,MH3,Normal,Near Mint,English,Rare,552292,7926099,$0.74,$0.74
1,Strength of the Harvest,Strength of the Harvest,Modern Horizons 3,258,MH3,Normal,Near Mint,English,Uncommon,552647,7939645,$0.49,$0.49
1,Thriving Skyclaw,Thriving Skyclaw,Modern Horizons 3,141,MH3,Normal,Near Mint,English,Common,553307,7962759,$0.35,$0.35
1,Legion Leadership,Legion Leadership,Modern Horizons 3,255,MH3,Normal,Near Mint,English,Uncommon,552649,7939805,$0.34,$0.34
1,Meteoric Mace,Meteoric Mace,Modern Horizons 3,283,MH3,Normal,Near Mint,English,Uncommon,553274,7960839,$0.33,$0.33
1,Breaker of Creation,Breaker of Creation,Modern Horizons 3,1,MH3,Normal,Near Mint,English,Uncommon,550846,7915771,$0.27,$0.27
1,Indebted Spirit,Indebted Spirit,Modern Horizons 3,31,MH3,Normal,Near Mint,English,Uncommon,553139,7955799,$0.19,$0.19
1,The Hunger Tide Rises,The Hunger Tide Rises,Modern Horizons 3,158,MH3,Normal,Near Mint,English,Uncommon,552850,7948065,$0.18,$0.18
1,Muster the Departed,Muster the Departed,Modern Horizons 3,36,MH3,Normal,Near Mint,English,Uncommon,553153,7956319,$0.17,$0.17
1,Thraben Charm,Thraben Charm,Modern Horizons 3,45,MH3,Normal,Near Mint,English,Common,552284,7925589,$0.17,$0.17
1,Glimpse the Impossible,Glimpse the Impossible,Modern Horizons 3,124,MH3,Normal,Near Mint,English,Common,552276,7924949,$0.17,$0.17
1,Skittering Precursor,Skittering Precursor,Modern Horizons 3,137,MH3,Normal,Near Mint,English,Uncommon,552862,7949025,$0.17,$0.17
1,Twisted Landscape,Twisted Landscape,Modern Horizons 3,232,MH3,Normal,Near Mint,English,Common,553297,7961959,$0.16,$0.16
1,Deceptive Landscape,Deceptive Landscape,Modern Horizons 3,219,MH3,Normal,Near Mint,English,Common,553278,7961039,$0.16,$0.16
1,Fanged Flames,Fanged Flames,Modern Horizons 3,118,MH3,Normal,Near Mint,English,Common,553254,7960019,$0.16,$0.16
1,Scurry of Gremlins,Scurry of Gremlins,Modern Horizons 3,203,MH3,Normal,Near Mint,English,Uncommon,541271,7789852,$0.16,$0.16
1,Nightshade Dryad,Nightshade Dryad,Modern Horizons 3,163,MH3,Normal,Near Mint,English,Common,553327,7964359,$0.15,$0.15
1,Shattered Landscape,Shattered Landscape,Modern Horizons 3,226,MH3,Normal,Near Mint,English,Common,553292,7961679,$0.15,$0.15
1,Seething Landscape,Seething Landscape,Modern Horizons 3,225,MH3,Normal,Near Mint,English,Common,553290,7961579,$0.14,$0.14
1,Contaminated Landscape,Contaminated Landscape,Modern Horizons 3,218,MH3,Normal,Near Mint,English,Common,553276,7960939,$0.14,$0.14
1,Conduit Goblin,Conduit Goblin,Modern Horizons 3,179,MH3,Normal,Near Mint,English,Common,552636,7938820,$0.14,$0.14
1,Voidpouncer,Voidpouncer,Modern Horizons 3,143,MH3,Normal,Near Mint,English,Common,553308,7962839,$0.14,$0.14
1,Sarpadian Simulacrum,Sarpadian Simulacrum,Modern Horizons 3,135,MH3,Normal,Near Mint,English,Common,553301,7962279,$0.14,$0.14
1,Sheltering Landscape,Sheltering Landscape,Modern Horizons 3,227,MH3,Normal,Near Mint,English,Common,553295,7961799,$0.13,$0.13
1,Writhing Chrysalis,Writhing Chrysalis,Modern Horizons 3,208,MH3,Normal,Near Mint,English,Common,551669,7920438,$0.13,$0.13
1,Mandibular Kite,Mandibular Kite,Modern Horizons 3,34,MH3,Normal,Near Mint,English,Common,552735,7943584,$0.12,$0.12
3,Mountain,Mountain,Battlebond,253,BBD,Normal,Near Mint,English,Land,167976,3751589,$2.25,$0.75
3,Plains,Plains,Battlebond,250,BBD,Normal,Near Mint,English,Land,167973,3751559,$1.47,$0.49
2,Forest,Forest,Battlebond,254,BBD,Normal,Near Mint,English,Land,167977,3751599,$1.84,$0.92
1,Voltstorm Angel,Voltstorm Angel,Modern Horizons 3,46,MH3,Foil,Near Mint,English,Uncommon,552613,7937060,$0.43,$0.43
1,Seething Landscape,Seething Landscape,Modern Horizons 3,225,MH3,Foil,Near Mint,English,Common,553290,7961584,$0.16,$0.16

– Andrew
