Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Collective Resistance,Collective Resistance,Modern Horizons 3,147,MH3,Normal,Near Mint,English,Uncommon,552623,7937855,$0.35,$0.35
1,Hydroelectric Specimen,Hydroelectric Specimen,Modern Horizons 3,240,MH3,Normal,Near Mint,English,Uncommon,553181,7957539,$0.45,$0.45
1,Jolted Awake,Jolted Awake,Modern Horizons 3,33,MH3,Normal,Near Mint,English,Common,553147,7956079,$0.05,$0.05
1,Perilous Landscape,Perilous Landscape,Modern Horizons 3,223,MH3,Normal,Near Mint,English,Common,553288,7961479,$0.12,$0.12
2,Faithful Watchdog,Faithful Watchdog,Modern Horizons 3,185,MH3,Normal,Near Mint,English,Common,553317,7963559,$0.14,$0.07
1,Birthing Ritual,Birthing Ritual,Modern Horizons 3,146,MH3,Normal,Near Mint,English,Mythic,552823,7946055,$5.42,$5.42
1,Deserted Temple,Deserted Temple,Modern Horizons 3,301,MH3,Normal,Near Mint,English,Rare,552268,7924309,$0.51,$0.51
1,Fowl Strike,Fowl Strike,Modern Horizons 3,155,MH3,Normal,Near Mint,English,Common,552870,7949665,$0.06,$0.06
2,Wing It,Wing It,Modern Horizons 3,48,MH3,Normal,Near Mint,English,Common,553166,7956819,$0.10,$0.05
1,Emissary of Soulfire,Emissary of Soulfire,Modern Horizons 3,183,MH3,Normal,Near Mint,English,Uncommon,553318,7963639,$0.05,$0.05
1,Inspired Inventor,Inspired Inventor,Modern Horizons 3,32,MH3,Normal,Near Mint,English,Common,553143,7955939,$0.06,$0.06
1,"Genku, Future Shaper","Genku, Future Shaper",Modern Horizons 3,186,MH3,Normal,Near Mint,English,Rare,552318,7927869,$0.13,$0.13
1,Eldrazi Repurposer,Eldrazi Repurposer,Modern Horizons 3,150,MH3,Normal,Near Mint,English,Common,553314,7963319,$0.06,$0.06
1,Envoy of the Ancestors,Envoy of the Ancestors,Modern Horizons 3,23,MH3,Normal,Near Mint,English,Uncommon,553133,7955559,$0.10,$0.10
1,Contaminated Landscape,Contaminated Landscape,Modern Horizons 3,218,MH3,Normal,Near Mint,English,Common,553276,7960939,$0.11,$0.11
1,The Hunger Tide Rises,The Hunger Tide Rises,Modern Horizons 3,158,MH3,Normal,Near Mint,English,Uncommon,552850,7948065,$0.06,$0.06
1,Sheltering Landscape,Sheltering Landscape,Modern Horizons 3,227,MH3,Normal,Near Mint,English,Common,553295,7961799,$0.13,$0.13
1,Wumpus Aberration,Wumpus Aberration,Modern Horizons 3,176,MH3,Normal,Near Mint,English,Uncommon,551671,7920598,$0.05,$0.05
1,Distinguished Conjurer,Distinguished Conjurer,Modern Horizons 3,264,MH3,Normal,Near Mint,English,Uncommon,553129,7955419,$0.08,$0.08
1,Tranquil Landscape,Tranquil Landscape,Modern Horizons 3,231,MH3,Normal,Near Mint,English,Common,553296,7961879,$0.13,$0.13
1,Fangs of Kalonia,Fangs of Kalonia,Modern Horizons 3,153,MH3,Normal,Near Mint,English,Uncommon,552812,7945175,$0.10,$0.10
1,Voltstorm Angel,Voltstorm Angel,Modern Horizons 3,46,MH3,Normal,Near Mint,English,Uncommon,552613,7937055,$0.04,$0.04
1,Hexgold Slith,Hexgold Slith,Modern Horizons 3,30,MH3,Foil,Near Mint,English,Common,553136,7955684,$0.12,$0.12
1,Faithful Watchdog,Faithful Watchdog,Modern Horizons 3,185,MH3,Foil,Near Mint,English,Common,553317,7963564,$0.05,$0.05
1,Wing It,Wing It,Modern Horizons 3,48,MH3,Foil,Near Mint,English,Common,553166,7956824,$0.06,$0.06
1,Shattered Landscape,Shattered Landscape,Modern Horizons 3,226,MH3,Normal,Near Mint,English,Common,553292,7961679,$0.10,$0.10
1,Aether Spike (Retro Frame),Aether Spike,Modern Horizons 3,398,MH3,Normal,Near Mint,English,Common,553169,7956999,$0.10,$0.10
1,Bridgeworks Battle,Bridgeworks Battle,Modern Horizons 3,249,MH3,Normal,Near Mint,English,Uncommon,552579,7936265,$0.53,$0.53
1,Reef Worm,Reef Worm,Modern Horizons 3,271,MH3,Normal,Near Mint,English,Uncommon,552730,7943294,$0.04,$0.04
2,Island,Island,Battlebond,251,BBD,Normal,Near Mint,English,Land,167974,3751569,$1.20,$0.60
3,Forest,Forest,Battlebond,254,BBD,Normal,Near Mint,English,Land,167977,3751599,$2.73,$0.91
4,Plains,Plains,Battlebond,250,BBD,Normal,Near Mint,English,Land,167973,3751559,$1.96,$0.49
