Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,"Yawgmoth, Thran Physician (Borderless)","Yawgmoth, Thran Physician",Dominaria Remastered,431,DMR,Normal,Near Mint,English,Mythic,457088,6787674,$15.23,$15.23
1,Entomb (Borderless),Entomb,Dominaria Remastered,426,DMR,Normal,Near Mint,English,Rare,457202,6796096,$7.15,$7.15
1,Exhume,Exhume,Urza's Saga,134,USG,Normal,Near Mint,English,Common,6864,20345,$4.63,$4.63
1,Haunted Crossroads,Haunted Crossroads,Mercadian Masques,138,MMQ,Normal,Near Mint,English,Uncommon,6549,20042,$3.67,$3.67
1,Peat Bog,Peat Bog,Mercadian Masques,322,MMQ,Normal,Near Mint,English,Common,6631,20118,$1.57,$1.57
1,Subterranean Hangar,Subterranean Hangar,Mercadian Masques,329,MMQ,Normal,Near Mint,English,Uncommon,6722,20206,$0.44,$0.44
1,Blast Zone (Extended Art),Blast Zone,The Brothers' War,369,BRO,Normal,Near Mint,English,Rare,452273,6690023,$1.39,$1.39
1,Volatile Fault,Volatile Fault,The Lost Caverns of Ixalan,286,LCI,Normal,Near Mint,English,Uncommon,526363,7552012,$0.14,$0.14
1,Demolition Field,Demolition Field,The Brothers' War,260,BRO,Normal,Near Mint,English,Uncommon,452255,6688983,$2.64,$2.64
1,Bloodletter of Aclazotz,Bloodletter of Aclazotz,The Lost Caverns of Ixalan,92,LCI,Normal,Near Mint,English,Mythic,524414,7509574,$11.07,$11.07
1,Chittering Skitterling,Chittering Skitterling,Phyrexia: All Will Be One,87,ONE,Normal,Near Mint,English,Uncommon,478932,6946910,$0.04,$0.04
1,Stalactite Stalker,Stalactite Stalker,The Lost Caverns of Ixalan,122,LCI,Normal,Near Mint,English,Rare,524432,7510429,$2.79,$2.79
1,Voracious Vermin,Voracious Vermin,Wilds of Eldraine,116,WOE,Normal,Near Mint,English,Common,512873,7375691,$0.06,$0.06
1,"Drivnod, Carnage Dominus (Showcase)","Drivnod, Carnage Dominus",Phyrexia: All Will Be One,305,ONE,Normal,Near Mint,English,Mythic,479344,6955634,$4.85,$4.85
1,Mephidross Vampire (Borderless),Mephidross Vampire,Special Guests,4,SPG,Normal,Near Mint,English,Rare,525610,7528223,$1.54,$1.54
1,"Ashiok, Wicked Manipulator","Ashiok, Wicked Manipulator",Wilds of Eldraine,78,WOE,Normal,Near Mint,English,Mythic,509489,7332082,$0.60,$0.60
1,Razorlash Transmogrant,Razorlash Transmogrant,The Brothers' War,122,BRO,Normal,Near Mint,English,Rare,452641,6706311,$0.24,$0.24
1,Necrosquito,Necrosquito,Phyrexia: All Will Be One,100,ONE,Normal,Near Mint,English,Uncommon,479502,6958918,$0.03,$0.03
1,Feign Death,Feign Death,Adventures in the Forgotten Realms,103,AFR,Normal,Near Mint,English,Common,243205,5059629,$0.58,$0.58
1,Canonized in Blood,Canonized in Blood,The Lost Caverns of Ixalan,96,LCI,Normal,Near Mint,English,Uncommon,526194,7543357,$0.02,$0.02
1,Kinzu of the Bleak Coven (Extended Art),Kinzu of the Bleak Coven,Phyrexia: All Will Be One,411,ONE,Normal,Near Mint,English,Rare,478545,6938439,$0.31,$0.31
1,Phyresis,Phyresis,Mirrodin Besieged,49,MBS,Normal,Near Mint,English,Common,39062,413952,$0.47,$0.47
1,Nimraiser Paladin,Nimraiser Paladin,Phyrexia: All Will Be One,101,ONE,Normal,Near Mint,English,Uncommon,478410,6933663,$0.03,$0.03
1,"Vraska, Betrayal's Sting","Vraska, Betrayal's Sting",Phyrexia: All Will Be One,115,ONE,Normal,Near Mint,English,Mythic,478240,6928080,$8.59,$8.59
1,Blood Vassal,Blood Vassal,Urza's Saga,118,USG,Normal,Near Mint,English,Common,6800,20281,$0.15,$0.15
1,Szat's Will,Szat's Will,Commander Legends,152,CMR,Normal,Near Mint,English,Rare,226130,4625501,$0.26,$0.26
1,Rain of Tears,Rain of Tears,Mercadian Masques,155,MMQ,Normal,Near Mint,English,Uncommon,6646,20130,$0.28,$0.28
