Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Faerie Slumber Party,Faerie Slumber Party,Wilds of Eldraine,311,WOE,Normal,Near Mint,English,Rare,513383,7386904,$1.76,$1.76
1,Sol Ring,Sol Ring,Commander: Wilds of Eldraine,149,WOC,Normal,Near Mint,English,Uncommon,513720,7394922,$1.45,$1.45
1,Urza's Power Plant (Rock in Pot),Urza's Power Plant,Antiquities,84d,ATQ,Normal,Near Mint,English,Uncommon,71534,1135512,$10.63,$10.63
1,Drowned Catacomb,Drowned Catacomb,Magic 2012 (M12),226,M12,Normal,Near Mint,English,Rare,47658,474670,$3.32,$3.32
1,Feywild Visitor,Feywild Visitor,Commander Legends: Battle for Baldur's Gate,70,CLB,Normal,Near Mint,English,Uncommon,272778,5613834,$0.11,$0.11
1,Unwind,Unwind,Dominaria,72,DOM,Normal,Near Mint,English,Common,164359,3635453,$0.46,$0.46
1,Reflections of Littjara,Reflections of Littjara,Commander: Wilds of Eldraine,106,WOC,Normal,Near Mint,English,Rare,513728,7395177,$1.06,$1.06
1,Misleading Signpost,Misleading Signpost,Commander: Wilds of Eldraine,11,WOC,Normal,Near Mint,English,Rare,513861,7407571,$6.29,$6.29
1,Rewind,Rewind,Urza's Saga,93,USG,Normal,Near Mint,English,Common,7007,20476,$0.54,$0.54
1,Urza's Mine (Mouth),Urza's Mine,Chronicles,114a,CHR,Normal,Near Mint,English,Uncommon,3454,17501,$0.47,$0.47
1,Dimir Aqueduct,Dimir Aqueduct,Commander 2017,245,C17,Normal,Near Mint,English,Uncommon,140082,3450581,$0.18,$0.18
1,Faerie Artisans,Faerie Artisans,Commander 2016,8,C16,Normal,Near Mint,English,Rare,124194,3244198,$2.90,$2.90
1,Temple of the False God,Temple of the False God,Commander Anthology,277,CMA,Normal,Near Mint,English,Uncommon,132184,3372589,$0.33,$0.33
1,Swamp (342),Swamp,Urza's Saga,342,USG,Normal,Near Mint,English,Land,7059,20528,$0.50,$0.50
1,High Tide (Merfolk),High Tide,Fallen Empires,18b,FEM,Normal,Near Mint,English,Common,18211,116393,$0.45,$0.45
1,Faerie Seer,Faerie Seer,Modern Horizons,51,MH1,Normal,Near Mint,English,Common,191569,4070160,$0.31,$0.31
